Date,Open,High,Low,Close,Adj Close,Volume
1994-05-19,5.065844,5.369794,5.065844,5.268477,3.038022,134232
1994-05-20,5.167161,5.369794,5.065844,5.268477,3.038022,54285
1994-05-23,5.268477,5.268477,5.065844,5.065844,2.921176,16532
1994-05-24,5.268477,5.268477,5.065844,5.065844,2.921176,7649
1994-05-25,5.167161,5.167161,5.065844,5.065844,2.921176,13325
1994-05-26,5.065844,5.217819,5.065844,5.065844,2.921176,19987
1994-05-27,5.167161,5.167161,4.964527,4.964527,2.862753,12338
1994-05-31,5.065844,5.268477,5.065844,5.268477,3.038022,1481
1994-06-01,5.065844,5.268477,5.065844,5.268477,3.038022,52311
1994-06-02,5.268477,5.268477,5.116502,5.268477,3.038022,5182
1994-06-03,5.268477,5.268477,5.268477,5.268477,3.038022,2468
1994-06-06,5.268477,5.268477,5.065844,5.065844,2.921176,5675
1994-06-07,5.268477,5.268477,5.065844,5.268477,3.038022,15545
1994-06-08,5.065844,5.268477,5.065844,5.065844,2.921176,19740
1994-06-09,5.065844,5.268477,5.065844,5.268477,3.038022,2714
1994-06-10,5.268477,5.268477,5.217819,5.217819,3.008810,987
1994-06-13,5.268477,5.268477,5.268477,5.268477,3.038022,494
1994-06-14,5.268477,5.319136,5.065844,5.167161,2.979599,52558
1994-06-15,5.268477,5.572428,5.268477,5.471111,3.154868,122635
1994-06-16,5.572428,5.572428,5.369794,5.572428,3.213293,14558
1994-06-17,5.572428,5.572428,5.369794,5.572428,3.213293,57493
1994-06-20,5.471111,5.471111,5.268477,5.268477,3.038022,8390
1994-06-21,5.268477,5.471111,5.268477,5.268477,3.038022,13571
1994-06-22,5.471111,5.471111,5.268477,5.268477,3.038022,34052
1994-06-23,5.471111,5.471111,5.268477,5.420453,3.125658,14312
1994-06-24,5.268477,5.268477,5.268477,5.268477,3.038022,1234
1994-06-27,5.471111,5.471111,5.268477,5.268477,3.038022,2714
1994-06-28,5.268477,5.268477,5.268477,5.268477,3.038022,494
1994-06-29,5.268477,5.471111,5.268477,5.471111,3.154868,8143
1994-06-30,5.471111,5.471111,5.471111,5.471111,3.154868,0
1994-07-01,5.268477,5.471111,5.268477,5.420453,3.125658,4195
1994-07-05,5.471111,5.471111,5.471111,5.471111,3.154868,740
1994-07-06,5.369794,5.471111,5.268477,5.471111,3.154868,36026
1994-07-07,5.369794,5.369794,5.369794,5.369794,3.096446,1234
1994-07-08,5.369794,5.673745,5.369794,5.673745,3.271717,1481
1994-07-11,5.673745,5.673745,5.268477,5.268477,3.058777,32078
1994-07-12,5.420453,5.572428,5.268477,5.572428,3.235246,24428
1994-07-13,5.572428,5.572428,5.572428,5.572428,3.235246,494
1994-07-14,5.572428,5.572428,5.572428,5.572428,3.235246,0
1994-07-15,5.471111,5.471111,5.369794,5.471111,3.176422,16532
1994-07-18,5.471111,5.471111,5.471111,5.471111,3.176422,0
1994-07-19,5.369794,5.369794,5.268477,5.268477,3.058777,11104
1994-07-20,5.471111,5.471111,5.268477,5.268477,3.058777,3455
1994-07-21,5.268477,5.268477,5.268477,5.268477,3.058777,987
1994-07-22,5.268477,5.420453,5.268477,5.420453,3.147012,5675
1994-07-25,5.268477,5.471111,5.268477,5.268477,3.058777,9870
1994-07-26,5.268477,5.471111,5.268477,5.471111,3.176422,987
1994-07-27,5.471111,5.471111,5.471111,5.471111,3.176422,247
1994-07-28,5.268477,5.369794,5.268477,5.369794,3.117601,5182
1994-07-29,5.369794,5.369794,5.369794,5.369794,3.117601,0
1994-08-01,5.471111,5.471111,5.471111,5.471111,3.176422,3455
1994-08-02,5.471111,5.471111,5.268477,5.268477,3.058777,1234
1994-08-03,5.268477,5.420453,5.268477,5.420453,3.147012,3208
1994-08-04,5.268477,5.471111,5.268477,5.471111,3.176422,18753
1994-08-05,5.420453,5.420453,5.420453,5.420453,3.147012,13571
1994-08-08,5.268477,5.268477,5.268477,5.268477,3.058777,1974
1994-08-09,5.420453,5.420453,5.268477,5.268477,3.058777,8636
1994-08-10,5.268477,5.471111,5.268477,5.268477,3.058777,13325
1994-08-11,5.471111,5.471111,5.471111,5.471111,3.176422,7403
1994-08-12,5.369794,5.471111,5.268477,5.471111,3.176422,46883
1994-08-15,5.471111,5.471111,5.471111,5.471111,3.176422,0
1994-08-16,5.268477,5.471111,5.268477,5.268477,3.058777,22208
1994-08-17,5.420453,5.471111,5.268477,5.268477,3.058777,37013
1994-08-18,5.471111,5.471111,5.369794,5.369794,3.117601,1727
1994-08-19,5.268477,5.268477,5.268477,5.268477,3.058777,2961
1994-08-22,5.420453,5.471111,5.268477,5.420453,3.147012,30844
1994-08-23,5.471111,5.471111,5.268477,5.268477,3.058777,9870
1994-08-24,5.471111,5.471111,5.268477,5.268477,3.058777,8143
1994-08-25,5.471111,5.471111,5.268477,5.395123,3.132306,9377
1994-08-26,5.420453,5.420453,5.268477,5.268477,3.058777,14065
1994-08-29,5.268477,5.268477,5.268477,5.268477,3.058777,0
1994-08-30,5.268477,5.268477,5.268477,5.268477,3.058777,2468
1994-08-31,5.572428,5.572428,5.572428,5.572428,3.235246,494
1994-09-01,5.471111,5.471111,5.471111,5.471111,3.176422,2221
1994-09-02,5.268477,5.420453,5.268477,5.268477,3.058777,24428
1994-09-06,5.268477,5.268477,5.268477,5.268477,3.058777,12338
1994-09-07,5.420453,5.471111,5.268477,5.471111,3.176422,27143
1994-09-08,5.471111,5.471111,5.268477,5.268477,3.058777,6169
1994-09-09,5.268477,5.268477,5.268477,5.268477,3.058777,247
1994-09-12,5.268477,5.572428,5.268477,5.471111,3.176422,9870
1994-09-13,5.420453,5.420453,5.420453,5.420453,3.147012,1234
1994-09-14,5.572428,5.572428,5.268477,5.369794,3.117601,9377
1994-09-15,5.268477,5.521770,5.268477,5.521770,3.205835,31337
1994-09-16,5.268477,5.420453,5.268477,5.420453,3.147012,3455
1994-09-19,5.420453,5.420453,5.420453,5.420453,3.147012,0
1994-09-20,5.268477,5.268477,5.268477,5.268477,3.058777,2468
1994-09-21,5.268477,5.420453,5.268477,5.420453,3.147012,2961
1994-09-22,5.420453,5.420453,5.268477,5.268477,3.058777,23935
1994-09-23,5.572428,5.572428,5.268477,5.572428,3.235246,9870
1994-09-26,5.420453,5.445782,5.268477,5.268477,3.080058,52558
1994-09-27,5.268477,5.572428,5.268477,5.572428,3.257754,10610
1994-09-28,5.268477,5.420453,5.167161,5.167161,3.020826,3208
1994-09-29,5.268477,5.420453,5.167161,5.167161,3.020826,11597
1994-09-30,5.167161,5.167161,5.167161,5.167161,3.020826,0
1994-10-03,5.167161,5.167161,5.167161,5.167161,3.020826,0
1994-10-04,5.167161,5.217819,5.167161,5.217819,3.050442,3455
1994-10-05,5.167161,5.167161,5.167161,5.167161,3.020826,10117
1994-10-06,5.268477,5.369794,5.167161,5.167161,3.020826,23195
1994-10-07,5.167161,5.167161,5.167161,5.167161,3.020826,0
1994-10-10,5.369794,5.369794,5.167161,5.167161,3.020826,2468
1994-10-11,5.167161,5.167161,5.167161,5.167161,3.020826,0
1994-10-12,5.167161,5.471111,5.167161,5.369794,3.139290,19987
1994-10-13,5.268477,5.471111,5.268477,5.471111,3.198521,64649
1994-10-14,5.395123,5.572428,5.268477,5.268477,3.080058,35779
1994-10-17,5.268477,5.572428,5.268477,5.268477,3.080058,185063
1994-10-18,5.268477,5.268477,5.268477,5.268477,3.080058,3701
1994-10-19,5.268477,5.572428,5.268477,5.572428,3.257754,4935
1994-10-20,5.572428,5.572428,5.268477,5.268477,3.080058,2714
1994-10-21,5.572428,5.572428,5.572428,5.572428,3.257754,740
1994-10-24,5.369794,5.471111,5.369794,5.471111,3.198521,7403
1994-10-25,5.268477,5.268477,5.268477,5.268477,3.080058,1481
1994-10-26,5.319136,5.319136,5.319136,5.319136,3.109674,494
1994-10-27,5.369794,5.471111,5.369794,5.471111,3.198521,9870
1994-10-28,5.572428,5.572428,5.471111,5.471111,3.198521,3208
1994-10-31,5.369794,5.572428,5.369794,5.572428,3.257754,6909
1994-11-01,5.572428,5.572428,5.572428,5.572428,3.257754,0
1994-11-02,5.572428,5.572428,5.572428,5.572428,3.257754,0
1994-11-03,5.572428,5.572428,5.369794,5.369794,3.139290,11104
1994-11-04,5.369794,5.369794,5.369794,5.369794,3.139290,1727
1994-11-07,5.369794,5.471111,5.369794,5.471111,3.198521,2714
1994-11-08,5.471111,5.471111,5.471111,5.471111,3.198521,0
1994-11-09,5.369794,5.369794,5.369794,5.369794,3.139290,6416
1994-11-10,5.369794,5.369794,5.369794,5.369794,3.139290,0
1994-11-11,5.471111,5.471111,5.369794,5.471111,3.198521,4688
1994-11-14,5.471111,5.471111,5.471111,5.471111,3.198521,0
1994-11-15,5.369794,5.369794,5.369794,5.369794,3.139290,1234
1994-11-16,5.420453,5.521770,5.420453,5.521770,3.228139,3948
1994-11-17,5.369794,5.521770,5.167161,5.167161,3.020826,29857
1994-11-18,5.167161,5.268477,5.167161,5.268477,3.080058,3208
1994-11-21,5.065844,5.065844,5.065844,5.065844,2.961595,494
1994-11-22,5.243148,5.243148,5.065844,5.065844,2.961595,28870
1994-11-23,4.964527,4.964527,4.964527,4.964527,2.902363,6416
1994-11-25,4.964527,4.964527,4.964527,4.964527,2.902363,0
1994-11-28,4.964527,4.964527,4.964527,4.964527,2.902363,1974
1994-11-29,5.268477,5.268477,5.268477,5.268477,3.080058,494
