Date,Open,High,Low,Close,Adj Close,Volume
2000-07-28,240.000000,260.000000,210.000000,250.000000,250.000000,665420
2000-07-31,232.500000,247.500000,230.000000,237.500000,237.500000,61950
2000-08-01,240.000000,240.000000,235.000000,238.750000,238.750000,42390
2000-08-02,240.000000,240.000000,236.250000,240.000000,240.000000,20260
2000-08-03,236.250000,240.625000,235.000000,236.250000,236.250000,32200
2000-08-04,236.875000,242.500000,235.000000,240.000000,240.000000,13420
2000-08-07,240.000000,275.000000,237.500000,268.750000,268.750000,19440
2000-08-08,278.750000,318.750000,278.750000,300.000000,300.000000,24460
2000-08-09,320.000000,325.000000,273.750000,273.750000,273.750000,17440
2000-08-10,275.000000,277.500000,240.000000,260.000000,260.000000,51100
2000-08-11,260.000000,260.625000,247.500000,256.250000,256.250000,13860
2000-08-14,255.000000,255.000000,250.000000,250.000000,250.000000,7550
2000-08-15,256.250000,258.125000,245.000000,246.250000,246.250000,7110
2000-08-16,248.750000,250.625000,245.000000,250.000000,250.000000,31600
2000-08-17,249.375000,272.500000,247.500000,272.500000,272.500000,16230
2000-08-18,273.750000,275.000000,266.875000,275.000000,275.000000,6910
2000-08-21,266.875000,295.000000,266.250000,290.000000,290.000000,15330
2000-08-22,288.750000,288.750000,281.250000,285.000000,285.000000,31140
2000-08-23,285.000000,300.000000,285.000000,300.000000,300.000000,19640
2000-08-24,300.000000,301.250000,295.000000,295.000000,295.000000,15040
2000-08-25,296.875000,296.875000,285.000000,295.000000,295.000000,3200
2000-08-28,305.000000,342.500000,298.750000,335.000000,335.000000,58250
2000-08-29,345.000000,380.000000,330.000000,340.625000,340.625000,22360
2000-08-30,341.250000,357.500000,335.625000,355.000000,355.000000,8940
2000-08-31,359.687500,470.000000,355.000000,462.500000,462.500000,24820
2000-09-01,465.000000,465.625000,375.000000,418.750000,418.750000,32330
2000-09-05,420.312500,450.625000,420.000000,425.000000,425.000000,29910
2000-09-06,431.250000,431.250000,373.750000,387.500000,387.500000,31980
2000-09-07,391.250000,420.000000,385.000000,400.000000,400.000000,21120
2000-09-08,397.500000,407.500000,390.000000,400.000000,400.000000,13190
2000-09-11,396.875000,396.875000,375.000000,390.000000,390.000000,9110
2000-09-12,386.250000,386.250000,362.500000,369.375000,369.375000,6900
2000-09-13,371.250000,378.750000,371.250000,376.250000,376.250000,18280
2000-09-14,378.750000,407.500000,372.500000,396.250000,396.250000,11590
2000-09-15,399.375000,409.375000,391.250000,396.875000,396.875000,18560
2000-09-18,398.125000,399.375000,390.000000,395.000000,395.000000,24400
2000-09-19,395.000000,395.000000,373.125000,373.750000,373.750000,25700
2000-09-20,381.250000,381.250000,361.250000,366.250000,366.250000,4070
2000-09-21,366.875000,367.500000,345.000000,347.500000,347.500000,1690
2000-09-22,348.125000,348.750000,339.375000,341.875000,341.875000,7840
2000-09-25,341.875000,428.750000,340.000000,374.375000,374.375000,26870
2000-09-26,390.000000,407.500000,380.000000,390.000000,390.000000,48370
2000-09-27,392.500000,392.500000,387.500000,390.000000,390.000000,3860
2000-09-28,387.500000,420.000000,387.500000,401.250000,401.250000,10390
2000-09-29,406.250000,432.500000,391.250000,430.000000,430.000000,24510
2000-10-02,421.250000,423.750000,405.000000,422.500000,422.500000,12420
2000-10-03,417.500000,419.375000,412.500000,415.000000,415.000000,8630
2000-10-04,406.875000,418.750000,405.000000,417.500000,417.500000,5170
2000-10-05,417.500000,440.000000,417.500000,425.625000,425.625000,6520
2000-10-06,395.781250,405.000000,387.500000,390.000000,390.000000,12290
2000-10-09,398.750000,398.750000,382.500000,384.375000,384.375000,6440
2000-10-10,388.750000,388.750000,320.000000,333.750000,333.750000,15840
2000-10-11,326.250000,343.750000,322.500000,337.500000,337.500000,51520
2000-10-12,345.625000,346.875000,325.000000,336.875000,336.875000,11330
2000-10-13,336.875000,341.250000,333.750000,333.750000,333.750000,5540
2000-10-16,337.500000,337.500000,300.000000,330.000000,330.000000,11820
2000-10-17,316.250000,330.625000,300.000000,301.250000,301.250000,3400
2000-10-18,301.250000,305.312500,293.125000,297.500000,297.500000,13750
2000-10-19,298.750000,305.000000,295.000000,300.000000,300.000000,15290
2000-10-20,301.250000,302.500000,290.000000,301.250000,301.250000,8230
2000-10-23,301.250000,305.000000,299.375000,300.000000,300.000000,9910
2000-10-24,302.500000,330.000000,300.000000,323.750000,323.750000,13120
2000-10-25,320.000000,365.000000,319.375000,350.000000,350.000000,10630
2000-10-26,350.000000,357.500000,331.250000,348.593750,348.593750,3220
2000-10-27,345.000000,347.500000,338.750000,341.250000,341.250000,2110
2000-10-30,321.250000,331.250000,320.000000,330.625000,330.625000,4350
2000-10-31,333.125000,353.125000,331.875000,349.375000,349.375000,6260
2000-11-01,348.750000,352.500000,345.000000,345.937500,345.937500,5060
2000-11-02,344.062500,351.875000,342.500000,348.750000,348.750000,13240
2000-11-03,355.781250,363.750000,355.000000,360.000000,360.000000,4440
2000-11-06,368.750000,415.625000,367.500000,411.250000,411.250000,19250
2000-11-07,405.625000,422.500000,403.750000,422.500000,422.500000,1800
2000-11-08,411.875000,427.500000,393.750000,410.000000,410.000000,1790
2000-11-09,416.250000,419.375000,390.000000,405.000000,405.000000,14570
2000-11-10,407.500000,407.500000,388.750000,390.156250,390.156250,2240
2000-11-13,354.218750,356.250000,345.000000,353.750000,353.750000,3640
2000-11-14,363.750000,372.500000,360.000000,368.750000,368.750000,4120
2000-11-15,360.000000,373.125000,358.750000,366.875000,366.875000,9860
2000-11-16,372.500000,373.750000,368.750000,371.250000,371.250000,16590
2000-11-17,370.625000,371.250000,356.250000,357.500000,357.500000,14150
2000-11-20,356.250000,356.250000,336.250000,338.750000,338.750000,18710
2000-11-21,336.875000,338.750000,290.000000,293.125000,293.125000,19310
2000-11-22,299.375000,300.000000,255.625000,260.000000,260.000000,13560
2000-11-24,265.000000,265.000000,240.000000,253.750000,253.750000,3130
2000-11-27,260.000000,260.000000,235.000000,247.500000,247.500000,20900
2000-11-28,253.750000,253.750000,217.500000,223.750000,223.750000,11740
2000-11-29,226.250000,227.500000,200.000000,205.000000,205.000000,29540
2000-11-30,205.000000,206.250000,178.750000,195.000000,195.000000,21500
2000-12-01,200.000000,251.250000,195.000000,235.000000,235.000000,22220
2000-12-04,235.000000,241.250000,233.750000,241.250000,241.250000,5170
2000-12-05,241.250000,241.250000,233.750000,233.750000,233.750000,6120
2000-12-06,234.218750,234.375000,217.500000,218.750000,218.750000,15880
2000-12-07,215.000000,217.656250,190.000000,195.000000,195.000000,6950
2000-12-08,197.500000,200.000000,191.250000,192.500000,192.500000,18120
2000-12-11,200.625000,206.250000,187.500000,187.500000,187.500000,13190
2000-12-12,187.500000,187.500000,160.000000,171.250000,171.250000,29730
2000-12-13,177.968750,178.125000,167.500000,170.000000,170.000000,30960
2000-12-14,167.500000,175.000000,167.500000,173.750000,173.750000,4610
2000-12-15,173.750000,173.750000,168.750000,171.562500,171.562500,2010
2000-12-18,171.250000,175.625000,161.875000,169.375000,169.375000,16980
2000-12-19,169.375000,169.375000,156.250000,158.750000,158.750000,16190
2000-12-20,159.375000,159.375000,142.500000,150.000000,150.000000,11340
2000-12-21,148.750000,150.000000,147.500000,150.000000,150.000000,16060
2000-12-22,150.000000,155.625000,136.250000,141.250000,141.250000,23900
2000-12-26,146.875000,146.875000,140.000000,140.625000,140.625000,7630
2000-12-27,146.250000,146.250000,140.000000,140.625000,140.625000,33010
2000-12-28,140.000000,170.000000,140.000000,148.125000,148.125000,11180
2000-12-29,150.625000,158.750000,147.500000,155.000000,155.000000,19970
2001-01-02,158.125000,158.125000,141.250000,141.250000,141.250000,9790
2001-01-03,138.125000,138.750000,120.000000,126.250000,126.250000,30720
2001-01-04,133.593750,133.750000,125.625000,128.750000,128.750000,42720
2001-01-05,136.875000,140.000000,127.500000,131.250000,131.250000,54900
2001-01-08,138.750000,140.000000,116.875000,117.500000,117.500000,34860
2001-01-09,118.125000,130.000000,116.250000,118.125000,118.125000,23050
2001-01-10,115.625000,140.000000,115.625000,123.750000,123.750000,32170
2001-01-11,129.218750,140.000000,128.750000,140.000000,140.000000,3970
