Date,Open,High,Low,Close,Adj Close,Volume
2021-07-28,10.000000,10.000000,10.000000,10.000000,10.000000,500
2021-07-29,9.750000,9.750000,9.700000,9.700000,9.700000,3700
2021-07-30,9.710000,9.710000,9.710000,9.710000,9.710000,600
2021-08-02,9.900000,9.900000,9.850000,9.850000,9.850000,7500
2021-08-03,9.900000,9.900000,9.730000,9.750000,9.750000,4200
2021-08-04,9.750000,9.750000,9.750000,9.750000,9.750000,0
2021-08-05,9.770000,9.770000,9.740000,9.760000,9.760000,3600
2021-08-06,9.780000,9.780000,9.750000,9.750000,9.750000,51200
2021-08-09,9.800000,9.875000,9.750000,9.770000,9.770000,3900
2021-08-10,9.750000,9.760000,9.740000,9.750000,9.750000,75500
2021-08-11,9.800000,9.830000,9.730000,9.740000,9.740000,41400
2021-08-12,9.730000,9.750000,9.700000,9.750000,9.750000,139600
2021-08-13,9.800000,9.820000,9.750000,9.768000,9.768000,33900
2021-08-16,9.780000,9.791000,9.720000,9.780000,9.780000,56200
2021-08-17,9.800000,9.820000,9.759000,9.780000,9.780000,76700
2021-08-18,9.770000,9.780000,9.770000,9.780000,9.780000,5620
