Date,Open,High,Low,Close,Adj Close,Volume
2020-10-08,9.750000,9.750000,9.725000,9.730000,9.730000,1165200
2020-10-09,9.735000,9.740000,9.730000,9.740000,9.740000,311500
2020-10-12,9.730000,9.740000,9.730000,9.730000,9.730000,130000
2020-10-13,9.730000,9.730000,9.730000,9.730000,9.730000,1525800
2020-10-14,9.753000,9.765000,9.735000,9.735000,9.735000,1007400
2020-10-15,9.749000,9.749000,9.730000,9.730000,9.730000,1500
2020-10-16,9.730000,9.730000,9.710000,9.710000,9.710000,4200
2020-10-19,9.730000,9.730000,9.681000,9.720000,9.720000,25100
2020-10-20,9.710000,9.740000,9.710000,9.740000,9.740000,5900
2020-10-21,9.720000,9.730000,9.700000,9.700000,9.700000,52300
2020-10-22,9.700000,9.700000,9.700000,9.700000,9.700000,189300
2020-10-23,9.700000,9.700000,9.700000,9.700000,9.700000,100
2020-10-26,9.700000,9.700000,9.700000,9.700000,9.700000,0
2020-10-27,9.700000,9.700000,9.700000,9.700000,9.700000,0
2020-10-28,9.670000,9.770000,9.640000,9.740000,9.740000,21000
2020-10-29,9.650000,9.650000,9.640000,9.640000,9.640000,400
2020-10-30,9.640000,9.640000,9.640000,9.640000,9.640000,0
2020-11-02,9.640000,9.640000,9.640000,9.640000,9.640000,0
2020-11-03,9.700000,9.700000,9.700000,9.700000,9.700000,21800
2020-11-04,9.740000,9.740000,9.740000,9.740000,9.740000,200
2020-11-05,9.750000,9.759000,9.730000,9.750000,9.750000,172100
2020-11-06,9.750000,9.750000,9.710000,9.750000,9.750000,12500
2020-11-09,9.770000,9.770000,9.720000,9.760000,9.760000,237300
2020-11-10,9.750000,9.770000,9.730000,9.750000,9.750000,69000
2020-11-11,9.760000,9.770000,9.760000,9.770000,9.770000,500800
2020-11-12,9.750000,9.770000,9.750000,9.770000,9.770000,258000
2020-11-13,9.770000,9.770000,9.740000,9.770000,9.770000,169300
2020-11-16,9.750000,9.770000,9.745000,9.760000,9.760000,959100
2020-11-17,9.750000,9.770000,9.750000,9.770000,9.770000,27200
2020-11-18,9.755000,9.760000,9.720000,9.760000,9.760000,27000
2020-11-19,9.770000,9.770000,9.720000,9.760000,9.760000,14000
2020-11-20,9.760000,9.770000,9.700000,9.740000,9.740000,55600
2020-11-23,9.750000,9.800000,9.740000,9.790000,9.790000,162900
2020-11-24,9.800000,9.800000,9.770000,9.800000,9.800000,5300
2020-11-25,9.800000,9.830000,9.770000,9.830000,9.830000,353000
