Date,Open,High,Low,Close,Adj Close,Volume
2015-05-11,5.000000,5.000000,5.000000,5.000000,5.000000,0
2015-05-12,4.890000,4.890000,3.810000,3.990000,3.990000,496900
2015-05-13,4.340000,4.690000,4.120000,4.690000,4.690000,287100
2015-05-14,4.590000,4.590000,4.090000,4.240000,4.240000,152400
2015-05-15,4.200000,4.980000,4.155000,4.480000,4.480000,525100
2015-05-18,4.580000,4.580000,4.400000,4.520000,4.520000,102800
2015-05-19,4.450000,4.840000,4.310000,4.710000,4.710000,192900
2015-05-20,4.610000,4.620000,4.420000,4.590000,4.590000,39500
2015-05-21,4.530000,4.650000,4.460000,4.500000,4.500000,59400
2015-05-22,4.420000,4.600000,4.250000,4.500000,4.500000,80000
2015-05-26,4.440000,4.560000,4.440000,4.460000,4.460000,10500
2015-05-27,4.410000,4.500000,4.330000,4.500000,4.500000,7500
2015-05-28,4.360000,4.410000,4.060000,4.300000,4.300000,18500
2015-05-29,4.290000,4.400000,4.060000,4.350000,4.350000,23500
2015-06-01,4.230000,4.350000,4.230000,4.350000,4.350000,10300
2015-06-02,4.282000,4.335000,4.270000,4.270000,4.270000,3200
2015-06-03,4.260000,4.285000,4.260000,4.260000,4.260000,2000
2015-06-04,4.310000,4.580000,4.310000,4.440000,4.440000,18800
2015-06-05,4.520000,4.550000,4.500000,4.500000,4.500000,3600
2015-06-08,4.850000,4.940000,4.770000,4.800000,4.800000,31200
2015-06-09,4.800000,4.900000,4.690000,4.880000,4.880000,25000
2015-06-10,4.990000,5.420000,4.990000,5.160000,5.160000,403900
2015-06-11,5.100000,5.100000,4.870000,4.900000,4.900000,37400
2015-06-12,5.250000,5.250000,4.900000,5.000000,5.000000,11200
2015-06-15,5.160000,5.170000,4.800000,4.970000,4.970000,36900
2015-06-16,4.830000,4.960000,4.690000,4.940000,4.940000,37000
2015-06-17,5.360000,5.400000,5.020000,5.080000,5.080000,192200
2015-06-18,4.940000,5.060000,4.900000,5.040000,5.040000,13700
2015-06-19,4.930000,5.000000,4.920000,4.960000,4.960000,16100
2015-06-22,5.020000,5.190000,4.950000,5.050000,5.050000,39000
2015-06-23,5.000000,5.050000,4.914000,4.990000,4.990000,16500
2015-06-24,4.980000,5.000000,4.770000,5.000000,5.000000,21600
2015-06-25,5.000000,5.100000,4.890000,4.970000,4.970000,53700
2015-06-26,5.000000,5.600000,4.900000,5.395000,5.395000,162400
2015-06-29,5.500000,5.750000,5.030000,5.100000,5.100000,193500
2015-06-30,5.120000,5.190000,4.780000,4.950000,4.950000,61800
2015-07-01,4.870000,4.870000,4.440000,4.520000,4.520000,28300
2015-07-02,4.520000,4.800000,4.520000,4.690000,4.690000,72300
2015-07-06,4.640000,4.750000,4.640000,4.670000,4.670000,9700
2015-07-07,4.721000,4.721000,4.580000,4.660000,4.660000,11800
2015-07-08,4.590000,4.600000,4.280000,4.340000,4.340000,62100
2015-07-09,4.526000,4.660000,4.491000,4.570000,4.570000,4200
2015-07-10,4.540000,4.650000,4.540000,4.630000,4.630000,1000
2015-07-13,4.650000,4.650000,4.550000,4.570000,4.570000,6700
2015-07-14,4.580000,4.640000,4.550000,4.560000,4.560000,9300
2015-07-15,4.650000,4.720000,4.540000,4.550000,4.550000,3600
2015-07-16,4.560000,4.690000,4.540000,4.540000,4.540000,10800
2015-07-17,4.530000,4.690000,4.460000,4.550000,4.550000,4100
2015-07-20,4.590000,4.715000,4.480000,4.480000,4.480000,12500
2015-07-21,4.510000,4.670000,4.350000,4.430000,4.430000,16500
2015-07-22,4.330000,4.400000,4.330000,4.380000,4.380000,900
2015-07-23,4.380000,4.380000,4.350000,4.380000,4.380000,2100
2015-07-24,4.313000,4.390000,4.290000,4.310000,4.310000,2500
2015-07-27,4.390000,4.400000,4.180000,4.240000,4.240000,12500
2015-07-28,4.300000,4.330000,4.250000,4.270000,4.270000,7100
2015-07-29,4.400000,4.400000,4.110000,4.230000,4.230000,11600
2015-07-30,4.300000,4.300000,4.120000,4.130000,4.130000,9500
2015-07-31,4.130000,4.360000,4.130000,4.250000,4.250000,500
2015-08-03,4.670000,4.850000,4.170000,4.350000,4.350000,132400
2015-08-04,4.290000,4.290000,4.123000,4.250000,4.250000,6500
2015-08-05,4.140000,4.150000,4.060000,4.130000,4.130000,5600
2015-08-06,4.150000,4.210000,4.130000,4.210000,4.210000,3800
2015-08-07,4.200000,4.200000,4.200000,4.200000,4.200000,100
2015-08-10,4.100000,4.130000,4.090000,4.090000,4.090000,400
2015-08-11,4.060000,4.120000,3.960000,3.990000,3.990000,9400
2015-08-12,4.000000,4.130000,3.990000,4.050000,4.050000,800
2015-08-13,3.999000,4.580000,3.830000,4.330000,4.330000,40000
2015-08-14,4.440000,4.440000,4.160000,4.250000,4.250000,3000
2015-08-17,4.380000,4.410000,4.141000,4.173000,4.173000,36400
2015-08-18,4.100000,4.110000,4.100000,4.100000,4.100000,3700
2015-08-19,4.050000,4.053000,4.050000,4.050000,4.050000,1300
2015-08-20,4.050000,4.050000,3.990000,4.000000,4.000000,11700
2015-08-21,4.000000,4.000000,3.816000,3.860000,3.860000,6500
