Date,Open,High,Low,Close,Adj Close,Volume
2019-11-14,5.200000,9.000000,5.200000,7.000000,7.000000,3800
2019-11-15,7.000000,7.200000,6.317000,6.317000,6.317000,61700
2019-11-18,6.000000,6.300000,6.000000,6.050000,6.050000,64400
2019-11-19,5.500000,5.500000,5.000000,5.250000,5.250000,7000
2019-11-20,5.830000,5.830000,5.250000,5.510000,5.510000,14200
2019-11-21,5.520000,5.520000,4.510000,4.510000,4.510000,119100
2019-11-22,4.120000,4.840000,3.600000,4.480000,4.480000,583700
2019-11-25,3.580000,4.600000,3.570000,4.560000,4.560000,149000
2019-11-26,4.760000,8.410000,4.605000,6.860000,6.860000,693300
2019-11-27,7.110000,7.720000,5.200000,5.600000,5.600000,667100
2019-11-29,5.540000,5.700000,5.200000,5.370000,5.370000,142300
2019-12-02,5.460000,5.670000,5.110000,5.400000,5.400000,256200
2019-12-03,5.350000,5.795000,5.080000,5.650000,5.650000,101000
2019-12-04,5.830000,6.160000,5.500000,5.780000,5.780000,238000
2019-12-05,5.850000,6.820000,5.735000,6.330000,6.330000,281000
2019-12-06,6.410000,6.810000,6.250000,6.670000,6.670000,262800
2019-12-09,6.750000,6.750000,6.100000,6.250000,6.250000,124500
2019-12-10,6.250000,6.550000,6.121000,6.390000,6.390000,303700
2019-12-11,6.390000,6.396000,6.030000,6.150000,6.150000,171700
2019-12-12,6.160000,6.360000,6.010000,6.300000,6.300000,71100
2019-12-13,6.350000,6.350000,5.900000,6.050000,6.050000,161100
2019-12-16,6.050000,6.390000,6.000000,6.150000,6.150000,97200
2019-12-17,6.130000,6.540000,5.860000,5.900000,5.900000,166200
2019-12-18,5.870000,5.900000,5.330000,5.460000,5.460000,239800
2019-12-19,5.500000,5.920000,5.318000,5.600000,5.600000,100400
2019-12-20,5.610000,5.859000,5.510000,5.720000,5.720000,171000
2019-12-23,5.630000,7.249000,5.630000,6.920000,6.920000,236700
2019-12-24,7.000000,7.076000,6.380000,6.700000,6.700000,46200
2019-12-26,6.660000,7.365000,6.430000,7.200000,7.200000,132900
2019-12-27,7.280000,8.280000,7.200000,7.240000,7.240000,212100
2019-12-30,7.250000,7.620000,6.760000,6.980000,6.980000,77700
2019-12-31,6.960000,7.220000,6.900000,6.920000,6.920000,62200
2020-01-02,6.950000,6.950000,6.360000,6.530000,6.530000,131300
2020-01-03,6.500000,7.150000,6.200000,7.050000,7.050000,118200
2020-01-06,7.070000,7.140000,6.350000,6.800000,6.800000,223100
2020-01-07,6.800000,6.950000,6.360000,6.910000,6.910000,37500
2020-01-08,6.800000,7.250000,6.800000,7.010000,7.010000,69900
2020-01-09,6.990000,7.110000,6.730000,6.980000,6.980000,83200
2020-01-10,7.120000,7.500000,7.000000,7.240000,7.240000,262700
2020-01-13,7.310000,7.950000,7.250000,7.820000,7.820000,240600
2020-01-14,7.950000,7.950000,7.300000,7.330000,7.330000,71600
2020-01-15,7.669000,7.669000,6.670000,6.900000,6.900000,125200
2020-01-16,7.000000,7.609000,7.000000,7.470000,7.470000,69600
2020-01-17,7.490000,7.810000,7.210000,7.380000,7.380000,67500
2020-01-21,7.380000,7.950000,7.000000,7.040000,7.040000,115300
2020-01-22,7.940000,9.000000,7.691000,8.530000,8.530000,775300
2020-01-23,9.160000,9.600000,8.440000,8.460000,8.460000,455800
2020-01-24,8.610000,9.060000,7.500000,8.305000,8.305000,125000
2020-01-27,8.200000,9.120000,8.010000,8.510000,8.510000,142200
2020-01-28,8.810000,9.076000,8.600000,8.690000,8.690000,132900
2020-01-29,9.080000,9.266000,8.370000,8.680000,8.680000,135500
2020-01-30,8.680000,8.880000,8.364000,8.590000,8.590000,136300
2020-01-31,8.590000,8.700000,8.161000,8.370000,8.370000,129000
2020-02-03,8.660000,8.760000,8.160000,8.460000,8.460000,130800
2020-02-04,8.510000,8.759000,8.350000,8.490000,8.490000,106500
2020-02-05,8.500000,9.600000,8.220000,9.230000,9.230000,211600
2020-02-06,9.390000,9.466000,9.010000,9.100000,9.100000,139700
2020-02-07,9.200000,9.400000,8.910000,9.000000,9.000000,122300
2020-02-10,9.010000,9.238000,8.093000,8.370000,8.370000,193200
2020-02-11,8.330000,8.450000,7.650000,8.170000,8.170000,229600
2020-02-12,8.070000,8.540000,8.070000,8.300000,8.300000,121600
2020-02-13,8.260000,8.882000,8.260000,8.550000,8.550000,138500
2020-02-14,8.510000,8.683000,8.200000,8.230000,8.230000,159500
2020-02-18,8.490000,8.773000,8.210000,8.380000,8.380000,277800
2020-02-19,8.700000,8.970000,7.840000,7.840000,7.840000,562600
