Date,Open,High,Low,Close,Adj Close,Volume
2004-04-14,12.250000,12.650000,12.000000,12.230000,12.230000,358300
2004-04-15,12.240000,12.260000,12.000000,12.000000,12.000000,214600
2004-04-16,12.010000,12.050000,12.000000,12.000000,12.000000,111800
2004-04-19,12.050000,12.050000,11.250000,11.400000,11.400000,292100
2004-04-20,12.000000,12.000000,11.000000,11.020000,11.020000,31300
2004-04-21,11.500000,11.500000,10.750000,10.800000,10.800000,177000
2004-04-22,11.000000,11.000000,10.500000,10.900000,10.900000,33500
2004-04-23,10.910000,11.010000,10.900000,10.900000,10.900000,54400
2004-04-26,11.250000,11.250000,10.700000,10.850000,10.850000,46000
2004-04-27,11.500000,11.600000,10.850000,10.850000,10.850000,27800
2004-04-28,11.500000,11.600000,10.650000,10.850000,10.850000,41200
2004-04-29,11.450000,11.450000,10.950000,11.300000,11.300000,29300
2004-04-30,11.010000,11.760000,11.010000,11.740000,11.740000,36900
2004-05-03,11.740000,11.740000,11.000000,11.000000,11.000000,57000
2004-05-04,11.490000,11.760000,11.100000,11.690000,11.690000,66900
2004-05-05,11.980000,12.000000,11.250000,11.480000,11.480000,47200
2004-05-06,11.750000,11.750000,11.260000,11.410000,11.410000,5500
2004-05-07,11.250000,11.400000,11.030000,11.400000,11.400000,26200
2004-05-10,11.000000,11.170000,10.650000,10.680000,10.680000,66300
2004-05-11,10.650000,10.950000,10.500000,10.950000,10.950000,57600
2004-05-12,10.600000,10.990000,10.250000,10.420000,10.420000,45400
2004-05-13,10.510000,10.510000,10.300000,10.320000,10.320000,13300
2004-05-14,10.790000,10.790000,10.180000,10.250000,10.250000,90500
2004-05-17,10.430000,10.690000,9.210000,9.850000,9.850000,28100
2004-05-18,10.000000,10.010000,9.200000,9.850000,9.850000,231100
2004-05-19,9.940000,10.660000,9.450000,10.140000,10.140000,86400
2004-05-20,9.950000,10.400000,9.900000,10.020000,10.020000,53200
2004-05-21,10.000000,10.200000,9.870000,10.030000,10.030000,49600
2004-05-24,10.080000,10.090000,9.980000,10.000000,10.000000,16700
2004-05-25,10.570000,10.570000,9.920000,10.000000,10.000000,197300
2004-05-26,10.090000,10.090000,9.920000,10.000000,10.000000,21800
2004-05-27,9.950000,9.950000,9.510000,9.940000,9.940000,81500
2004-05-28,9.790000,11.500000,9.720000,11.200000,11.200000,194500
2004-06-01,11.150000,11.150000,10.050000,10.740000,10.740000,13200
2004-06-02,10.640000,10.740000,10.240000,10.600000,10.600000,6000
2004-06-03,10.450000,10.650000,10.450000,10.650000,10.650000,3200
2004-06-04,10.890000,11.000000,10.600000,10.890000,10.890000,8100
2004-06-07,10.800000,10.800000,10.740000,10.750000,10.750000,8500
2004-06-08,10.750000,10.750000,10.640000,10.640000,10.640000,300
2004-06-09,10.750000,10.750000,10.260000,10.260000,10.260000,4700
2004-06-10,10.620000,10.750000,10.440000,10.500000,10.500000,18000
2004-06-14,10.260000,10.500000,9.710000,9.970000,9.970000,11200
2004-06-15,10.130000,10.190000,9.750000,10.060000,10.060000,16300
2004-06-16,10.160000,10.160000,9.640000,9.790000,9.790000,30500
2004-06-17,9.670000,10.020000,9.670000,9.690000,9.690000,1500
2004-06-18,10.000000,10.000000,9.670000,10.000000,10.000000,7400
2004-06-21,10.000000,10.000000,9.530000,9.650000,9.650000,20000
2004-06-22,9.560000,10.070000,9.540000,9.900000,9.900000,25800
2004-06-23,9.830000,10.000000,9.800000,10.000000,10.000000,22000
2004-06-24,9.800000,9.800000,9.300000,9.530000,9.530000,9600
2004-06-25,9.600000,9.770000,8.260000,8.640000,8.640000,214800
2004-06-28,8.640000,8.640000,7.180000,7.260000,7.260000,51500
2004-06-29,7.400000,8.000000,7.150000,7.750000,7.750000,129600
2004-06-30,7.750000,7.750000,7.150000,7.720000,7.720000,40400
2004-07-01,7.250000,7.730000,7.170000,7.310000,7.310000,7000
2004-07-02,7.500000,8.390000,7.240000,7.240000,7.240000,16800
2004-07-06,7.240000,7.240000,6.820000,7.000000,7.000000,37300
2004-07-07,6.800000,6.980000,6.690000,6.900000,6.900000,20600
2004-07-08,6.650000,6.700000,5.920000,6.000000,6.000000,15900
2004-07-09,6.000000,6.000000,5.290000,5.500000,5.500000,248600
2004-07-12,5.750000,5.780000,5.000000,5.200000,5.200000,266400
2004-07-13,5.670000,6.300000,5.250000,5.770000,5.770000,125700
2004-07-14,5.540000,6.150000,5.500000,5.880000,5.880000,27500
2004-07-15,5.990000,6.100000,5.750000,5.940000,5.940000,80800
2004-07-16,6.000000,6.000000,5.130000,5.950000,5.950000,13900
2004-07-19,5.780000,5.780000,5.120000,5.500000,5.500000,23300
2004-07-20,5.410000,5.650000,4.990000,5.000000,5.000000,11400
2004-07-21,5.300000,5.730000,5.100000,5.500000,5.500000,366800
2004-07-22,5.500000,5.500000,5.300000,5.300000,5.300000,5100
2004-07-23,5.500000,5.500000,4.900000,5.250000,5.250000,31300
2004-07-26,5.490000,5.500000,5.100000,5.250000,5.250000,6100
2004-07-27,5.300000,6.250000,5.290000,6.130000,6.130000,183000
2004-07-28,5.870000,6.060000,5.800000,6.010000,6.010000,7100
2004-07-29,5.800000,5.880000,5.500000,5.780000,5.780000,20900
2004-07-30,6.010000,6.300000,5.770000,6.300000,6.300000,22800
2004-08-02,5.880000,6.500000,5.750000,6.350000,6.350000,14100
2004-08-03,6.220000,6.300000,5.960000,6.300000,6.300000,6600
2004-08-04,6.110000,6.300000,5.970000,6.300000,6.300000,4500
2004-08-05,6.350000,6.350000,5.740000,6.100000,6.100000,4900
2004-08-06,5.820000,6.690000,5.800000,6.690000,6.690000,9100
2004-08-09,6.540000,6.540000,5.670000,5.880000,5.880000,20500
2004-08-10,6.080000,6.150000,5.910000,6.070000,6.070000,12100
2004-08-11,5.950000,6.450000,5.950000,6.450000,6.450000,11000
2004-08-12,6.240000,6.400000,5.920000,6.300000,6.300000,7400
2004-08-13,6.400000,6.500000,6.000000,6.240000,6.240000,5200
2004-08-16,6.290000,6.300000,6.000000,6.080000,6.080000,8900
2004-08-17,6.180000,6.180000,6.080000,6.180000,6.180000,2900
2004-08-18,6.130000,6.500000,6.130000,6.480000,6.480000,7200
2004-08-19,6.420000,6.480000,6.420000,6.480000,6.480000,200
2004-08-20,6.490000,6.490000,6.390000,6.400000,6.400000,5300
2004-08-23,6.380000,6.480000,6.310000,6.320000,6.320000,2300
2004-08-24,6.480000,6.480000,6.130000,6.400000,6.400000,6400
2004-08-25,6.300000,6.470000,6.300000,6.450000,6.450000,27700
2004-08-26,6.470000,6.750000,6.430000,6.750000,6.750000,7900
2004-08-27,6.880000,7.500000,6.780000,7.440000,7.440000,8100
2004-08-30,7.640000,8.980000,7.500000,8.600000,8.600000,93900
2004-08-31,8.350000,8.350000,6.870000,8.300000,8.300000,46900
2004-09-01,8.300000,8.500000,7.040000,7.720000,7.720000,57500
2004-09-02,7.750000,8.200000,7.070000,8.100000,8.100000,26700
2004-09-03,8.000000,8.000000,7.300000,7.760000,7.760000,10200
2004-09-07,7.990000,7.990000,7.310000,7.900000,7.900000,9300
2004-09-08,7.760000,7.900000,7.500000,7.850000,7.850000,4400
2004-09-09,7.300000,8.000000,7.290000,7.750000,7.750000,7200
2004-09-10,7.900000,7.900000,7.580000,7.900000,7.900000,14900
2004-09-13,7.900000,8.000000,7.800000,7.900000,7.900000,7800
2004-09-14,7.790000,8.000000,7.400000,8.000000,8.000000,8500
2004-09-15,7.770000,7.990000,7.520000,7.990000,7.990000,8000
