Date,Open,High,Low,Close,Adj Close,Volume
1991-06-28,0.972222,1.166667,0.972222,1.013889,1.013889,13370400
1991-07-01,1.055556,1.138889,1.027778,1.083333,1.083333,803700
1991-07-02,1.111111,1.138889,1.083333,1.111111,1.111111,630900
1991-07-03,1.083333,1.111111,1.083333,1.111111,1.111111,1090800
1991-07-05,1.083333,1.111111,1.083333,1.111111,1.111111,93600
1991-07-08,1.055556,1.138889,1.055556,1.083333,1.083333,197100
1991-07-09,1.083333,1.138889,1.083333,1.083333,1.083333,552600
1991-07-10,1.125000,1.138889,1.083333,1.111111,1.111111,827100
1991-07-11,1.083333,1.166667,1.083333,1.111111,1.111111,922500
1991-07-12,1.138889,1.166667,1.083333,1.138889,1.138889,697500
1991-07-15,1.138889,1.166667,1.125000,1.138889,1.138889,298800
1991-07-16,1.166667,1.194444,1.138889,1.166667,1.166667,1152000
1991-07-17,1.152778,1.250000,1.152778,1.250000,1.250000,706500
1991-07-18,1.250000,1.333333,1.222222,1.333333,1.333333,1806300
1991-07-19,1.375000,1.416667,1.319444,1.388889,1.388889,1992600
1991-07-22,1.402778,1.402778,1.361111,1.388889,1.388889,881100
1991-07-23,1.361111,1.402778,1.305556,1.347222,1.347222,417600
1991-07-24,1.333333,1.361111,1.305556,1.361111,1.361111,330300
1991-07-25,1.305556,1.388889,1.305556,1.388889,1.388889,234900
1991-07-26,1.388889,1.444444,1.361111,1.416667,1.416667,1436400
1991-07-29,1.444444,1.500000,1.388889,1.444444,1.444444,257400
1991-07-30,1.472222,1.583333,1.444444,1.541667,1.541667,614700
1991-07-31,1.555556,1.555556,1.500000,1.555556,1.555556,1418400
1991-08-01,1.583333,1.694444,1.555556,1.694444,1.694444,510300
1991-08-02,1.694444,1.750000,1.638889,1.694444,1.694444,1211400
1991-08-05,1.694444,1.694444,1.611111,1.638889,1.638889,336600
1991-08-06,1.583333,1.694444,1.555556,1.694444,1.694444,690300
1991-08-07,1.694444,1.750000,1.666667,1.722222,1.722222,575100
1991-08-08,1.722222,1.805556,1.666667,1.791667,1.791667,620100
1991-08-09,1.777778,1.805556,1.750000,1.777778,1.777778,1175400
1991-08-12,1.777778,1.777778,1.722222,1.722222,1.722222,550800
1991-08-13,1.777778,1.777778,1.666667,1.722222,1.722222,450900
1991-08-14,1.680556,1.680556,1.583333,1.611111,1.611111,393300
1991-08-15,1.583333,1.611111,1.527778,1.555556,1.555556,264600
1991-08-16,1.555556,1.555556,1.500000,1.527778,1.527778,82800
1991-08-19,1.444444,1.611111,1.416667,1.583333,1.583333,632700
1991-08-20,1.583333,1.750000,1.569444,1.736111,1.736111,513000
1991-08-21,1.805556,1.833333,1.722222,1.833333,1.833333,401400
1991-08-22,1.805556,1.819444,1.722222,1.777778,1.777778,359100
1991-08-23,1.750000,1.888889,1.750000,1.805556,1.805556,416700
1991-08-26,1.861111,1.861111,1.694444,1.777778,1.777778,266400
1991-08-27,1.777778,1.777778,1.722222,1.722222,1.722222,121500
