Date,Open,High,Low,Close,Adj Close,Volume
2021-06-30,26.250000,29.000000,25.000000,28.000000,28.000000,2856100
2021-07-01,27.049999,27.620001,24.530001,26.070000,26.070000,552900
2021-07-02,26.160000,26.285000,24.150000,25.459999,25.459999,195100
2021-07-06,25.129999,27.420000,22.000000,22.170000,22.170000,387700
2021-07-07,23.000000,24.790001,20.010000,20.040001,20.040001,120100
2021-07-08,20.000000,21.620001,18.190001,18.389999,18.389999,195600
2021-07-09,18.850000,21.799999,17.750000,18.540001,18.540001,228300
2021-07-12,20.143999,20.400000,19.020000,20.100000,20.100000,225000
2021-07-13,19.490000,20.330999,19.002001,19.860001,19.860001,184700
2021-07-14,20.180000,21.219999,19.830000,20.730000,20.730000,97000
2021-07-15,21.080000,21.080000,19.910000,19.910000,19.910000,196100
2021-07-16,20.139999,20.650000,19.389999,20.010000,20.010000,206600
2021-07-19,19.629999,21.077999,19.500000,20.090000,20.090000,120100
2021-07-20,19.809999,21.049999,19.080000,19.900000,19.900000,153500
2021-07-21,19.730000,20.705000,19.709999,20.320000,20.320000,86900
2021-07-22,20.990000,20.990000,19.530001,20.330000,20.330000,74200
2021-07-23,20.040001,20.260000,19.760000,20.219999,20.219999,102100
2021-07-26,20.400000,20.400000,19.410000,19.930000,19.930000,150700
2021-07-27,19.850000,20.101999,19.325001,19.410000,19.410000,95600
2021-07-28,19.600000,20.370001,19.160000,19.480000,19.480000,144100
2021-07-29,19.620001,20.030001,19.139999,19.230000,19.230000,75000
2021-07-30,19.389999,20.097000,19.209999,19.740000,19.740000,50300
2021-08-02,19.740000,22.879999,19.620001,22.340000,22.340000,226200
2021-08-03,22.590000,22.870001,22.010000,22.400000,22.400000,86100
2021-08-04,22.549999,24.240000,21.775000,22.120001,22.120001,120000
2021-08-05,21.709999,22.000000,20.120001,21.139999,21.139999,221800
2021-08-06,21.480000,22.219999,20.330000,21.730000,21.730000,121000
2021-08-09,21.910000,22.510000,20.260000,20.719999,20.719999,103700
2021-08-10,20.799999,21.980000,20.309999,20.700001,20.700001,92700
2021-08-11,20.500000,20.910000,19.200001,20.230000,20.230000,104600
2021-08-12,20.059999,20.430000,19.240000,20.139999,20.139999,88600
2021-08-13,20.299999,20.299999,18.860001,18.900000,18.900000,119100
2021-08-16,18.850000,20.209999,18.850000,20.080000,20.080000,64100
2021-08-17,19.990000,20.490000,17.840000,18.250000,18.250000,114086
