Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,6.510000,7.174000,6.510000,7.020000,6.867723,75100
2021-06-09,6.950000,6.950000,6.770000,6.790000,6.642712,30800
2021-06-10,6.740000,6.780000,6.620000,6.650000,6.505748,39000
2021-06-11,6.650000,6.765000,6.650000,6.720000,6.574230,20500
2021-06-14,6.700000,6.715000,6.600000,6.630000,6.486182,24400
2021-06-15,6.670000,6.722000,6.620000,6.670000,6.525315,12500
2021-06-16,6.660000,6.840000,6.610000,6.800000,6.652495,86800
2021-06-17,6.790000,6.940000,6.561000,6.920000,6.769892,31000
2021-06-18,6.950000,7.000000,6.810000,7.000000,6.848156,77100
2021-06-21,7.000000,7.570000,6.879000,7.570000,7.405792,100100
2021-06-22,7.440000,7.450000,7.160000,7.390000,7.229696,68600
2021-06-23,7.390000,7.490000,7.260000,7.480000,7.317744,31000
2021-06-24,7.450000,7.690000,7.290000,7.680000,7.513405,22600
2021-06-25,7.610000,7.690000,7.610000,7.660000,7.493839,4100
2021-06-28,7.660000,7.660000,7.480000,7.560000,7.396008,18800
2021-06-29,7.660000,8.395000,7.440000,7.660000,7.493839,5100
2021-06-30,7.130000,7.750000,7.130000,7.220000,7.063384,12800
2021-07-01,7.750000,7.750000,7.330000,7.705000,7.537863,7600
2021-07-02,7.390000,7.413000,7.112000,7.150000,6.994903,14400
2021-07-06,7.030000,7.150000,7.010000,7.098000,6.944030,12600
2021-07-07,7.030000,7.169000,7.000000,7.000000,6.848156,10900
2021-07-08,7.000000,7.140000,6.962000,6.970000,6.818807,13200
2021-07-09,6.980000,7.090000,6.930000,6.950000,6.799241,6200
2021-07-12,6.950000,7.090000,6.940000,7.050000,6.897072,11600
2021-07-13,7.100000,7.150000,6.969000,6.969000,6.817829,10000
2021-07-14,6.990000,7.100000,6.970000,6.980000,6.828590,2300
2021-07-15,6.940000,7.171000,6.890000,6.920000,6.769892,22700
2021-07-16,7.070000,7.070000,6.860000,6.860000,6.711193,6600
2021-07-19,6.630000,6.974000,6.420000,6.450000,6.310087,26800
2021-07-20,6.570000,6.570000,6.347000,6.380000,6.241605,16600
2021-07-21,6.510000,6.600000,6.490000,6.520000,6.378568,11000
2021-07-22,6.542000,6.550000,6.280000,6.280000,6.143775,7500
2021-07-23,6.290000,6.502000,6.273000,6.326000,6.188777,11700
2021-07-26,6.480000,6.680000,6.440000,6.455000,6.314978,10700
2021-07-27,6.790000,6.790000,6.530000,6.650000,6.505748,31700
2021-07-28,6.820000,6.950000,6.660000,6.810000,6.662278,48700
2021-07-29,6.918000,6.918000,6.730000,6.730000,6.584013,6500
2021-07-30,6.910000,6.910000,6.795000,6.795000,6.647603,3900
2021-08-02,6.810000,6.880000,6.723000,6.725000,6.579122,20500
2021-08-03,6.793000,6.793000,6.720000,6.720000,6.574230,3600
2021-08-04,6.720000,6.805000,6.690000,6.800000,6.652495,6600
2021-08-05,6.800000,6.870000,6.800000,6.820000,6.672061,16900
2021-08-06,6.830000,7.010000,6.830000,7.000000,6.848156,17900
2021-08-09,7.080000,7.355000,7.050000,7.318000,7.159258,46000
2021-08-10,7.340000,7.340000,7.100000,7.220000,7.063384,9200
2021-08-11,7.350000,7.390000,7.220000,7.376000,7.216000,17800
2021-08-12,6.760000,7.060000,6.760000,6.950000,6.950000,28600
2021-08-13,7.010000,7.100000,6.930000,7.000000,7.000000,5300
2021-08-16,6.790000,6.970000,6.760000,6.920000,6.920000,18500
2021-08-17,6.855000,6.890000,6.814000,6.878000,6.878000,5600
2021-08-18,6.830000,6.940000,6.730000,6.888500,6.888500,17180
