Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,10.000000,10.100000,9.600000,9.620000,9.620000,9600
2021-04-05,10.100000,10.100000,9.720000,9.780000,9.780000,159200
2021-04-06,9.850000,9.850000,9.715000,9.817000,9.817000,52300
2021-04-07,9.880000,9.910000,9.764000,9.840000,9.840000,38800
2021-04-08,9.925000,9.950000,9.830000,9.920000,9.920000,140500
2021-04-09,9.910000,9.980000,9.900000,9.920000,9.920000,64900
2021-04-12,9.955000,9.955000,9.900000,9.910000,9.910000,36300
2021-04-13,9.850000,9.910000,9.850000,9.900000,9.900000,98000
2021-04-14,9.860000,9.880000,9.850000,9.860000,9.860000,461300
2021-04-15,9.897000,9.915000,9.810000,9.830000,9.830000,84200
2021-04-16,9.820000,9.890000,9.800000,9.830000,9.830000,97300
2021-04-19,9.820000,9.840000,9.710000,9.840000,9.840000,526400
2021-04-20,9.790000,9.827000,9.750000,9.770000,9.770000,269800
2021-04-21,9.750000,9.810000,9.720000,9.800000,9.800000,37000
2021-04-22,9.770000,9.800000,9.730000,9.770000,9.770000,238900
2021-04-23,9.790000,9.820000,9.770000,9.790000,9.790000,210100
2021-04-26,9.809000,9.809000,9.760000,9.760000,9.760000,22100
2021-04-27,9.785000,9.787000,9.750000,9.770000,9.770000,108700
2021-04-28,9.770000,9.790000,9.760000,9.770000,9.770000,66800
2021-04-29,9.770000,9.830000,9.770000,9.830000,9.830000,12500
2021-04-30,9.800000,9.850000,9.770000,9.820000,9.820000,50500
2021-05-03,9.800000,9.860000,9.770000,9.840000,9.840000,266200
2021-05-04,9.860000,9.860000,9.790000,9.810000,9.810000,28100
2021-05-05,9.800000,9.840000,9.790000,9.820000,9.820000,26000
2021-05-06,9.800000,9.800000,9.780000,9.800000,9.800000,20100
2021-05-07,9.790000,9.800000,9.770000,9.770000,9.770000,49100
2021-05-10,9.770000,9.791000,9.760000,9.770000,9.770000,55900
2021-05-11,9.750000,9.750000,9.700000,9.720000,9.720000,44100
2021-05-12,9.750000,9.760000,9.720000,9.760000,9.760000,87700
2021-05-13,9.757000,9.760000,9.730000,9.730000,9.730000,35200
2021-05-14,9.722000,9.730000,9.650000,9.690000,9.690000,130000
2021-05-17,9.650000,9.675000,9.650000,9.670000,9.670000,64900
2021-05-18,9.730000,9.730000,9.650000,9.680000,9.680000,61500
2021-05-19,9.700000,9.710000,9.660000,9.660000,9.660000,71700
2021-05-20,9.700000,9.700000,9.660000,9.660000,9.660000,62400
2021-05-21,9.710000,9.720000,9.670000,9.680000,9.680000,54000
2021-05-24,9.680000,9.680000,9.660000,9.670000,9.670000,30300
2021-05-25,9.690000,9.690000,9.660000,9.660000,9.660000,82500
2021-05-26,9.867000,9.880000,9.790000,9.790000,9.790000,10430700
2021-05-27,9.850000,9.850000,9.800000,9.820000,9.820000,2047200
2021-05-28,9.820000,9.830000,9.810000,9.820000,9.820000,1055800
2021-06-01,9.830000,9.840000,9.810000,9.830000,9.830000,285100
2021-06-02,9.820000,9.860000,9.810000,9.810000,9.810000,271600
2021-06-03,9.840000,9.850000,9.820000,9.840000,9.840000,361000
2021-06-04,9.840000,9.860000,9.800000,9.820000,9.820000,452400
2021-06-07,9.820000,9.860000,9.820000,9.850000,9.850000,311100
2021-06-08,9.860000,9.902000,9.850000,9.860000,9.860000,262600
2021-06-09,9.900000,9.920000,9.870000,9.910000,9.910000,353900
2021-06-10,9.910000,9.920000,9.869000,9.900000,9.900000,73800
2021-06-11,9.950000,9.950000,9.870000,9.870000,9.870000,170700
2021-06-14,9.860000,9.880000,9.850000,9.850000,9.850000,131400
2021-06-15,9.850000,9.880000,9.850000,9.870000,9.870000,233600
