Date,Open,High,Low,Close,Adj Close,Volume
2021-06-30,10.100000,10.150000,10.010000,10.110000,10.110000,3815900
2021-07-01,10.100000,10.100000,10.010000,10.010000,10.010000,429700
2021-07-02,10.100000,10.100000,10.030000,10.040000,10.040000,222100
2021-07-06,10.100000,10.124000,10.030000,10.040000,10.040000,174100
2021-07-07,10.040000,10.040000,9.990000,10.000000,10.000000,205200
2021-07-08,10.010000,10.040000,9.990000,10.000000,10.000000,55800
2021-07-09,10.040000,10.040000,9.990000,9.990000,9.990000,171300
2021-07-12,10.020000,10.040000,9.990000,10.010000,10.010000,443700
2021-07-13,9.990000,10.040000,9.990000,10.000000,10.000000,69700
2021-07-14,10.030000,10.040000,9.990000,10.000000,10.000000,30200
2021-07-15,9.993000,10.030000,9.980000,9.990000,9.990000,696000
2021-07-16,10.030000,10.030000,9.913000,9.940000,9.940000,39500
2021-07-19,9.920000,9.960000,9.840000,9.900000,9.900000,65000
2021-07-20,9.930000,9.950000,9.860000,9.860000,9.860000,80000
2021-07-21,9.870000,9.950000,9.860000,9.900000,9.900000,8700
2021-07-22,9.914000,9.960000,9.870000,9.960000,9.960000,41100
2021-07-23,9.940000,9.940000,9.894000,9.940000,9.940000,22900
2021-07-26,9.930000,9.930000,9.840000,9.880000,9.880000,222600
2021-07-27,9.880000,9.890000,9.840000,9.860000,9.860000,69500
2021-07-28,9.880000,9.890000,9.820000,9.850000,9.850000,61800
2021-07-29,9.875000,9.888000,9.840000,9.850000,9.850000,36800
2021-07-30,9.870000,9.890000,9.845000,9.845000,9.845000,12500
2021-08-02,9.880000,9.900000,9.850000,9.850000,9.850000,80000
2021-08-03,9.840000,9.870000,9.840000,9.870000,9.870000,18400
2021-08-04,9.850000,9.890000,9.820000,9.870000,9.870000,336600
2021-08-05,9.880000,9.880000,9.830000,9.870000,9.870000,22700
2021-08-06,9.830000,9.860000,9.800000,9.840000,9.840000,155400
2021-08-09,9.870000,9.870000,9.800000,9.835000,9.835000,659200
2021-08-10,9.830000,9.850000,9.820000,9.830000,9.830000,36400
2021-08-11,9.830000,9.850000,9.810000,9.830000,9.830000,11300
2021-08-12,9.835000,9.848000,9.820000,9.848000,9.848000,2600
2021-08-13,9.830000,9.840000,9.800000,9.825000,9.825000,14392
