Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,0.850000,1.150000,0.770000,1.070000,1.070000,5072600
2021-01-11,1.070000,1.200000,0.950000,1.030000,1.030000,3804600
2021-01-12,1.000000,1.140000,1.000000,1.065000,1.065000,2095100
2021-01-13,1.100000,1.670000,1.050000,1.630000,1.630000,7993700
2021-01-14,1.610000,1.740000,1.360000,1.530000,1.530000,4345900
2021-01-15,1.500000,1.590000,1.400000,1.450000,1.450000,2026000
2021-01-19,1.550000,1.840000,1.430000,1.630000,1.630000,4802500
2021-01-20,1.650000,1.670000,1.460000,1.530000,1.530000,2671700
2021-01-21,1.550000,1.710000,1.500000,1.650000,1.650000,1950900
2021-01-22,1.650000,2.250000,1.620000,2.140000,2.140000,6145100
2021-01-25,2.580000,2.950000,2.250000,2.940000,2.940000,5537000
2021-01-26,2.920000,3.200000,2.810000,3.000000,3.000000,3757200
2021-01-27,2.530000,2.980000,2.410000,2.550000,2.550000,2671600
2021-01-28,2.700000,2.740000,2.220000,2.427000,2.427000,3092600
2021-01-29,2.500000,2.590000,2.020000,2.200000,2.200000,2442200
2021-02-01,2.200000,2.350000,1.870000,2.053000,2.053000,2416400
2021-02-02,2.103000,2.390000,2.000000,2.290000,2.290000,1573500
2021-02-03,2.300000,2.520000,2.250000,2.284000,2.284000,1431600
2021-02-04,2.420000,2.460000,2.260000,2.330000,2.330000,1297300
2021-02-05,2.420000,3.019000,2.400000,2.960000,2.960000,4043800
2021-02-08,3.060000,3.340000,2.880000,3.050000,3.050000,3009500
2021-02-09,3.050000,3.250000,3.010000,3.040000,3.040000,1740000
2021-02-10,3.160000,3.180000,2.600000,2.870000,2.870000,2060500
2021-02-11,2.870000,3.120000,2.800000,2.920000,2.920000,1717700
2021-02-12,2.970000,3.090000,2.810000,2.940000,2.940000,1312200
2021-02-16,3.050000,3.190000,2.960000,3.100000,3.100000,1612400
2021-02-17,3.000000,3.180000,2.840000,2.950000,2.950000,1162800
2021-02-18,2.950000,3.000000,2.710000,2.850000,2.850000,1143000
2021-02-19,2.860000,2.950000,2.650000,2.700000,2.700000,1263700
2021-02-22,2.600000,2.600000,2.150000,2.325000,2.325000,2561300
2021-02-23,2.150000,2.220000,1.660000,2.165000,2.165000,2226600
2021-02-24,2.170000,2.405000,2.150000,2.405000,2.405000,818400
2021-02-25,2.410000,2.450000,2.000000,2.200000,2.200000,885800
2021-02-26,2.180000,2.180000,1.970000,2.090000,2.090000,900200
2021-03-01,2.190000,2.250000,2.100000,2.170000,2.170000,551100
2021-03-02,2.886000,3.030000,2.560000,2.750000,2.750000,2921900
2021-03-03,2.750000,2.930000,2.270000,2.366000,2.366000,1228300
2021-03-04,2.340000,2.500000,2.009000,2.200000,2.200000,1239500
2021-03-05,2.200000,2.320000,1.790000,2.120000,2.120000,1795900
2021-03-08,2.150000,2.330000,2.060000,2.220000,2.220000,528100
2021-03-09,2.325000,2.340000,2.140000,2.250000,2.250000,549300
2021-03-10,2.290000,2.330000,2.170000,2.200000,2.200000,425500
2021-03-11,2.290000,2.380000,2.200000,2.270000,2.270000,515500
2021-03-12,2.240000,2.281000,2.200000,2.260000,2.260000,281600
2021-03-15,2.250000,2.260000,2.030000,2.110000,2.110000,758200
2021-03-16,2.142000,2.149000,2.060000,2.090000,2.090000,353600
2021-03-17,2.085000,2.110000,1.960000,2.014000,2.014000,683900
2021-03-18,2.005000,2.090000,1.840000,1.930000,1.930000,773400
2021-03-19,1.959000,1.970000,1.850000,1.928000,1.928000,400400
2021-03-22,1.930000,2.070000,1.925000,2.000000,2.000000,275500
2021-03-23,2.020000,2.070000,1.900000,1.940000,1.940000,494600
2021-03-24,1.988000,1.988000,1.720000,1.722000,1.722000,973600
2021-03-25,1.680000,1.730000,1.490000,1.670000,1.670000,1000000
2021-03-26,1.630000,1.730000,1.580000,1.610000,1.610000,342700
2021-03-29,1.670000,1.698000,1.580000,1.613000,1.613000,288600
2021-03-30,1.600000,1.640000,1.479000,1.520000,1.520000,468300
2021-03-31,1.550000,1.992000,1.439000,1.762000,1.762000,1037500
2021-04-01,1.840000,1.890000,1.710000,1.890000,1.890000,475600
2021-04-05,1.900000,1.970000,1.690000,1.753000,1.753000,349600
2021-04-06,1.780000,1.840000,1.670000,1.735000,1.735000,262900
2021-04-07,1.735000,1.840000,1.700000,1.790000,1.790000,246200
2021-04-08,1.820000,1.830000,1.670000,1.734000,1.734000,189700
2021-04-09,1.740000,1.746000,1.610000,1.670000,1.670000,367300
2021-04-12,1.670000,1.725000,1.515000,1.570000,1.570000,478400
2021-04-13,1.605000,1.605000,1.470000,1.500000,1.500000,586500
2021-04-14,1.500000,1.500000,1.380000,1.380000,1.380000,883600
2021-04-15,1.390000,1.480000,1.360000,1.400000,1.400000,650100
2021-04-16,1.400000,1.460000,1.360000,1.390000,1.390000,369200
2021-04-19,1.400000,1.474000,1.350000,1.430000,1.430000,448100
2021-04-20,1.410000,1.492000,1.200000,1.250000,1.250000,734600
2021-04-21,1.150000,1.491000,1.080000,1.420000,1.420000,1558900
2021-04-22,1.430000,1.489000,1.310000,1.335000,1.335000,389100
2021-04-23,1.330000,1.470000,1.330000,1.460000,1.460000,403700
2021-04-26,1.470000,1.750000,1.460000,1.620000,1.620000,888500
2021-04-27,1.625000,1.731000,1.600000,1.640000,1.640000,624500
2021-04-28,1.700000,1.815000,1.640000,1.811000,1.811000,792900
2021-04-29,1.820000,1.870000,1.649000,1.820000,1.820000,835400
2021-04-30,1.860000,1.860000,1.700000,1.710000,1.710000,294600
2021-05-03,1.705000,1.750000,1.520000,1.645000,1.645000,592700
2021-05-04,1.600000,1.739000,1.500000,1.560000,1.560000,564400
2021-05-05,1.555000,1.600000,1.500000,1.540000,1.540000,224200
2021-05-06,1.515000,1.550000,1.300000,1.442000,1.442000,561000
2021-05-07,1.440000,1.550000,1.440000,1.485000,1.485000,248300
2021-05-10,1.450000,1.523000,1.299000,1.380000,1.380000,495400
2021-05-11,1.310000,1.365000,1.210000,1.307000,1.307000,834300
2021-05-12,1.295000,1.340000,1.236000,1.280000,1.280000,399100
2021-05-13,1.300000,1.370000,1.230000,1.230000,1.230000,593400
2021-05-14,1.275000,1.340000,1.240000,1.319000,1.319000,234800
2021-05-17,1.170000,1.310000,1.170000,1.295000,1.295000,215000
2021-05-18,1.315000,1.360000,1.257000,1.360000,1.360000,405500
2021-05-19,1.260000,1.340000,1.250000,1.260000,1.260000,236700
2021-05-20,1.260000,1.320000,1.250000,1.300000,1.300000,182300
2021-05-21,1.330000,1.370000,1.290000,1.330000,1.330000,319100
2021-05-24,1.340000,1.400000,1.310000,1.350000,1.350000,210900
2021-05-25,1.354000,1.354000,1.280000,1.300000,1.300000,218900
2021-05-26,1.300000,1.360000,1.270000,1.330000,1.330000,394100
2021-05-27,1.360000,1.480000,1.310000,1.470000,1.470000,482400
2021-05-28,1.539000,1.740000,1.490000,1.700000,1.700000,790800
2021-06-01,1.660000,1.720000,1.514000,1.570000,1.570000,464100
2021-06-02,1.530000,1.591000,1.370000,1.430000,1.430000,544300
2021-06-03,1.400000,1.500000,1.310000,1.420000,1.420000,293000
2021-06-04,1.450000,1.460000,1.350000,1.430000,1.430000,312100
2021-06-07,1.450000,1.470000,1.390000,1.400000,1.400000,375200
2021-06-08,1.400000,1.450000,1.360000,1.380000,1.380000,495000
2021-06-09,1.400000,1.500000,1.361000,1.390000,1.390000,529700
2021-06-10,1.440000,1.440000,1.360000,1.410000,1.410000,265000
2021-06-11,1.465000,1.550000,1.420000,1.540000,1.540000,498900
2021-06-14,1.545000,1.620000,1.540000,1.600000,1.600000,363100
2021-06-15,1.690000,1.690000,1.470000,1.530000,1.530000,577600
2021-06-16,1.510000,1.610000,1.485000,1.533000,1.533000,225300
2021-06-17,1.525000,1.700000,1.495000,1.600000,1.600000,532000
2021-06-18,1.585000,1.600000,1.540000,1.550000,1.550000,139200
2021-06-21,1.583000,1.620000,1.500000,1.530000,1.530000,469000
2021-06-22,1.555000,1.590000,1.500000,1.560000,1.560000,286200
2021-06-23,1.540000,1.580000,1.490000,1.555000,1.555000,314800
2021-06-24,1.580000,1.590000,1.560000,1.570000,1.570000,126400
2021-06-25,1.580000,1.590000,1.505000,1.510000,1.510000,255800
2021-06-28,1.510000,1.570000,1.490000,1.510000,1.510000,247900
2021-06-29,1.500000,1.520000,1.460000,1.480000,1.480000,221500
2021-06-30,1.490000,1.500000,1.460000,1.480000,1.480000,148300
2021-07-01,1.450000,1.550000,1.450000,1.550000,1.550000,124100
2021-07-02,1.530000,1.535000,1.450000,1.520000,1.520000,191500
2021-07-06,1.520000,1.530000,1.400000,1.420000,1.420000,469100
2021-07-07,1.410000,1.450000,1.250000,1.380000,1.380000,1012900
2021-07-08,1.350000,1.410000,1.210000,1.270000,1.270000,721100
2021-07-09,1.270000,1.400000,1.270000,1.370000,1.370000,370700
2021-07-12,1.371000,1.440000,1.280000,1.370000,1.370000,378000
2021-07-13,1.320000,1.370000,1.250000,1.280000,1.280000,413600
2021-07-14,1.290000,1.300000,1.130000,1.150000,1.150000,551300
2021-07-15,1.170000,1.180000,1.044000,1.090000,1.090000,566600
2021-07-16,1.080000,1.080000,1.030000,1.060000,1.060000,265500
2021-07-19,1.010000,1.060000,1.000000,1.040000,1.040000,424700
2021-07-20,1.050000,1.140000,1.040000,1.110000,1.110000,210000
2021-07-21,1.110000,1.180000,1.104000,1.150000,1.150000,142700
2021-07-22,1.200000,1.490000,1.165000,1.270000,1.270000,2277200
2021-07-23,1.300000,1.420000,1.277000,1.329000,1.329000,724900
2021-07-26,1.350000,1.380000,1.200000,1.269000,1.269000,910200
2021-07-27,1.270000,1.300000,1.050000,1.148000,1.148000,1234600
2021-07-28,1.140000,1.180000,1.050000,1.130000,1.130000,576000
2021-07-29,5.260000,5.650000,5.110000,5.310000,5.310000,58700
2021-07-30,null,null,null,null,null,null
2021-08-02,3.850000,3.850000,3.320000,3.660000,3.660000,1093200
2021-08-03,3.580000,3.630000,3.440000,3.600000,3.600000,205200
2021-08-04,3.740000,4.040000,3.450000,3.510000,3.510000,1087700
2021-08-05,3.480000,3.700000,3.450000,3.590000,3.590000,144900
2021-08-06,3.650000,4.050000,3.563000,3.830000,3.830000,624000
2021-08-09,3.907000,3.990000,3.710000,3.790000,3.790000,258100
2021-08-10,3.950000,3.960000,3.460000,3.520000,3.520000,455500
2021-08-11,3.600000,3.608000,3.120000,3.260000,3.260000,429300
2021-08-12,3.230000,3.480000,3.220000,3.400000,3.400000,265200
2021-08-13,3.400000,3.400000,3.250000,3.260000,3.260000,147900
2021-08-16,3.290000,3.290000,2.920000,2.980000,2.980000,244900
2021-08-17,2.930000,3.100000,2.800000,2.860000,2.860000,199600
2021-08-18,2.800000,3.050000,2.811000,2.880000,2.880000,270700
