Date,Open,High,Low,Close,Adj Close,Volume
2008-01-16,0.750000,0.800000,0.500000,0.800000,0.800000,84700
2008-01-17,0.850000,0.850000,0.300000,0.500000,0.500000,476000
2008-01-18,0.280000,0.600000,0.280000,0.500000,0.500000,120500
2008-01-22,0.490000,0.490000,0.300000,0.400000,0.400000,14700
2008-01-23,0.350000,0.400000,0.300000,0.400000,0.400000,43900
2008-01-24,0.300000,0.450000,0.300000,0.430000,0.430000,14100
2008-01-25,0.400000,0.440000,0.400000,0.440000,0.440000,19100
2008-01-28,0.400000,0.470000,0.300000,0.450000,0.450000,169100
2008-01-29,0.300000,0.450000,0.300000,0.450000,0.450000,66700
2008-01-30,0.300000,0.460000,0.300000,0.450000,0.450000,44400
2008-01-31,0.380000,0.420000,0.380000,0.400000,0.400000,50400
2008-02-01,0.300000,0.390000,0.300000,0.390000,0.390000,34100
2008-02-04,0.350000,0.400000,0.350000,0.400000,0.400000,18300
2008-02-05,0.300000,0.410000,0.300000,0.410000,0.410000,24400
2008-02-06,0.300000,0.410000,0.300000,0.400000,0.400000,45700
2008-02-07,0.300000,0.400000,0.300000,0.300000,0.300000,113800
2008-02-08,0.250000,0.300000,0.250000,0.270000,0.270000,16700
2008-02-11,0.250000,0.310000,0.250000,0.280000,0.280000,39900
2008-02-12,0.280000,0.300000,0.250000,0.280000,0.280000,56600
2008-02-13,0.260000,0.300000,0.250000,0.250000,0.250000,148800
2008-02-14,0.210000,0.250000,0.210000,0.210000,0.210000,12400
2008-02-15,0.250000,0.250000,0.250000,0.250000,0.250000,1000
2008-02-19,0.250000,0.250000,0.250000,0.250000,0.250000,10000
2008-02-20,0.250000,0.310000,0.250000,0.270000,0.270000,19800
2008-02-21,0.300000,0.420000,0.270000,0.340000,0.340000,133000
2008-02-22,0.340000,0.350000,0.340000,0.350000,0.350000,8600
2008-02-25,0.350000,0.350000,0.350000,0.350000,0.350000,0
2008-02-26,0.340000,0.400000,0.340000,0.400000,0.400000,16500
2008-02-27,0.350000,0.350000,0.250000,0.300000,0.300000,67400
2008-02-28,0.300000,0.300000,0.300000,0.300000,0.300000,0
