Date,Open,High,Low,Close,Adj Close,Volume
2021-06-18,13.080000,13.750000,11.550000,12.000000,12.000000,1252200
2021-06-21,11.660000,12.140000,10.840000,10.850000,10.850000,107900
2021-06-22,11.150000,11.150000,9.710000,9.950000,9.950000,91600
2021-06-23,9.780000,10.600000,9.670000,10.450000,10.450000,45000
2021-06-24,10.590000,10.590000,9.530000,9.890000,9.890000,35600
2021-06-25,10.500000,10.500000,8.550000,8.550000,8.550000,85400
2021-06-28,8.970000,8.970000,7.650000,7.980000,7.980000,133200
2021-06-29,8.120000,8.420000,8.050000,8.160000,8.160000,84500
2021-06-30,8.100000,10.790000,7.600000,8.110000,8.110000,3328200
2021-07-01,8.150000,8.340000,7.660000,8.150000,8.150000,270300
2021-07-02,7.750000,8.350000,7.330000,7.370000,7.370000,107400
2021-07-06,7.730000,7.790000,7.010000,7.090000,7.090000,205000
2021-07-07,7.430000,7.790000,7.118000,7.750000,7.750000,140800
2021-07-08,7.600000,7.600000,7.099000,7.200000,7.200000,53700
2021-07-09,7.000000,7.862000,7.000000,7.570000,7.570000,100400
2021-07-12,7.760000,7.765000,7.220000,7.410000,7.410000,83000
2021-07-13,7.870000,9.220000,7.740000,8.500000,8.500000,680300
2021-07-14,8.370000,8.490000,7.270000,7.500000,7.500000,270300
2021-07-15,7.450000,7.758000,7.100000,7.300000,7.300000,44800
2021-07-16,7.350000,7.686000,7.350000,7.490000,7.490000,44100
2021-07-19,7.400000,7.510000,6.770000,6.990000,6.990000,193700
2021-07-20,7.160000,9.490000,7.017000,8.020000,8.020000,1054600
2021-07-21,8.200000,9.980000,7.890000,8.450000,8.450000,726300
2021-07-22,8.290000,8.900000,8.150000,8.150000,8.150000,94300
2021-07-23,8.230000,8.361000,7.850000,7.990000,7.990000,65000
2021-07-26,8.000000,8.190000,7.350000,7.450000,7.450000,40500
2021-07-27,7.450000,7.680000,7.250000,7.340000,7.340000,22700
2021-07-28,7.340000,7.460000,7.106000,7.240000,7.240000,33600
2021-07-29,7.230000,7.411000,7.110000,7.250000,7.250000,20600
2021-07-30,7.130000,7.350000,7.130000,7.300000,7.300000,24600
2021-08-02,7.450000,7.990000,7.310000,7.760000,7.760000,59400
2021-08-03,7.680000,7.680000,7.300000,7.350000,7.350000,26400
2021-08-04,7.290000,7.700000,7.200000,7.700000,7.700000,12900
2021-08-05,7.680000,7.680000,7.080000,7.240000,7.240000,29100
2021-08-06,7.250000,7.300000,7.210000,7.210000,7.210000,9100
2021-08-09,7.210000,7.655000,7.210000,7.500000,7.500000,17300
2021-08-10,7.183000,7.330000,7.110000,7.140000,7.140000,18800
2021-08-11,7.280000,7.580000,7.030000,7.390000,7.390000,62300
2021-08-12,7.400000,7.400000,7.150000,7.190000,7.190000,9700
2021-08-13,7.190000,7.500000,7.040000,7.050000,7.050000,8686
