Date,Open,High,Low,Close,Adj Close,Volume
2011-04-20,20.379999,20.389999,20.309999,20.320000,17.754101,1400
2011-04-21,20.389999,20.389999,20.389999,20.389999,17.815266,100
2011-04-25,20.360001,20.360001,20.340000,20.340000,17.771574,300
2011-04-26,20.340000,20.340000,20.340000,20.340000,17.771574,0
2011-04-27,20.660000,20.660000,20.660000,20.660000,18.051165,500
2011-04-28,20.740000,20.740000,20.730000,20.740000,18.121065,700
2011-04-29,20.740000,20.740000,20.740000,20.740000,18.121065,0
2011-05-02,20.740000,20.740000,20.740000,20.740000,18.121065,0
2011-05-03,20.540001,20.540001,20.510000,20.510000,17.920105,33100
2011-05-04,20.400000,20.480000,20.400000,20.480000,17.893894,1400
2011-05-05,20.480000,20.480000,20.480000,20.480000,17.893894,0
2011-05-06,20.480000,20.480000,20.480000,20.480000,17.893894,0
2011-05-09,20.600000,20.620001,20.600000,20.620001,18.016218,500
2011-05-10,20.809999,20.809999,20.799999,20.799999,18.173485,400
2011-05-11,20.580000,20.580000,20.530001,20.530001,17.937578,1500
2011-05-12,20.820000,20.820000,20.820000,20.820000,18.190956,300
2011-05-13,20.750000,20.750000,20.750000,20.750000,18.129797,300
2011-05-16,20.530001,20.530001,20.530001,20.530001,17.937578,300
2011-05-17,20.250000,20.250000,20.250000,20.250000,17.692938,10000
2011-05-18,20.320000,20.389999,20.320000,20.389999,17.815266,1000
2011-05-19,20.450001,20.570000,20.450001,20.570000,17.972527,1100
2011-05-20,20.660000,20.660000,20.420000,20.420000,17.841471,1100
2011-05-23,20.240000,20.240000,20.200001,20.200001,17.649250,500
2011-05-24,20.160000,20.160000,20.010000,20.010000,17.483244,2500
2011-05-25,20.010000,20.010000,20.010000,20.010000,17.483244,0
2011-05-26,20.260000,20.260000,20.260000,20.260000,17.701670,400
2011-05-27,20.400000,20.450001,20.400000,20.450001,17.867683,800
2011-05-31,20.610001,20.620001,20.549999,20.580000,17.981264,32000
2011-06-01,20.590000,20.590000,20.190001,20.190001,17.640518,1900
2011-06-02,20.190001,20.190001,20.190001,20.190001,17.640518,0
2011-06-03,19.670000,20.040001,19.670000,19.850000,17.343451,8200
2011-06-06,19.850000,19.850000,19.850000,19.850000,17.343451,0
2011-06-07,19.770000,19.770000,19.670000,19.670000,17.186174,400
2011-06-08,19.660000,19.660000,19.540001,19.570000,17.098803,1800
2011-06-09,19.670000,19.670000,19.670000,19.670000,17.186174,900
2011-06-10,19.670000,19.670000,19.670000,19.670000,17.186174,0
2011-06-13,19.320000,19.320000,19.320000,19.320000,16.880371,100
2011-06-14,19.320000,19.320000,19.320000,19.320000,16.880371,0
2011-06-15,19.620001,19.620001,19.620001,19.620001,17.142490,100
2011-06-16,19.700001,19.700001,19.389999,19.389999,16.941528,4200
2011-06-17,19.740000,19.740000,19.510000,19.510000,17.046381,4200
2011-06-20,19.629999,19.629999,19.629999,19.629999,17.151232,300
2011-06-21,19.520000,19.910000,19.520000,19.879999,17.405128,63500
2011-06-22,19.830000,19.920000,19.830000,19.850000,17.378862,55900
2011-06-23,19.469999,19.760000,19.469999,19.719999,17.265047,6500
2011-06-24,19.620001,19.620001,19.620001,19.620001,17.177488,4100
2011-06-27,19.670000,19.670000,19.570000,19.610001,17.168739,800
2011-06-28,19.610001,19.610001,19.610001,19.610001,17.168739,0
2011-06-29,20.040001,20.100000,20.040001,20.070000,17.571470,7000
2011-06-30,20.240000,20.240000,20.219999,20.219999,17.702797,500
2011-07-01,20.420000,20.450001,20.420000,20.450001,17.904171,1500
