Date,Open,High,Low,Close,Adj Close,Volume
2020-09-25,3.750000,3.750000,2.700000,2.940000,2.940000,697700
2020-09-28,3.000000,3.000000,2.570000,2.800000,2.800000,131900
2020-09-29,2.850000,3.220000,2.750000,2.940000,2.940000,149500
2020-09-30,3.220000,3.442000,2.900000,3.190000,3.190000,328400
2020-10-01,3.150000,3.150000,2.930000,3.010000,3.010000,107700
2020-10-02,3.050000,3.050000,2.760000,2.810000,2.810000,100200
2020-10-05,2.940000,2.980000,2.780000,2.820000,2.820000,48200
2020-10-06,2.940000,2.940000,2.750000,2.770000,2.770000,58200
2020-10-07,2.780000,3.150000,2.740000,2.980000,2.980000,174200
2020-10-08,3.000000,3.800000,2.853000,3.650000,3.650000,2379100
2020-10-09,3.450000,3.451000,3.060000,3.220000,3.220000,576500
2020-10-12,3.250000,3.250000,2.985000,3.060000,3.060000,251300
2020-10-13,3.010000,3.050000,2.850000,2.940000,2.940000,246700
2020-10-14,2.980000,3.080000,2.950000,3.000000,3.000000,121300
2020-10-15,3.040000,3.250000,2.950000,3.150000,3.150000,172700
2020-10-16,3.120000,3.180000,3.000000,3.140000,3.140000,252300
2020-10-19,3.140000,3.600000,3.050000,3.260000,3.260000,619600
2020-10-20,3.300000,3.560000,3.050000,3.340000,3.340000,885600
2020-10-21,3.400000,3.400000,3.160000,3.230000,3.230000,148000
2020-10-22,3.200000,3.310000,2.950000,3.040000,3.040000,328500
2020-10-23,3.055000,3.090000,2.940000,3.040000,3.040000,170300
2020-10-26,3.840000,4.400000,3.200000,3.420000,3.420000,21859600
2020-10-27,3.080000,3.250000,2.980000,3.160000,3.160000,937400
2020-10-28,3.040000,3.040000,2.810000,2.890000,2.890000,405400
2020-10-29,2.850000,2.926000,2.820000,2.900000,2.900000,164400
2020-10-30,3.020000,3.020000,2.850000,2.920000,2.920000,217100
2020-11-02,2.870000,2.950000,2.850000,2.940000,2.940000,99000
2020-11-03,2.930000,2.950000,2.870000,2.890000,2.890000,120000
2020-11-04,2.930000,2.930000,2.840000,2.880000,2.880000,96700
2020-11-05,2.830000,2.920000,2.800000,2.900000,2.900000,150600
2020-11-06,2.800000,2.890000,2.750000,2.810000,2.810000,200000
2020-11-09,2.990000,2.990000,2.610000,2.730000,2.730000,342200
2020-11-10,2.680000,3.230000,2.600000,2.900000,2.900000,804600
2020-11-11,2.900000,2.960000,2.780000,2.800000,2.800000,129400
2020-11-12,2.820000,2.880000,2.760000,2.830000,2.830000,74300
2020-11-13,2.800000,2.850000,2.770000,2.780000,2.780000,119700
2020-11-16,2.830000,2.840000,2.750000,2.770000,2.770000,140500
2020-11-17,2.800000,2.830000,2.750000,2.790000,2.790000,89800
2020-11-18,2.820000,2.830000,2.650000,2.750000,2.750000,311300
2020-11-19,2.800000,2.830000,2.690000,2.760000,2.760000,333700
2020-11-20,2.770000,2.770000,2.710000,2.734000,2.734000,77200
2020-11-23,2.760000,2.772000,2.670000,2.730000,2.730000,186800
2020-11-24,2.700000,2.700000,2.560000,2.630000,2.630000,240800
2020-11-25,2.700000,2.700000,2.590000,2.640000,2.640000,81500
2020-11-27,2.660000,2.750000,2.615000,2.680000,2.680000,149500
2020-11-30,2.810000,2.950000,2.700000,2.900000,2.900000,841000
2020-12-01,2.900000,2.970000,2.750000,2.900000,2.900000,164700
2020-12-02,2.860000,2.860000,2.710000,2.790000,2.790000,170100
2020-12-03,2.800000,2.810000,2.720000,2.760000,2.760000,72600
2020-12-04,2.740000,2.790000,2.690000,2.740000,2.740000,69400
2020-12-07,2.800000,3.390000,2.750000,3.240000,3.240000,1624800
2020-12-08,3.220000,3.265000,3.020000,3.200000,3.200000,365100
2020-12-09,3.140000,7.500000,3.050000,5.730000,5.730000,31476300
2020-12-10,4.088000,5.120000,3.861000,4.210000,4.210000,10414200
2020-12-11,3.740000,4.170000,3.430000,3.500000,3.500000,1163600
2020-12-14,3.500000,3.640000,3.180000,3.240000,3.240000,863600
2020-12-15,3.200000,4.250000,3.120000,3.690000,3.690000,6838300
2020-12-16,3.600000,3.930000,3.330000,3.830000,3.830000,808400
2020-12-17,3.730000,3.732000,3.250000,3.330000,3.330000,657800
2020-12-18,3.400000,3.540000,3.300000,3.300000,3.300000,316600
2020-12-21,3.300000,3.380000,3.150000,3.240000,3.240000,288300
2020-12-22,3.200000,3.240000,3.010000,3.100000,3.100000,357600
2020-12-23,3.150000,3.383000,3.110000,3.260000,3.260000,513300
2020-12-24,3.330000,3.360000,3.200000,3.278000,3.278000,102000
2020-12-28,3.280000,3.670000,3.130000,3.360000,3.360000,665100
2020-12-29,3.400000,3.469000,3.100000,3.340000,3.340000,551000
2020-12-30,3.400000,3.645000,3.300000,3.490000,3.490000,834400
2020-12-31,3.450000,3.580000,3.220000,3.380000,3.380000,568900
2021-01-04,3.380000,3.460000,3.250000,3.320000,3.320000,483500
2021-01-05,3.377000,3.440000,3.260000,3.410000,3.410000,317700
2021-01-06,3.450000,3.525000,3.240000,3.270000,3.270000,385000
2021-01-07,3.280000,3.720000,3.280000,3.440000,3.440000,646700
2021-01-08,3.410000,3.540000,3.280000,3.300000,3.300000,595900
2021-01-11,7.090000,7.400000,5.130000,5.360000,5.360000,50809900
2021-01-12,4.761000,5.300000,4.600000,5.300000,5.300000,2370100
2021-01-13,4.940000,5.000000,4.630000,4.660000,4.660000,1150800
2021-01-14,4.750000,4.859000,4.300000,4.490000,4.490000,1026100
2021-01-15,4.470000,4.940000,4.250000,4.650000,4.650000,1160100
2021-01-19,4.550000,4.600000,4.290000,4.360000,4.360000,541200
2021-01-20,4.480000,4.550000,4.240000,4.480000,4.480000,386300
2021-01-21,4.550000,5.150000,4.370000,5.020000,5.020000,1159100
2021-01-22,5.040000,5.040000,4.560000,4.600000,4.600000,416400
2021-01-25,4.740000,5.140000,4.300000,5.110000,5.110000,2009200
2021-01-26,5.710000,6.490000,5.300000,5.950000,5.950000,3383900
2021-01-27,5.270000,5.500000,4.910000,5.120000,5.120000,944200
2021-01-28,5.050000,5.160000,4.590000,4.760000,4.760000,451300
2021-01-29,4.800000,5.000000,4.620000,4.680000,4.680000,413900
2021-02-01,4.740000,5.480000,4.710000,5.290000,5.290000,1333400
2021-02-02,5.220000,5.870000,4.970000,5.310000,5.310000,2123600
2021-02-03,5.550000,5.760000,5.110000,5.400000,5.400000,1584300
2021-02-04,5.450000,5.450000,5.110000,5.160000,5.160000,408600
2021-02-05,5.200000,5.680000,5.150000,5.530000,5.530000,902600
2021-02-08,6.250000,7.980000,6.020000,7.480000,7.480000,3842100
2021-02-09,6.780000,6.970000,6.290000,6.620000,6.620000,3634300
2021-02-10,6.690000,6.750000,6.150000,6.520000,6.520000,1238800
2021-02-11,6.800000,7.750000,6.560000,7.220000,7.220000,2847100
2021-02-12,7.190000,8.710000,7.117000,7.480000,7.480000,2998000
2021-02-16,8.070000,8.170000,7.220000,7.710000,7.710000,1216800
2021-02-17,7.500000,8.547000,7.290000,8.440000,8.440000,1544700
2021-02-18,8.110000,8.170000,7.050000,7.160000,7.160000,806800
2021-02-19,7.410000,7.600000,6.420000,6.800000,6.800000,1276000
2021-02-22,6.610000,6.850000,5.310000,5.510000,5.510000,1527300
2021-02-23,5.200000,5.411000,4.700000,5.070000,5.070000,783200
2021-02-24,5.350000,6.340000,5.306000,5.650000,5.650000,908500
2021-02-25,5.700000,6.000000,5.310000,5.400000,5.400000,583300
2021-02-26,5.340000,5.395000,4.950000,5.100000,5.100000,362000
2021-03-01,5.300000,5.550000,5.070000,5.250000,5.250000,690000
2021-03-02,5.190000,5.323000,5.045000,5.100000,5.100000,304400
2021-03-03,5.100000,5.200000,4.750000,4.830000,4.830000,353500
2021-03-04,4.640000,4.890000,3.910000,4.040000,4.040000,873900
2021-03-05,4.090000,4.400000,3.680000,4.350000,4.350000,964300
2021-03-08,4.330000,5.170000,4.270000,4.680000,4.680000,1259600
2021-03-09,4.720000,4.920000,4.510000,4.670000,4.670000,368700
2021-03-10,4.830000,4.920000,4.535000,4.810000,4.810000,917800
2021-03-11,5.700000,5.720000,5.100000,5.550000,5.550000,1556700
2021-03-12,5.090000,5.440000,4.966000,5.080000,5.080000,1259800
2021-03-15,5.230000,5.323000,5.050000,5.220000,5.220000,276600
2021-03-16,5.150000,5.550000,5.150000,5.420000,5.420000,377000
2021-03-17,5.340000,5.950000,5.060000,5.670000,5.670000,362700
2021-03-18,5.510000,5.590000,5.220000,5.330000,5.330000,250700
2021-03-19,5.390000,5.540000,5.200000,5.200000,5.200000,295000
2021-03-22,5.300000,5.590000,5.160000,5.250000,5.250000,372900
2021-03-23,5.360000,5.400000,4.820000,4.840000,4.840000,445800
2021-03-24,4.979000,5.190000,4.801000,4.850000,4.850000,322500
2021-03-25,4.800000,4.950000,4.600000,4.770000,4.770000,141700
2021-03-26,4.740000,4.860000,4.400000,4.580000,4.580000,235700
2021-03-29,4.540000,4.580000,4.170000,4.190000,4.190000,212700
2021-03-30,4.160000,4.220000,3.890000,4.170000,4.170000,150200
2021-03-31,4.230000,4.480000,4.230000,4.380000,4.380000,490900
2021-04-01,4.650000,4.950000,4.400000,4.530000,4.530000,459900
2021-04-05,4.580000,4.580000,4.290000,4.340000,4.340000,483600
2021-04-06,4.300000,4.730000,4.140000,4.320000,4.320000,1244100
2021-04-07,4.250000,4.750000,4.210000,4.580000,4.580000,1053600
2021-04-08,4.580000,4.660000,4.260000,4.440000,4.440000,424900
2021-04-09,4.737000,6.190000,4.510000,4.710000,4.710000,22397300
2021-04-12,4.830000,5.180000,4.400000,5.070000,5.070000,2354100
2021-04-13,5.070000,5.904000,4.906000,5.820000,5.820000,2210200
2021-04-14,5.540000,5.800000,4.720000,4.860000,4.860000,1414800
2021-04-15,4.900000,5.000000,4.610000,4.810000,4.810000,429800
2021-04-16,4.810000,5.350000,4.510000,4.770000,4.770000,1718600
2021-04-19,4.620000,4.770000,4.350000,4.470000,4.470000,258900
2021-04-20,4.400000,4.530000,4.310000,4.450000,4.450000,459000
2021-04-21,4.390000,4.710000,4.260000,4.690000,4.690000,186900
2021-04-22,4.690000,5.000000,4.520000,4.800000,4.800000,320500
2021-04-23,4.810000,4.970000,4.690000,4.750000,4.750000,237500
2021-04-26,4.740000,4.900000,4.660000,4.900000,4.900000,202500
2021-04-27,4.970000,5.090000,4.780000,4.950000,4.950000,162600
2021-04-28,4.940000,5.070000,4.710000,4.970000,4.970000,240100
2021-04-29,5.070000,5.390000,4.920000,5.330000,5.330000,775000
2021-04-30,5.220000,5.620000,5.160000,5.440000,5.440000,533500
2021-05-03,5.735000,6.260000,5.520000,5.780000,5.780000,1821000
2021-05-04,5.890000,6.170000,5.320000,6.170000,6.170000,1199400
2021-05-05,6.200000,6.450000,5.860000,6.250000,6.250000,800600
2021-05-06,6.300000,6.360000,5.760000,6.300000,6.300000,434800
2021-05-07,5.810000,6.090000,5.560000,5.950000,5.950000,516400
2021-05-10,6.010000,6.010000,5.380000,5.550000,5.550000,298800
2021-05-11,5.300000,5.600000,5.150000,5.440000,5.440000,304100
2021-05-12,5.310000,5.520000,5.157000,5.300000,5.300000,224800
2021-05-13,5.290000,5.350000,5.070000,5.070000,5.070000,328300
2021-05-14,5.160000,5.430000,5.090000,5.200000,5.200000,360300
2021-05-17,5.090000,5.280000,5.090000,5.180000,5.180000,222200
2021-05-18,5.180000,5.520000,5.180000,5.400000,5.400000,137400
2021-05-19,5.240000,5.430000,5.230000,5.290000,5.290000,123700
2021-05-20,5.340000,5.540000,5.300000,5.400000,5.400000,201900
2021-05-21,5.410000,5.550000,5.150000,5.410000,5.410000,329800
2021-05-24,5.420000,5.470000,5.055000,5.140000,5.140000,173300
2021-05-25,5.290000,5.350000,5.090000,5.180000,5.180000,179400
2021-05-26,5.130000,5.290000,5.020000,5.180000,5.180000,120100
2021-05-27,5.270000,5.300000,5.110000,5.300000,5.300000,85700
2021-05-28,5.300000,5.633000,5.210000,5.420000,5.420000,358200
2021-06-01,5.440000,5.530000,5.000000,5.140000,5.140000,293200
2021-06-02,5.170000,5.570000,5.126000,5.230000,5.230000,802900
2021-06-03,5.164000,5.306000,4.900000,5.050000,5.050000,333800
2021-06-04,5.100000,5.160000,4.940000,4.980000,4.980000,182200
2021-06-07,5.000000,5.290000,5.000000,5.250000,5.250000,247700
2021-06-08,5.260000,5.379000,5.170000,5.320000,5.320000,209200
2021-06-09,5.320000,5.600000,5.250000,5.330000,5.330000,790900
2021-06-10,5.430000,5.540000,5.250000,5.460000,5.460000,318500
2021-06-11,5.410000,5.509000,5.360000,5.420000,5.420000,212600
2021-06-14,5.560000,5.930000,5.490000,5.680000,5.680000,537400
2021-06-15,5.750000,5.750000,5.285000,5.360000,5.360000,162500
2021-06-16,5.380000,5.500000,5.287000,5.450000,5.450000,95000
2021-06-17,5.480000,5.823000,5.450000,5.610000,5.610000,259900
2021-06-18,5.560000,5.580000,5.210000,5.390000,5.390000,285400
2021-06-21,5.370000,5.390000,5.250000,5.250000,5.250000,92100
2021-06-22,5.260000,5.290000,5.000000,5.100000,5.100000,207600
2021-06-23,5.080000,5.190000,4.940000,5.090000,5.090000,163100
2021-06-24,5.120000,5.240000,5.060000,5.140000,5.140000,145200
2021-06-25,5.100000,5.270000,5.030000,5.270000,5.270000,205700
2021-06-28,5.240000,5.379000,5.023000,5.250000,5.250000,219100
2021-06-29,5.170000,5.205000,5.000000,5.050000,5.050000,199600
2021-06-30,5.000000,5.182000,4.950000,5.000000,5.000000,227500
2021-07-01,4.980000,5.040000,4.740000,4.820000,4.820000,284500
2021-07-02,4.810000,4.850000,4.610000,4.750000,4.750000,130800
2021-07-06,4.720000,5.480000,4.570000,4.780000,4.780000,996000
2021-07-07,4.780000,4.870000,4.300000,4.540000,4.540000,358000
2021-07-08,4.360000,5.010000,4.240000,4.570000,4.570000,613200
2021-07-09,4.650000,4.780000,4.520000,4.710000,4.710000,140300
2021-07-12,4.690000,4.750000,4.500000,4.680000,4.680000,38500
2021-07-13,4.630000,4.668000,4.200000,4.280000,4.280000,209800
2021-07-14,4.280000,4.430000,4.100000,4.110000,4.110000,116600
2021-07-15,4.080000,4.190000,3.940000,4.150000,4.150000,97900
2021-07-16,4.075000,4.290000,4.075000,4.180000,4.180000,72900
2021-07-19,4.080000,4.430000,4.020000,4.300000,4.300000,310900
2021-07-20,4.270000,4.360000,4.120000,4.210000,4.210000,117300
2021-07-21,4.200000,4.440000,4.190000,4.340000,4.340000,76700
2021-07-22,4.780000,4.970000,4.250000,4.610000,4.610000,817800
2021-07-23,4.420000,4.452000,4.100000,4.200000,4.200000,382400
2021-07-26,4.190000,4.200000,4.080000,4.160000,4.160000,79000
2021-07-27,4.140000,4.395000,3.950000,4.360000,4.360000,305500
2021-07-28,4.400000,5.600000,4.330000,5.090000,5.090000,7745700
2021-07-29,4.970000,5.150000,4.561000,4.640000,4.640000,2615500
2021-07-30,4.500000,4.627000,4.350000,4.370000,4.370000,251100
2021-08-02,4.450000,4.640000,4.360000,4.380000,4.380000,340000
2021-08-03,4.390000,4.490000,4.160000,4.330000,4.330000,220500
2021-08-04,4.360000,4.420000,4.150000,4.220000,4.220000,181400
2021-08-05,4.280000,4.372000,4.164000,4.370000,4.370000,118800
2021-08-06,4.270000,4.800000,4.230000,4.720000,4.720000,571400
2021-08-09,4.700000,4.780000,4.374000,4.540000,4.540000,384700
2021-08-10,4.540000,4.740000,4.000000,4.110000,4.110000,831800
2021-08-11,4.150000,4.360000,4.120000,4.245000,4.245000,483300
2021-08-12,4.300000,4.310000,3.810000,4.080000,4.080000,441100
2021-08-13,4.020000,4.170000,3.970000,4.030000,4.030000,125200
2021-08-16,4.050000,4.150000,3.910000,4.060000,4.060000,153600
2021-08-17,4.060000,4.100000,3.740000,3.760000,3.760000,200587
