Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,5.975000,6.100000,5.760000,5.850000,5.850000,154400
2018-02-08,5.825000,5.920000,5.310000,5.650000,5.650000,118400
2018-02-09,5.570000,5.910000,5.060000,5.700000,5.700000,178100
2018-02-12,5.850000,5.890000,5.450000,5.500000,5.500000,82800
2018-02-13,5.600000,5.700000,5.210000,5.530000,5.530000,91900
2018-02-14,5.780000,5.780000,5.450000,5.570000,5.570000,95600
2018-02-15,5.596000,5.740000,5.160000,5.360000,5.360000,117400
2018-02-16,5.360000,5.360000,5.080000,5.110000,5.110000,125800
2018-02-20,5.180000,5.410000,5.030000,5.100000,5.100000,99300
2018-02-21,5.110000,5.380000,5.020000,5.100000,5.100000,45700
2018-02-22,5.150000,5.180000,4.810000,4.980000,4.980000,91300
2018-02-23,4.900000,4.900000,4.400000,4.510000,4.510000,293300
2018-02-26,4.505000,4.510000,4.010000,4.130000,4.130000,248500
2018-02-27,4.130000,4.150000,3.650000,3.800000,3.800000,303100
2018-02-28,3.800000,4.280000,3.690000,4.180000,4.180000,131600
2018-03-01,4.220000,4.290000,4.100000,4.210000,4.210000,52800
2018-03-02,4.175000,4.250000,4.140000,4.220000,4.220000,38900
2018-03-05,4.150000,4.330000,4.150000,4.280000,4.280000,48200
2018-03-06,4.340000,4.830000,4.310000,4.350000,4.350000,90200
2018-03-07,4.300000,4.600000,4.300000,4.530000,4.530000,45600
2018-03-08,4.450000,4.550000,4.450000,4.550000,4.550000,50300
2018-03-09,4.535000,4.740000,4.280000,4.640000,4.640000,90900
2018-03-12,4.640000,4.750000,4.630000,4.710000,4.710000,83400
2018-03-13,4.750000,4.750000,4.700000,4.740000,4.740000,59000
2018-03-14,4.780000,5.000000,4.650000,4.650000,4.650000,49600
2018-03-15,4.700000,4.870000,4.600000,4.620000,4.620000,39800
2018-03-16,4.650000,4.650000,4.310000,4.500000,4.500000,42300
2018-03-19,4.430000,4.500000,4.160000,4.490000,4.490000,111200
2018-03-20,4.490000,4.500000,4.240000,4.350000,4.350000,19500
2018-03-21,4.350000,4.510000,4.150000,4.225000,4.225000,32300
2018-03-22,4.160000,4.218000,4.060000,4.170000,4.170000,47400
2018-03-23,4.170000,4.200000,4.000000,4.070000,4.070000,62900
2018-03-26,3.960000,4.000000,3.790000,4.000000,4.000000,116400
2018-03-27,4.000000,4.440000,3.780000,4.380000,4.380000,102200
2018-03-28,4.120000,4.480000,3.850000,4.280000,4.280000,78600
2018-03-29,4.150000,4.350000,4.010000,4.070000,4.070000,67800
2018-04-02,4.060000,4.110000,3.650000,3.750000,3.750000,146700
2018-04-03,3.780000,4.250000,3.530000,3.600000,3.600000,82200
2018-04-04,3.585000,3.600000,3.100000,3.590000,3.590000,168100
2018-04-05,3.520000,3.590000,3.310000,3.500000,3.500000,98400
2018-04-06,3.310000,3.400000,3.250000,3.300000,3.300000,153300
2018-04-09,3.350000,3.720000,3.290000,3.440000,3.440000,28600
2018-04-10,3.500000,3.500000,3.270000,3.360000,3.360000,85900
2018-04-11,3.370000,3.600000,3.300000,3.450000,3.450000,62300
2018-04-12,3.470000,3.970000,3.470000,3.870000,3.870000,104600
2018-04-13,4.045000,4.800000,3.720000,4.580000,4.580000,269500
2018-04-16,5.125000,5.490000,4.830000,4.830000,4.830000,407200
2018-04-17,4.780000,4.780000,4.310000,4.310000,4.310000,183500
2018-04-18,4.425000,4.550000,4.150000,4.400000,4.400000,86600
2018-04-19,4.370000,4.730000,4.370000,4.500000,4.500000,96700
2018-04-20,4.590000,4.980000,4.510000,4.750000,4.750000,93900
