Date,Open,High,Low,Close,Adj Close,Volume
2001-03-19,5.307051,5.307051,5.259666,5.307051,5.307051,1979
2001-03-20,5.307051,5.401820,5.212282,5.307051,5.307051,15696
2001-03-21,5.401820,5.401820,5.307051,5.401820,5.401820,183869
2001-03-22,5.259666,5.401820,5.212282,5.307051,5.307051,135461
2001-03-23,5.307051,5.401820,5.307051,5.401820,5.401820,4880
2001-03-26,5.307051,5.401820,5.259666,5.401820,5.401820,2242
2001-03-27,5.307051,5.354435,5.307051,5.354435,5.354435,1847
2001-03-28,5.401820,5.401820,4.927976,5.212282,5.212282,420365
2001-03-29,5.212282,5.307051,5.117513,5.307051,5.307051,8837
2001-03-30,5.212282,5.307051,4.454132,4.596285,4.596285,63180
2001-04-02,4.548901,4.643669,4.501516,4.548901,4.548901,19126
2001-04-03,4.548901,4.548901,4.548901,4.548901,4.548901,132
2001-04-04,4.548901,4.548901,4.548901,4.548901,4.548901,2374
2001-04-05,4.643669,4.667362,4.643669,4.643669,4.643669,2770
2001-04-06,4.643669,4.643669,4.501516,4.548901,4.548901,5276
2001-04-09,4.662623,4.662623,4.473086,4.473086,4.473086,4485
2001-04-10,4.548901,4.586808,4.548901,4.586808,4.586808,13190
2001-04-11,4.548901,4.852161,4.548901,4.836998,4.836998,17147
2001-04-12,4.852161,5.117513,4.829416,5.117513,5.117513,8178
2001-04-16,5.117513,5.193328,5.117513,5.117513,5.117513,3561
2001-04-17,5.231236,5.307051,5.155421,5.307051,5.307051,116863
2001-04-18,5.382866,5.382866,5.193328,5.193328,5.193328,7123
2001-04-19,5.117513,5.837756,5.117513,5.837756,5.837756,10420
2001-04-20,5.117513,5.875663,5.117513,5.852919,5.852919,3693
2001-04-23,5.837756,5.845337,5.117513,5.845337,5.845337,6067
2001-04-24,5.852919,5.852919,5.852919,5.852919,5.852919,264
2001-04-25,5.231236,5.852919,5.193328,5.458681,5.458681,6727
2001-04-26,5.761941,6.353298,5.686126,5.875663,5.875663,65818
2001-04-27,5.875663,6.065201,5.724033,5.799848,5.799848,55794
2001-04-30,6.065201,6.103108,5.799848,5.799848,5.799848,45637
2001-05-01,5.693707,6.065201,5.693707,6.065201,6.065201,347293
2001-05-02,6.065201,6.065201,5.761941,5.913571,5.913571,420102
2001-05-03,5.913571,6.065201,5.875663,6.065201,6.065201,214469
2001-05-04,6.065201,6.141016,5.837756,6.141016,6.141016,226604
2001-05-07,6.141016,6.141016,5.837756,6.141016,6.141016,2902
2001-05-08,5.989386,6.141016,5.989386,6.065201,6.065201,17015
2001-05-09,6.065201,6.254738,5.989386,6.065201,6.065201,37592
2001-05-10,6.065201,6.065201,6.027293,6.065201,6.065201,19917
2001-05-11,6.065201,7.278241,5.989386,7.278241,7.278241,110005
2001-05-14,7.126611,7.202426,6.747536,6.899166,6.899166,85603
2001-05-15,7.126611,7.202426,6.823351,7.012889,7.012889,21764
2001-05-16,6.997726,7.088704,6.785444,6.899166,6.899166,100244
2001-05-17,7.081122,7.202426,6.785444,7.202426,7.202426,112115
2001-05-18,7.012889,8.794541,7.012889,8.339651,8.339651,60015
2001-05-21,8.415466,8.438211,8.188021,8.415466,8.415466,70830
2001-05-22,8.036391,8.415466,8.036391,8.407885,8.407885,104597
