Date,Open,High,Low,Close,Adj Close,Volume
2013-07-24,700.000000,713.299988,631.400024,669.900024,669.900024,15803
2013-07-25,654.500000,667.099976,632.099976,650.299988,650.299988,2503
2013-07-26,644.000000,649.599976,631.400024,649.599976,649.599976,549
2013-07-29,640.500000,657.299988,630.700012,641.200012,641.200012,71
2013-07-30,634.200012,663.599976,634.200012,655.200012,655.200012,276
2013-07-31,664.299988,695.099976,647.500000,695.099976,695.099976,289
2013-08-01,700.700012,707.000000,683.900024,703.500000,703.500000,661
2013-08-02,684.599976,714.000000,683.900024,706.299988,706.299988,1930
2013-08-05,710.500000,714.000000,693.700012,703.500000,703.500000,706
2013-08-06,690.200012,710.500000,690.200012,696.500000,696.500000,247
2013-08-07,688.799988,703.500000,688.799988,700.000000,700.000000,121
2013-08-08,696.500000,700.000000,684.599976,684.599976,684.599976,189
2013-08-09,684.599976,700.000000,684.599976,686.700012,686.700012,194
2013-08-12,700.000000,710.500000,700.000000,710.500000,710.500000,327
2013-08-13,700.000000,700.000000,685.299988,688.799988,688.799988,330
2013-08-14,700.000000,710.500000,649.599976,700.000000,700.000000,116
2013-08-15,699.299988,710.500000,690.900024,690.900024,690.900024,176
2013-08-16,710.500000,713.299988,703.500000,713.299988,713.299988,633
2013-08-19,786.099976,786.099976,690.200012,707.000000,707.000000,513
2013-08-20,709.799988,710.500000,672.700012,710.500000,710.500000,94
2013-08-21,707.000000,710.500000,703.500000,704.900024,704.900024,330
2013-08-22,721.700012,721.700012,705.599976,706.299988,706.299988,179
2013-08-23,707.000000,707.000000,701.400024,707.000000,707.000000,141
2013-08-26,700.000000,707.000000,700.000000,703.500000,703.500000,291
2013-08-27,686.000000,703.500000,686.000000,703.500000,703.500000,150
2013-08-28,700.000000,703.500000,693.000000,700.700012,700.700012,311
2013-08-29,700.000000,703.500000,696.500000,697.900024,697.900024,324
2013-08-30,694.400024,702.799988,683.900024,699.299988,699.299988,27
2013-09-03,702.099976,703.500000,693.700012,697.200012,697.200012,243
2013-09-04,696.500000,705.599976,683.200012,695.799988,695.799988,234
2013-09-05,679.700012,700.000000,679.000000,689.500000,689.500000,109
2013-09-06,675.500000,683.900024,672.000000,682.500000,682.500000,89
2013-09-09,682.500000,704.900024,682.500000,693.000000,693.000000,217
2013-09-10,689.500000,704.900024,689.500000,694.400024,694.400024,166
2013-09-11,687.400024,703.500000,686.700012,696.500000,696.500000,113
2013-09-12,696.500000,770.000000,696.500000,763.000000,763.000000,596
2013-09-13,766.500000,790.299988,756.000000,770.000000,770.000000,1140
2013-09-16,793.099976,889.000000,767.200012,874.299988,874.299988,4511
2013-09-17,877.799988,945.000000,840.700012,853.299988,853.299988,3437
2013-09-18,910.000000,945.000000,893.200012,937.299988,937.299988,4153
2013-09-19,945.000000,945.000000,864.500000,895.299988,895.299988,920
2013-09-20,909.299988,909.299988,861.700012,861.700012,861.700012,720
2013-09-23,875.700012,909.299988,861.700012,898.799988,898.799988,1273
2013-09-24,893.200012,908.599976,833.000000,842.099976,842.099976,816
2013-09-25,840.000000,847.000000,822.500000,826.000000,826.000000,1133
2013-09-26,870.099976,872.200012,824.599976,824.599976,824.599976,426
2013-09-27,823.900024,938.000000,823.900024,923.299988,923.299988,1531
2013-09-30,932.400024,942.900024,870.799988,870.799988,870.799988,1200
2013-10-01,891.799988,910.000000,848.400024,882.000000,882.000000,897
2013-10-02,885.500000,1049.300049,875.000000,1022.000000,1022.000000,2667
2013-10-03,1033.199951,1070.300049,949.900024,962.500000,962.500000,2171
2013-10-04,974.400024,1029.000000,970.200012,979.299988,979.299988,581
2013-10-07,979.299988,1003.099976,922.599976,933.099976,933.099976,527
2013-10-08,941.500000,979.299988,848.400024,908.599976,908.599976,636
2013-10-09,903.000000,903.000000,808.500000,837.900024,837.900024,410
2013-10-10,868.000000,892.500000,791.700012,824.599976,824.599976,777
2013-10-11,844.900024,844.900024,781.200012,793.799988,793.799988,350
2013-10-14,812.700012,819.700012,749.000000,763.700012,763.700012,399
2013-10-15,770.000000,791.700012,736.400024,757.400024,757.400024,596
2013-10-16,751.799988,778.400024,749.700012,778.400024,778.400024,274
2013-10-17,765.099976,779.099976,746.900024,758.099976,758.099976,353
2013-10-18,742.700012,784.000000,742.700012,779.099976,779.099976,284
2013-10-21,784.000000,784.000000,742.000000,746.200012,746.200012,487
2013-10-22,750.400024,750.400024,683.200012,739.900024,739.900024,1007
2013-10-23,727.299988,735.000000,700.000000,731.500000,731.500000,444
2013-10-24,711.900024,747.599976,708.400024,722.400024,722.400024,306
2013-10-25,725.900024,740.599976,704.200012,723.799988,723.799988,331
2013-10-28,731.500000,744.799988,707.000000,707.700012,707.700012,453
2013-10-29,715.400024,717.500000,660.799988,689.500000,689.500000,643
2013-10-30,686.000000,688.799988,644.000000,645.400024,645.400024,850
2013-10-31,639.099976,659.400024,609.000000,633.500000,633.500000,783
2013-11-01,661.500000,679.700012,648.200012,679.700012,679.700012,166
2013-11-04,671.299988,694.400024,668.500000,683.200012,683.200012,87
2013-11-05,649.599976,688.799988,649.599976,673.400024,673.400024,111
2013-11-06,665.000000,670.599976,623.000000,641.900024,641.900024,734
2013-11-07,626.500000,627.900024,525.000000,586.599976,586.599976,454
2013-11-08,626.500000,658.000000,626.500000,644.000000,644.000000,230
2013-11-11,583.099976,630.000000,583.099976,600.599976,600.599976,171
2013-11-12,605.500000,605.500000,560.700012,572.599976,572.599976,139
2013-11-13,611.799988,647.500000,595.000000,632.799988,632.799988,417
2013-11-14,640.500000,648.900024,588.000000,588.000000,588.000000,857
2013-11-15,588.000000,623.000000,588.000000,598.500000,598.500000,161
2013-11-18,597.799988,597.799988,560.000000,565.599976,565.599976,141
2013-11-19,570.500000,596.400024,545.299988,549.500000,549.500000,1001
2013-11-20,557.900024,579.599976,557.900024,560.000000,560.000000,130
2013-11-21,569.799988,583.799988,536.900024,536.900024,536.900024,621
2013-11-22,560.000000,601.299988,546.700012,563.500000,563.500000,396
2013-11-25,573.299988,625.799988,549.500000,610.400024,610.400024,839
