Date,Open,High,Low,Close,Adj Close,Volume
2018-06-27,5.550000,6.500000,4.650000,5.100000,5.100000,2032300
2018-06-28,5.500000,5.500000,4.910000,4.910000,4.910000,346100
2018-06-29,4.950000,5.250000,4.900000,5.050000,5.050000,433100
2018-07-02,5.050000,5.190000,4.910000,4.970000,4.970000,263000
2018-07-03,5.050000,5.690000,4.900000,4.990000,4.990000,846300
2018-07-05,5.100000,5.100000,4.860000,5.000000,5.000000,145100
2018-07-06,5.030000,5.030000,4.681000,4.700000,4.700000,212600
2018-07-09,4.750000,4.790000,4.250000,4.430000,4.430000,255200
2018-07-10,4.530000,4.985000,4.150000,4.810000,4.810000,498600
2018-07-11,4.890000,4.990000,4.500000,4.800000,4.800000,423700
2018-07-12,4.830000,5.129000,4.740000,4.990000,4.990000,439200
2018-07-13,5.000000,5.100000,4.851000,4.870000,4.870000,256400
2018-07-16,4.910000,5.130000,4.677000,4.850000,4.850000,552400
2018-07-17,4.890000,5.050000,4.800000,4.830000,4.830000,256100
2018-07-18,4.830000,4.830000,4.560000,4.800000,4.800000,177000
2018-07-19,4.800000,4.900000,4.650000,4.650000,4.650000,331500
2018-07-20,4.710000,4.775000,4.600000,4.610000,4.610000,107200
2018-07-23,4.600000,4.676000,4.121000,4.170000,4.170000,188100
2018-07-24,4.100000,4.160000,3.700000,3.750000,3.750000,257000
2018-07-25,3.730000,3.820000,3.080000,3.230000,3.230000,343000
2018-07-26,3.250000,3.380000,2.583000,3.360000,3.360000,450800
2018-07-27,3.340000,3.722000,3.200000,3.420000,3.420000,474200
2018-07-30,3.450000,3.610000,3.250000,3.320000,3.320000,392700
2018-07-31,4.100000,4.170000,3.510000,3.580000,3.580000,2169100
2018-08-01,3.530000,3.650000,3.179000,3.600000,3.600000,173800
2018-08-02,3.620000,3.620000,3.410000,3.470000,3.470000,48500
2018-08-03,3.620000,3.620000,3.300000,3.350000,3.350000,67300
2018-08-06,3.330000,3.346000,2.940000,3.150000,3.150000,110800
2018-08-07,3.140000,3.399000,3.060000,3.260000,3.260000,102000
2018-08-08,3.140000,3.284000,3.020000,3.076000,3.076000,86700
2018-08-09,3.040000,3.180000,3.025000,3.060000,3.060000,26300
2018-08-10,3.040000,3.120000,2.970000,2.980000,2.980000,87000
2018-08-13,2.970000,2.990000,2.500000,2.770000,2.770000,233700
2018-08-14,3.380000,4.100000,2.950000,3.010000,3.010000,8187300
2018-08-15,3.000000,3.000000,2.710000,2.850000,2.850000,376300
2018-08-16,2.900000,2.980000,2.800000,2.950000,2.950000,185000
2018-08-17,2.980000,3.050000,2.850000,2.930000,2.930000,62500
2018-08-20,2.910000,3.240000,2.910000,3.210000,3.210000,173400
2018-08-21,3.200000,3.300000,3.150000,3.240000,3.240000,95600
2018-08-22,3.270000,3.590000,3.250000,3.490000,3.490000,141300
2018-08-23,3.510000,3.670000,3.510000,3.650000,3.650000,95300
2018-08-24,3.650000,3.650000,3.210000,3.270000,3.270000,118800
2018-08-27,3.390000,3.450000,3.270000,3.410000,3.410000,58100
