Date,Open,High,Low,Close,Adj Close,Volume
2020-02-28,25.360001,25.492001,25.360001,25.492001,25.228672,13900
2020-03-02,25.559999,25.559999,25.500000,25.500000,25.236589,800
2020-03-03,25.580000,25.924999,25.520000,25.740000,25.474112,16800
2020-03-04,25.799999,25.799999,25.760000,25.760000,25.493906,700
2020-03-05,25.889999,25.962999,25.889999,25.962999,25.694803,600
2020-03-06,26.379999,26.400000,26.270000,26.271999,26.000616,6200
2020-03-09,26.900000,26.900000,26.639999,26.639999,26.364817,16300
2020-03-10,26.455000,26.590000,26.150000,26.150000,25.879877,22000
2020-03-11,26.250000,26.250000,26.000000,26.000000,25.731428,16300
2020-03-12,26.200001,26.290001,25.840000,25.877001,25.609695,32400
2020-03-13,25.770000,27.879999,25.600000,25.600000,25.335558,324800
2020-03-16,26.090000,26.275999,25.969999,26.275999,26.004572,15700
2020-03-17,26.160000,26.170000,25.680000,25.680000,25.414730,4900
2020-03-18,25.340000,25.600000,25.080000,25.226999,24.966408,24300
2020-03-19,25.200001,25.511999,25.200001,25.230000,24.969376,8200
2020-03-20,25.690001,25.870001,25.680000,25.870001,25.602766,2900
2020-03-23,26.180000,26.320000,26.180000,26.295000,26.023376,2700
2020-03-24,26.110001,26.120001,26.014999,26.084999,25.815548,3200
2020-03-25,26.209999,26.209999,26.049999,26.049999,25.780905,2100
2020-03-26,26.190001,26.190001,26.170000,26.170000,25.899670,600
2020-03-27,26.282000,26.455000,26.282000,26.434000,26.160940,500
2020-03-30,26.639999,26.840000,26.437000,26.437000,26.163910,253200
2020-03-31,26.580000,26.730000,26.554001,26.570000,26.295538,7700
2020-04-01,26.680000,27.250000,26.570000,26.615000,26.352966,90800
2020-04-02,26.690001,26.690001,26.590000,26.590000,26.328215,1300
2020-04-03,26.650000,26.750000,26.615999,26.629999,26.367819,3900
2020-04-06,26.580000,26.580000,26.459999,26.520000,26.258905,1100
2020-04-07,26.510000,26.510000,26.290001,26.375000,26.115330,1500
2020-04-08,26.325001,26.389999,26.325001,26.340000,26.080675,600
2020-04-09,26.379999,26.430000,26.344999,26.365000,26.105431,2200
2020-04-13,26.309999,26.379999,26.309999,26.309999,26.050970,1500
2020-04-14,26.379999,26.379999,26.330000,26.363001,26.103447,2900
2020-04-15,26.629999,26.632999,26.629999,26.632999,26.370790,500
2020-04-16,26.690001,26.690001,26.660000,26.667000,26.404455,1500
2020-04-17,26.709999,26.709999,26.600000,26.600000,26.338116,1600
2020-04-20,26.639999,26.680000,26.639999,26.674999,26.412374,3800
2020-04-21,26.820000,26.820000,26.760000,26.775000,26.511391,800
2020-04-22,26.695000,26.700001,26.674999,26.674999,26.412374,1000
2020-04-23,26.674999,26.674999,26.674999,26.674999,26.412374,0
2020-04-24,26.709999,26.719999,26.700001,26.709999,26.447031,1100
2020-04-27,26.610001,26.620001,26.559999,26.559999,26.298506,4300
2020-04-28,26.580000,26.666000,26.580000,26.666000,26.403465,600
2020-04-29,26.650000,26.730000,26.629999,26.660999,26.398514,1200
2020-04-30,26.666000,26.709999,26.591999,26.591999,26.330191,900
2020-05-01,26.610001,26.639999,26.600000,26.612000,26.362881,2100
2020-05-04,26.608999,26.608999,26.577999,26.600000,26.350994,600
2020-05-05,26.598000,26.600000,26.573000,26.590000,26.341091,700
2020-05-06,26.440001,26.480000,26.440001,26.471001,26.223206,1000
2020-05-07,26.469999,26.629999,26.469999,26.625000,26.375765,900
2020-05-08,26.610001,26.610001,26.545000,26.545000,26.296513,900
2020-05-11,26.510000,26.510000,26.455000,26.455000,26.207355,1200
2020-05-12,26.500000,26.540001,26.500000,26.540001,26.291557,200
2020-05-13,26.600000,26.660000,26.600000,26.620001,26.370811,1100
2020-05-14,26.670000,26.719999,26.665001,26.665001,26.415390,1800
2020-05-15,26.629999,26.660000,26.629999,26.635000,26.385666,500
2020-05-18,26.459999,26.459999,26.459999,26.459999,26.212305,300
2020-05-19,26.459999,26.459999,26.459999,26.459999,26.212305,0
2020-05-20,26.480000,26.546000,26.480000,26.546000,26.297503,500
2020-05-21,26.559999,26.570000,26.559999,26.570000,26.321276,600
2020-05-22,26.605000,26.620001,26.605000,26.620001,26.370811,600
2020-05-26,26.549999,26.549999,26.549999,26.549999,26.301462,400
2020-05-27,26.610001,26.610001,26.565001,26.565001,26.316332,400
2020-05-28,26.590000,26.600000,26.545000,26.545000,26.296513,11300
2020-05-29,26.610001,26.639000,26.600000,26.639000,26.389631,1100
2020-06-01,26.584999,26.607000,26.584999,26.607000,26.373775,500
2020-06-02,26.570000,26.570000,26.549999,26.565001,26.332148,900
2020-06-03,26.400000,26.420000,26.395000,26.395000,26.163631,1900
2020-06-04,26.395000,26.395000,26.395000,26.395000,26.163631,0
2020-06-05,26.090000,26.139999,26.070000,26.139999,25.910866,1000
2020-06-08,26.110001,26.170000,26.110001,26.170000,25.940603,800
2020-06-09,26.290001,26.295000,26.260000,26.270000,26.039728,700
2020-06-10,26.365000,26.469999,26.365000,26.469999,26.237974,600
2020-06-11,26.594999,26.600000,26.591000,26.591000,26.357912,400
2020-06-12,26.559999,26.559999,26.525000,26.525000,26.292486,600
2020-06-15,26.525000,26.525000,26.525000,26.525000,26.292486,200
2020-06-16,26.485001,26.485001,26.420000,26.450001,26.218147,3400
2020-06-17,26.469999,26.489000,26.440001,26.489000,26.256807,1200
2020-06-18,26.555000,26.580000,26.555000,26.555000,26.322229,800
2020-06-19,26.549999,26.561001,26.549999,26.561001,26.328176,300
2020-06-22,26.600000,26.600000,26.540001,26.540001,26.307360,1600
2020-06-23,26.530001,26.530001,26.500000,26.525000,26.292486,1200
2020-06-24,26.590000,26.599001,26.590000,26.590000,26.356922,500
2020-06-25,26.620001,26.629999,26.590000,26.590000,26.356922,1200
2020-06-26,26.690001,26.690001,26.670000,26.670000,26.436224,800
2020-06-29,26.680000,26.698000,26.680000,26.698000,26.463972,300
2020-06-30,26.719999,26.719999,26.639999,26.639999,26.406485,700
2020-07-01,26.639999,26.639999,26.639999,26.639999,26.423346,0
2020-07-02,26.590000,26.615000,26.590000,26.615000,26.398546,1000
2020-07-06,26.549999,26.561001,26.549999,26.561001,26.344988,900
2020-07-07,26.639999,26.639999,26.639999,26.639999,26.423346,400
2020-07-08,26.629999,26.639999,26.604000,26.620001,26.403509,1600
2020-07-09,26.650000,26.709999,26.650000,26.709999,26.492773,700
2020-07-10,26.730000,26.730000,26.650000,26.650000,26.433260,2300
2020-07-13,26.620001,26.684999,26.620001,26.684999,26.467976,1500
2020-07-14,26.684999,26.684999,26.684999,26.684999,26.467976,0
2020-07-15,26.670000,26.709999,26.670000,26.709999,26.492773,1000
2020-07-16,26.740000,26.740000,26.700001,26.700001,26.482855,1700
2020-07-17,26.690001,26.690001,26.680000,26.680000,26.463018,300
2020-07-20,26.719999,26.719999,26.690001,26.700001,26.482855,1500
2020-07-21,26.725000,26.750000,26.725000,26.733999,26.516577,39700
2020-07-22,26.770000,26.770000,26.740000,26.740000,26.522532,16400
2020-07-23,26.770000,26.790001,26.770000,26.775000,26.557249,16000
2020-07-24,26.770000,26.770000,26.764999,26.764999,26.547333,500
2020-07-27,26.770000,26.770000,26.709999,26.709999,26.492773,1100
2020-07-28,26.770000,26.790001,26.760000,26.789000,26.571133,1000
2020-07-29,26.780001,26.815001,26.780001,26.815001,26.596922,1000
2020-07-30,26.860001,26.870001,26.840000,26.865000,26.646515,4600
2020-07-31,26.860001,26.874001,26.860001,26.874001,26.655443,700
2020-08-03,26.820000,26.830000,26.809999,26.830000,26.629635,2100
2020-08-04,26.900000,26.930000,26.900000,26.930000,26.728886,700
2020-08-05,26.840000,26.860001,26.840000,26.840000,26.639563,1100
2020-08-06,26.920000,26.920000,26.865000,26.865000,26.664373,800
2020-08-07,26.860001,26.860001,26.809999,26.809999,26.609789,1300
2020-08-10,26.850000,26.850000,26.770000,26.770000,26.570082,800
2020-08-11,26.650000,26.690001,26.629999,26.690001,26.490685,700
2020-08-12,26.580000,26.622000,26.570000,26.594999,26.396391,2700
2020-08-13,26.600000,26.600000,26.520000,26.530001,26.331875,2100
2020-08-14,26.580000,26.590000,26.549999,26.549999,26.351725,1800
2020-08-17,26.600000,26.620001,26.600000,26.600000,26.401354,500
2020-08-18,26.650000,26.660000,26.639999,26.639999,26.441055,600
2020-08-19,26.680000,26.680000,26.610001,26.610001,26.411280,800
2020-08-20,26.695000,26.700001,26.671000,26.684999,26.485716,1500
2020-08-21,26.719999,26.719999,26.709999,26.709999,26.510529,400
2020-08-24,26.709999,26.709999,26.680000,26.680000,26.480755,1600
2020-08-25,26.680000,26.680000,26.680000,26.680000,26.480755,0
2020-08-26,26.559999,26.559999,26.559999,26.559999,26.361650,600
2020-08-27,26.510000,26.510000,26.500000,26.500000,26.302103,3800
2020-08-28,26.559999,26.559999,26.500000,26.525000,26.326908,900
2020-08-31,26.559999,26.605000,26.549999,26.559999,26.361650,1300
2020-09-01,26.559999,26.559999,26.559999,26.559999,26.378532,400
2020-09-02,26.650000,26.670000,26.650000,26.670000,26.487787,800
2020-09-03,26.719999,26.730000,26.715000,26.725000,26.542408,1000
2020-09-04,26.620001,26.629999,26.570000,26.570000,26.388468,1900
2020-09-08,26.639999,26.639999,26.615000,26.615000,26.433157,2800
2020-09-09,26.590000,26.600000,26.570000,26.594000,26.412304,1500
2020-09-10,26.549999,26.631001,26.549999,26.631001,26.449053,600
2020-09-11,26.639999,26.660999,26.639999,26.660000,26.477852,600
2020-09-14,26.680000,26.680000,26.639999,26.641001,26.458982,600
2020-09-15,26.629999,26.650000,26.629999,26.639999,26.457991,900
2020-09-16,26.680000,26.680000,26.620001,26.620001,26.438126,900
2020-09-17,26.670000,26.670000,26.629999,26.629999,26.448055,1100
2020-09-18,26.639999,26.639999,26.610001,26.610001,26.428196,600
2020-09-21,26.690001,26.690001,26.660000,26.660000,26.477852,600
2020-09-22,26.670000,26.680000,26.658001,26.658001,26.475868,1200
2020-09-23,26.629999,26.629999,26.629999,26.629999,26.448055,500
2020-09-24,26.650000,26.680000,26.650000,26.680000,26.497715,500
2020-09-25,26.709999,26.709999,26.684000,26.695000,26.512613,1000
2020-09-28,26.690001,26.690001,26.690001,26.690001,26.507648,800
2020-09-29,26.730000,26.730000,26.709999,26.709999,26.527510,7300
2020-09-30,26.639999,26.650000,26.629999,26.639999,26.457991,1200
