Date,Open,High,Low,Close,Adj Close,Volume
2021-04-23,15.310000,15.890000,14.500000,15.000000,15.000000,2996400
2021-04-26,14.300000,15.350000,13.880000,15.160000,15.160000,214400
2021-04-27,15.150000,15.190000,14.900000,15.050000,15.050000,87000
2021-04-28,15.070000,15.200000,14.850000,15.090000,15.090000,176100
2021-04-29,15.010000,15.180000,14.960000,15.040000,15.040000,69800
2021-04-30,15.250000,15.250000,15.050000,15.200000,15.200000,163200
2021-05-03,15.200000,15.450000,15.010000,15.090000,15.090000,39600
2021-05-04,15.070000,15.090000,14.900000,15.000000,15.000000,97900
2021-05-05,15.000000,15.190000,14.930000,15.090000,15.090000,42300
2021-05-06,15.000000,15.130000,15.000000,15.070000,15.070000,22400
2021-05-07,15.080000,15.080000,15.000000,15.030000,15.030000,20700
2021-05-10,14.950000,14.987000,14.600000,14.870000,14.870000,280900
2021-05-11,14.900000,14.900000,14.200000,14.700000,14.700000,282900
2021-05-12,14.720000,14.720000,14.260000,14.290000,14.290000,113000
2021-05-13,14.510000,14.510000,13.760000,13.950000,13.950000,110300
2021-05-14,13.950000,14.000000,13.500000,13.620000,13.620000,65300
2021-05-17,13.460000,13.900000,13.460000,13.890000,13.890000,17800
2021-05-18,14.200000,14.880000,13.870000,13.920000,13.920000,43800
2021-05-19,13.950000,14.400000,13.950000,14.250000,14.250000,30000
2021-05-20,14.580000,14.940000,14.000000,14.230000,14.230000,104300
2021-05-21,14.310000,14.320000,13.620000,13.620000,13.620000,77200
2021-05-24,14.000000,14.040000,12.830000,13.050000,13.050000,71700
2021-05-25,13.020000,13.020000,12.480000,12.660000,12.660000,45700
2021-05-26,12.810000,12.817000,11.300000,11.600000,11.600000,46000
2021-05-27,11.770000,11.790000,11.390000,11.440000,11.440000,12200
2021-05-28,11.555000,11.729000,11.030000,11.170000,11.170000,26700
2021-06-01,11.440000,11.440000,9.860000,10.000000,10.000000,69000
2021-06-02,10.210000,10.530000,10.010000,10.400000,10.400000,58400
2021-06-03,10.450000,10.550000,9.080000,9.100000,9.100000,82400
2021-06-04,9.360000,9.830000,9.350000,9.830000,9.830000,22900
2021-06-07,9.960000,10.660000,9.830000,10.580000,10.580000,55700
2021-06-08,10.840000,11.280000,10.170000,10.230000,10.230000,50600
2021-06-09,10.220000,10.450000,10.210000,10.360000,10.360000,14400
2021-06-10,10.340000,10.357000,9.890000,9.990000,9.990000,32000
2021-06-11,10.040000,10.320000,9.800000,10.320000,10.320000,22000
2021-06-14,10.250000,10.565000,10.200000,10.320000,10.320000,32400
2021-06-15,10.470000,10.510000,10.110000,10.230000,10.230000,41200
2021-06-16,10.130000,10.380000,9.890000,9.940000,9.940000,58300
2021-06-17,9.950000,10.160000,9.900000,10.010000,10.010000,62200
2021-06-18,10.050000,10.480000,9.500000,9.510000,9.510000,148900
2021-06-21,9.530000,10.055000,9.010000,9.050000,9.050000,58200
2021-06-22,9.170000,9.343000,8.180000,8.180000,8.180000,74000
2021-06-23,8.380000,8.400000,7.350000,7.350000,7.350000,124100
2021-06-24,7.600000,7.680000,6.904000,7.330000,7.330000,311600
2021-06-25,7.500000,8.450000,7.410000,7.830000,7.830000,672500
2021-06-28,8.220000,8.780000,8.010000,8.780000,8.780000,225700
2021-06-29,8.530000,8.739000,7.850000,7.910000,7.910000,93500
2021-06-30,8.020000,9.120000,8.013000,8.850000,8.850000,119000
2021-07-01,8.830000,9.245000,8.650000,9.100000,9.100000,56300
2021-07-02,9.140000,9.650000,8.926000,9.240000,9.240000,130300
2021-07-06,9.400000,9.400000,8.750000,8.870000,8.870000,62400
2021-07-07,9.050000,9.165000,8.820000,8.860000,8.860000,28000
2021-07-08,8.750000,8.800000,8.250000,8.380000,8.380000,32800
2021-07-09,8.510000,9.550000,8.430000,9.510000,9.510000,24700
2021-07-12,9.510000,9.980000,9.510000,9.960000,9.960000,26400
2021-07-13,9.990000,11.130000,9.600000,10.900000,10.900000,79600
2021-07-14,11.020000,11.020000,9.860000,9.960000,9.960000,68600
2021-07-15,9.760000,10.030000,9.590000,10.020000,10.020000,34400
2021-07-16,10.100000,10.480000,9.896000,10.410000,10.410000,31700
2021-07-19,10.410000,10.450000,9.680000,10.400000,10.400000,45200
2021-07-20,10.420000,12.180000,10.271000,12.160000,12.160000,65000
2021-07-21,11.970000,12.100000,10.890000,12.090000,12.090000,33000
2021-07-22,12.190000,12.190000,11.500000,11.560000,11.560000,16100
2021-07-23,11.630000,15.250000,11.388000,13.460000,13.460000,266000
2021-07-26,13.490000,13.600000,12.300000,12.800000,12.800000,74800
2021-07-27,12.870000,13.045000,12.310000,12.630000,12.630000,14900
2021-07-28,12.840000,13.040000,12.200000,12.730000,12.730000,35800
2021-07-29,12.890000,14.550000,12.625000,13.950000,13.950000,92500
2021-07-30,13.560000,14.200000,13.300000,14.060000,14.060000,67700
2021-08-02,14.320000,15.500000,13.500000,14.870000,14.870000,59700
2021-08-03,15.150000,15.245000,14.670000,14.980000,14.980000,27100
2021-08-04,15.300000,18.000000,15.000000,18.000000,18.000000,118100
2021-08-05,18.190001,20.100000,17.645000,20.100000,20.100000,143100
2021-08-06,20.370001,22.750000,20.150000,22.400000,22.400000,84500
2021-08-09,22.889999,28.000000,22.889999,26.129999,26.129999,151600
2021-08-10,26.600000,27.129999,18.330000,19.370001,19.370001,209200
2021-08-11,19.750000,20.760000,18.299999,18.580000,18.580000,84000
2021-08-12,18.290001,18.700001,17.000000,17.370001,17.370001,76500
2021-08-13,17.160000,17.360001,14.240000,14.250000,14.250000,69883
