Date,Open,High,Low,Close,Adj Close,Volume
2021-06-17,6.270000,7.450000,6.197000,7.150000,7.150000,1912300
2021-06-18,7.300000,8.000000,7.018000,7.490000,7.490000,649900
2021-06-21,7.260000,7.670000,7.110000,7.240000,7.240000,318300
2021-06-22,7.060000,7.184000,6.460000,7.140000,7.140000,308200
2021-06-23,7.220000,7.220000,6.340000,6.590000,6.590000,197800
2021-06-24,6.500000,6.510000,5.670000,6.310000,6.310000,515500
2021-06-25,6.240000,6.500000,6.010000,6.430000,6.430000,271300
2021-06-28,6.550000,8.200000,6.300000,8.080000,8.080000,2249300
2021-06-29,7.940000,8.800000,7.420000,8.320000,8.320000,3739700
2021-06-30,8.640000,10.000000,7.210000,7.220000,7.220000,7544600
2021-07-01,7.190000,7.387000,6.500000,7.080000,7.080000,839800
2021-07-02,6.900000,7.090000,6.200000,6.590000,6.590000,329000
2021-07-06,6.600000,6.660000,6.050000,6.200000,6.200000,312800
2021-07-07,6.370000,7.130000,6.060000,6.700000,6.700000,1373600
2021-07-08,6.350000,6.690000,6.300000,6.340000,6.340000,212000
2021-07-09,6.340000,6.640000,6.300000,6.470000,6.470000,115600
2021-07-12,6.450000,6.780000,6.350000,6.450000,6.450000,238300
2021-07-13,6.340000,6.740000,6.340000,6.610000,6.610000,239500
2021-07-14,6.660000,6.790000,6.220000,6.370000,6.370000,253300
2021-07-15,6.360000,6.500000,5.560000,5.900000,5.900000,394600
2021-07-16,5.950000,5.950000,5.370000,5.370000,5.370000,162000
2021-07-19,5.380000,5.840000,5.100000,5.240000,5.240000,149500
2021-07-20,5.310000,5.660000,5.200000,5.300000,5.300000,118600
2021-07-21,5.280000,6.140000,5.220000,5.710000,5.710000,564000
2021-07-22,5.770000,5.869000,5.580000,5.670000,5.670000,71400
2021-07-23,5.660000,5.711000,5.110000,5.210000,5.210000,117500
2021-07-26,5.220000,5.480000,5.200000,5.425000,5.425000,112400
2021-07-27,5.320000,5.430000,5.150000,5.325000,5.325000,77300
2021-07-28,5.260000,5.900000,5.260000,5.763000,5.763000,127600
2021-07-29,5.920000,6.720000,5.770000,6.220000,6.220000,695600
2021-07-30,6.120000,6.470000,6.120000,6.280000,6.280000,84500
2021-08-02,6.250000,6.460000,6.137000,6.250000,6.250000,59200
2021-08-03,6.175000,6.230000,6.040000,6.150000,6.150000,53300
2021-08-04,6.040000,6.220000,5.685000,5.700000,5.700000,115000
2021-08-05,5.680000,5.910000,5.660000,5.860000,5.860000,61400
2021-08-06,5.900000,6.135000,5.830000,6.035000,6.035000,41700
2021-08-09,5.980000,6.500000,5.980000,6.440000,6.440000,207400
2021-08-10,6.260000,6.440000,5.950000,6.340000,6.340000,164600
2021-08-11,6.360000,6.480000,6.250000,6.430000,6.430000,110900
2021-08-12,6.400000,6.400000,6.130000,6.300000,6.300000,45100
2021-08-13,6.300000,6.390000,6.100000,6.120000,6.120000,53896
