Date,Open,High,Low,Close,Adj Close,Volume
2014-11-11,6.620000,7.200000,6.500000,6.580000,6.580000,623900
2014-11-12,6.560000,6.850000,6.500000,6.500000,6.500000,99300
2014-11-13,6.510000,6.651000,6.510000,6.620000,6.620000,45100
2014-11-14,6.600000,7.072000,6.500000,6.750000,6.750000,40700
2014-11-17,6.650000,7.000000,6.610000,6.760000,6.760000,31000
2014-11-18,6.800000,7.000000,6.780000,6.840000,6.840000,33800
2014-11-19,6.900000,6.900000,6.500000,6.500000,6.500000,66200
2014-11-20,6.540000,6.830000,6.501000,6.610000,6.610000,74300
2014-11-21,6.682000,6.682000,6.500000,6.500000,6.500000,66700
2014-11-24,6.510000,6.570000,6.000000,6.170000,6.170000,83900
2014-11-25,6.200000,6.400000,6.150000,6.320000,6.320000,63800
2014-11-26,6.251000,6.480000,6.250000,6.320000,6.320000,10900
2014-11-28,6.400000,6.400000,6.180000,6.180000,6.180000,6000
2014-12-01,6.340000,6.479000,6.160000,6.440000,6.440000,5600
2014-12-02,6.160000,6.480000,6.160000,6.390000,6.390000,1600
2014-12-03,6.280000,6.390000,6.280000,6.390000,6.390000,800
2014-12-04,6.330000,6.390000,6.330000,6.390000,6.390000,1500
2014-12-05,6.300000,6.450000,6.290000,6.450000,6.450000,8300
2014-12-08,6.480000,6.480000,6.200000,6.370000,6.370000,9500
2014-12-09,6.300000,6.480000,6.200000,6.340000,6.340000,20600
2014-12-10,6.460000,6.490000,6.228000,6.490000,6.490000,5500
2014-12-11,6.490000,6.490000,6.400000,6.490000,6.490000,14700
2014-12-12,6.150000,6.490000,6.040000,6.200000,6.200000,15200
2014-12-15,6.220000,6.460000,6.220000,6.460000,6.460000,6400
2014-12-16,6.480000,6.480000,6.000000,6.250000,6.250000,18800
2014-12-17,6.200000,6.460000,6.200000,6.200000,6.200000,12000
2014-12-18,6.480000,6.480000,6.250000,6.400000,6.400000,6100
2014-12-19,6.480000,6.480000,6.160000,6.250000,6.250000,56800
2014-12-22,6.250000,6.470000,6.250000,6.290000,6.290000,29700
2014-12-23,6.250000,6.370000,6.000000,6.150000,6.150000,32700
2014-12-24,6.340000,6.340000,6.050000,6.050000,6.050000,32600
2014-12-26,6.123000,6.200000,6.050000,6.070000,6.070000,4200
2014-12-29,6.050000,6.190000,6.050000,6.050000,6.050000,28300
2014-12-30,6.050000,6.070000,6.000000,6.070000,6.070000,11200
2014-12-31,6.430000,6.430000,6.380000,6.380000,6.380000,1200
2015-01-02,6.500000,6.500000,6.295000,6.310000,6.310000,7600
2015-01-05,6.210000,6.330000,6.200000,6.310000,6.310000,6400
2015-01-06,6.260000,6.390000,6.260000,6.390000,6.390000,5800
2015-01-07,6.170000,6.500000,6.160000,6.500000,6.500000,15100
2015-01-08,6.494000,6.830000,6.494000,6.580000,6.580000,9400
2015-01-09,6.530000,6.530000,6.530000,6.530000,6.530000,400
2015-01-12,6.780000,6.800000,6.440000,6.680000,6.680000,1000
2015-01-13,6.500000,6.750000,6.400000,6.750000,6.750000,6600
2015-01-14,6.320000,6.630000,6.300000,6.460000,6.460000,7400
2015-01-15,6.300000,6.480000,6.300000,6.480000,6.480000,2300
2015-01-16,6.350000,6.800000,6.250000,6.500000,6.500000,62400
2015-01-20,6.640000,6.869000,6.390000,6.412000,6.412000,47300
2015-01-21,6.450000,6.748000,6.450000,6.695000,6.695000,7700
2015-01-22,6.560000,6.750000,6.520000,6.570000,6.570000,10400
2015-01-23,6.570000,6.580000,6.490000,6.570000,6.570000,2900
2015-01-26,6.350000,6.730000,6.330000,6.670000,6.670000,5600
2015-01-27,6.310000,6.760000,6.310000,6.540000,6.540000,10400
2015-01-28,6.540000,6.540000,6.350000,6.430000,6.430000,4200
2015-01-29,6.350000,6.510000,6.300000,6.440000,6.440000,1800
2015-01-30,6.490000,7.500000,6.250000,6.440000,6.440000,100300
2015-02-02,7.500000,7.680000,6.584000,6.820000,6.820000,31200
2015-02-03,6.989000,6.989000,6.510000,6.510000,6.510000,4600
2015-02-04,6.740000,6.849000,6.500000,6.750000,6.750000,10000
2015-02-05,6.750000,6.800000,6.600000,6.780000,6.780000,24300
2015-02-06,6.780000,7.010000,6.690000,6.970000,6.970000,40100
2015-02-09,6.990000,7.200000,6.810000,6.970000,6.970000,12100
2015-02-10,6.830000,7.250000,6.550000,6.660000,6.660000,16400
2015-02-11,6.740000,7.190000,6.710000,6.900000,6.900000,9500
2015-02-12,6.750000,7.390000,6.750000,6.990000,6.990000,11100
2015-02-13,6.960000,7.030000,6.650000,7.030000,7.030000,5400
2015-02-17,6.900000,7.040000,6.900000,6.950000,6.950000,1800
2015-02-18,7.219000,7.230000,6.780000,6.980000,6.980000,9800
2015-02-19,7.000000,7.250000,6.700000,7.250000,7.250000,15500
2015-02-20,6.990000,7.190000,6.949000,7.190000,7.190000,11500
2015-02-23,8.800000,8.800000,7.150000,7.270000,7.270000,10100
2015-02-24,7.250000,7.790000,7.250000,7.740000,7.740000,16800
2015-02-25,7.810000,8.310000,7.605000,7.950000,7.950000,6100
2015-02-26,8.140000,8.180000,7.850000,7.880000,7.880000,14900
2015-02-27,7.750000,8.090000,7.750000,7.970000,7.970000,7100
2015-03-02,9.000000,9.000000,8.060000,8.160000,8.160000,5000
2015-03-03,8.330000,8.990000,7.820000,8.660000,8.660000,30100
2015-03-04,8.950000,8.950000,8.240000,8.430000,8.430000,19600
2015-03-05,8.390000,8.500000,8.050000,8.320000,8.320000,7300
2015-03-06,8.490000,8.899000,8.440000,8.650000,8.650000,19200
2015-03-09,9.000000,9.000000,8.470000,8.960000,8.960000,22100
2015-03-10,8.710000,8.920000,8.260000,8.750000,8.750000,11700
2015-03-11,8.890000,8.900000,8.540000,8.660000,8.660000,9100
2015-03-12,8.700000,9.400000,8.540000,8.740000,8.740000,24100
2015-03-13,8.740000,8.750000,8.000000,8.100000,8.100000,20900
2015-03-16,8.843000,8.843000,8.060000,8.350000,8.350000,9200
2015-03-17,8.280000,8.740000,8.260000,8.470000,8.470000,3600
2015-03-18,8.500000,8.854000,8.400000,8.400000,8.400000,18100
2015-03-19,8.590000,10.500000,8.410000,8.550000,8.550000,74400
