Date,Open,High,Low,Close,Adj Close,Volume
2018-10-19,10.710000,12.910000,10.700000,11.500000,11.500000,880400
2018-10-22,12.220000,12.220000,11.050000,11.050000,11.050000,88600
2018-10-23,10.970000,10.970000,9.550000,10.100000,10.100000,111400
2018-10-24,10.060000,10.630000,7.610000,7.880000,7.880000,109400
2018-10-25,7.890000,8.240000,7.260000,7.980000,7.980000,95900
2018-10-26,7.950000,8.580000,7.470000,8.580000,8.580000,54800
2018-10-29,8.570000,10.730000,8.570000,10.730000,10.730000,20300
2018-10-30,10.980000,11.520000,10.340000,10.960000,10.960000,63800
2018-10-31,11.000000,12.000000,10.580000,10.690000,10.690000,67400
2018-11-01,10.760000,11.980000,9.970000,11.100000,11.100000,107300
2018-11-02,11.010000,11.500000,9.620000,11.370000,11.370000,83600
2018-11-05,12.000000,12.000000,11.210000,11.520000,11.520000,54500
2018-11-06,11.110000,12.600000,10.860000,11.500000,11.500000,60200
2018-11-07,11.520000,12.920000,11.520000,12.590000,12.590000,45400
2018-11-08,12.600000,14.030000,12.500000,12.800000,12.800000,73100
2018-11-09,12.150000,15.230000,10.950000,15.110000,15.110000,86300
2018-11-12,15.130000,15.860000,13.500000,13.720000,13.720000,70300
2018-11-13,13.720000,14.520000,13.700000,13.900000,13.900000,45300
2018-11-14,14.020000,15.460000,13.500000,15.030000,15.030000,31900
2018-11-15,14.890000,15.330000,13.800000,14.100000,14.100000,40400
2018-11-16,14.010000,14.640000,13.760000,14.160000,14.160000,57800
2018-11-19,13.900000,14.540000,13.310000,13.970000,13.970000,45900
2018-11-20,13.690000,15.170000,13.500000,14.140000,14.140000,46400
2018-11-21,14.280000,15.230000,14.070000,14.960000,14.960000,26900
2018-11-23,14.970000,18.000000,14.700000,17.980000,17.980000,29200
2018-11-26,17.969999,17.969999,15.750000,15.950000,15.950000,95200
2018-11-27,15.850000,15.850000,12.240000,13.200000,13.200000,67000
2018-11-28,13.250000,14.190000,12.820000,13.880000,13.880000,41300
2018-11-29,13.950000,15.760000,13.950000,14.730000,14.730000,47600
2018-11-30,14.730000,16.590000,14.140000,15.720000,15.720000,56800
2018-12-03,15.740000,16.610001,14.410000,14.510000,14.510000,91100
2018-12-04,14.620000,16.490000,12.800000,14.020000,14.020000,63500
2018-12-06,13.900000,14.580000,12.540000,13.500000,13.500000,53000
2018-12-07,13.440000,15.000000,12.650000,15.000000,15.000000,45300
2018-12-10,14.950000,15.880000,14.220000,15.000000,15.000000,39300
2018-12-11,15.080000,15.250000,13.130000,13.990000,13.990000,39000
2018-12-12,14.130000,14.130000,12.180000,12.320000,12.320000,20000
2018-12-13,12.320000,12.320000,8.510000,9.700000,9.700000,38300
2018-12-14,9.720000,10.500000,8.830000,9.510000,9.510000,19000
2018-12-17,9.300000,9.520000,6.700000,8.750000,8.750000,102400
2018-12-18,7.970000,8.760000,7.860000,7.980000,7.980000,44700
2018-12-19,7.970000,9.360000,7.970000,8.990000,8.990000,74300
2018-12-20,8.910000,9.710000,8.350000,8.870000,8.870000,94300
2018-12-21,9.000000,11.550000,7.700000,10.060000,10.060000,954000
2018-12-24,9.120000,9.410000,8.430000,9.270000,9.270000,30300
2018-12-26,9.050000,10.050000,9.050000,9.960000,9.960000,19400
2018-12-27,9.740000,9.940000,8.780000,9.070000,9.070000,52700
2018-12-28,9.120000,10.330000,8.400000,10.070000,10.070000,28500
2018-12-31,10.150000,10.770000,9.890000,10.400000,10.400000,33900
2019-01-02,10.330000,11.070000,9.510000,10.000000,10.000000,66400
2019-01-03,10.030000,10.530000,9.160000,10.080000,10.080000,69300
2019-01-04,10.070000,10.070000,9.090000,9.690000,9.690000,88700
2019-01-07,9.760000,10.950000,9.760000,10.140000,10.140000,29400
2019-01-08,10.160000,10.450000,9.350000,9.710000,9.710000,16300
2019-01-09,9.740000,9.880000,9.110000,9.490000,9.490000,51300
2019-01-10,9.480000,9.970000,9.010000,9.040000,9.040000,11100
2019-01-11,8.990000,8.990000,8.310000,8.620000,8.620000,47800
2019-01-14,8.510000,8.880000,7.810000,8.800000,8.800000,56800
2019-01-15,8.890000,9.010000,8.400000,8.420000,8.420000,29900
2019-01-16,8.330000,8.460000,7.980000,7.990000,7.990000,24300
2019-01-17,8.030000,9.210000,8.000000,8.320000,8.320000,42300
2019-01-18,8.370000,8.910000,7.810000,8.120000,8.120000,43600
2019-01-22,8.040000,8.380000,7.880000,7.940000,7.940000,9100
2019-01-23,8.000000,8.000000,7.850000,7.930000,7.930000,20800
2019-01-24,7.900000,8.350000,7.810000,8.190000,8.190000,50600
2019-01-25,8.190000,8.640000,8.090000,8.400000,8.400000,26200
2019-01-28,8.280000,8.620000,7.970000,8.220000,8.220000,25400
2019-01-29,8.310000,8.860000,7.810000,8.600000,8.600000,20900
2019-01-30,8.640000,8.860000,8.330000,8.770000,8.770000,15000
2019-01-31,8.780000,8.840000,8.150000,8.840000,8.840000,35300
2019-02-01,8.840000,8.860000,8.270000,8.490000,8.490000,26400
2019-02-04,8.510000,8.700000,8.360000,8.520000,8.520000,7600
2019-02-05,8.600000,9.140000,8.360000,9.130000,9.130000,26400
2019-02-06,9.120000,9.150000,8.400000,8.870000,8.870000,23400
2019-02-07,8.880000,9.000000,8.690000,8.790000,8.790000,7900
2019-02-08,8.780000,9.000000,8.510000,8.780000,8.780000,7000
2019-02-11,8.880000,9.180000,8.770000,8.990000,8.990000,10100
2019-02-12,9.190000,9.540000,9.170000,9.490000,9.490000,14000
2019-02-13,9.480000,9.480000,9.050000,9.380000,9.380000,9200
2019-02-14,9.390000,9.390000,9.090000,9.090000,9.090000,10100
2019-02-15,9.160000,9.590000,8.950000,9.440000,9.440000,14000
2019-02-19,9.350000,9.470000,9.210000,9.390000,9.390000,10400
2019-02-20,9.390000,9.460000,9.060000,9.060000,9.060000,11400
2019-02-21,9.100000,9.300000,9.010000,9.140000,9.140000,3800
2019-02-22,9.190000,9.590000,9.060000,9.470000,9.470000,8900
2019-02-25,9.470000,10.410000,9.050000,9.870000,9.870000,21600
2019-02-26,9.850000,10.140000,9.850000,10.040000,10.040000,5600
2019-02-27,9.910000,10.000000,9.050000,9.710000,9.710000,5900
2019-02-28,9.200000,10.000000,9.170000,9.170000,9.170000,8400
2019-03-01,9.310000,9.610000,9.130000,9.610000,9.610000,3900
2019-03-04,9.560000,9.880000,9.300000,9.570000,9.570000,7500
2019-03-05,9.760000,9.780000,9.690000,9.780000,9.780000,2500
2019-03-06,9.750000,9.760000,9.410000,9.500000,9.500000,6400
