Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,2.240000,2.240000,2.240000,2.240000,2.240000,0
2017-11-14,2.093000,2.093000,1.990000,1.990000,1.990000,7000
2017-11-15,2.000000,2.002000,2.000000,2.002000,2.002000,1500
2017-11-16,2.002000,2.002000,2.002000,2.002000,2.002000,0
2017-11-17,1.995000,1.995000,1.995000,1.995000,1.995000,600
2017-11-20,1.995000,1.995000,1.995000,1.995000,1.995000,0
2017-11-21,1.911000,1.911000,1.911000,1.911000,1.911000,2000
2017-11-22,1.911000,1.911000,1.911000,1.911000,1.911000,0
2017-11-24,1.911000,1.911000,1.911000,1.911000,1.911000,0
2017-11-27,1.911000,1.911000,1.911000,1.911000,1.911000,0
2017-11-28,1.911000,1.911000,1.911000,1.911000,1.911000,0
2017-11-29,1.911000,1.911000,1.911000,1.911000,1.911000,0
2017-11-30,1.911000,1.911000,1.911000,1.911000,1.911000,0
2017-12-01,1.911000,1.911000,1.911000,1.911000,1.911000,0
2017-12-04,1.911000,1.911000,1.911000,1.911000,1.911000,0
2017-12-05,1.892000,1.907000,1.892000,1.907000,1.907000,4800
2017-12-06,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-07,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-08,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-11,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-12,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-13,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-14,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-15,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-18,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-19,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-20,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-21,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-22,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-26,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-27,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-28,1.907000,1.907000,1.907000,1.907000,1.907000,0
2017-12-29,1.601000,1.601000,1.601000,1.601000,1.601000,1200
2018-01-02,1.641000,1.641000,1.641000,1.641000,1.641000,600
2018-01-03,1.641000,1.641000,1.641000,1.641000,1.641000,0
2018-01-04,1.641000,1.641000,1.641000,1.641000,1.641000,0
2018-01-05,1.641000,1.641000,1.641000,1.641000,1.641000,0
2018-01-08,1.641000,1.641000,1.641000,1.641000,1.641000,0
2018-01-09,1.641000,1.641000,1.641000,1.641000,1.641000,0
2018-01-10,1.641000,1.641000,1.641000,1.641000,1.641000,0
2018-01-11,1.570000,1.570000,1.570000,1.570000,1.570000,800
2018-01-12,1.570000,1.570000,1.570000,1.570000,1.570000,0
2018-01-16,1.570000,1.570000,1.570000,1.570000,1.570000,0
2018-01-17,1.570000,1.570000,1.570000,1.570000,1.570000,0
2018-01-18,1.570000,1.570000,1.570000,1.570000,1.570000,0
2018-01-19,1.563000,1.563000,1.521000,1.521000,1.521000,4800
2018-01-22,1.521000,1.521000,1.521000,1.521000,1.521000,0
2018-01-23,1.521000,1.521000,1.521000,1.521000,1.521000,0
2018-01-24,1.521000,1.521000,1.521000,1.521000,1.521000,0
2018-01-25,1.521000,1.521000,1.521000,1.521000,1.521000,0
2018-01-26,1.521000,1.521000,1.521000,1.521000,1.521000,0
2018-01-29,1.521000,1.521000,1.521000,1.521000,1.521000,0
2018-01-30,1.521000,1.521000,1.521000,1.521000,1.521000,0
2018-01-31,1.521000,1.521000,1.521000,1.521000,1.521000,0
2018-02-01,1.521000,1.521000,1.521000,1.521000,1.521000,0
2018-02-02,1.643000,1.643000,1.643000,1.643000,1.643000,300
2018-02-05,1.643000,1.643000,1.643000,1.643000,1.643000,0
2018-02-06,1.643000,1.643000,1.643000,1.643000,1.643000,0
2018-02-07,1.473000,1.473000,1.473000,1.473000,1.473000,500
2018-02-08,1.473000,1.473000,1.473000,1.473000,1.473000,0
2018-02-09,1.473000,1.473000,1.473000,1.473000,1.473000,0
2018-02-12,1.473000,1.473000,1.473000,1.473000,1.473000,0
2018-02-13,1.473000,1.473000,1.473000,1.473000,1.473000,0
2018-02-14,1.473000,1.473000,1.473000,1.473000,1.473000,0
2018-02-15,1.473000,1.473000,1.473000,1.473000,1.473000,0
2018-02-16,1.480000,1.480000,1.472000,1.472000,1.472000,1700
2018-02-20,1.472000,1.472000,1.472000,1.472000,1.472000,0
2018-02-21,1.472000,1.472000,1.472000,1.472000,1.472000,0
2018-02-22,1.474000,1.474000,1.474000,1.474000,1.474000,3300
2018-02-23,1.782000,1.782000,1.782000,1.782000,1.782000,400
2018-02-26,1.782000,1.782000,1.782000,1.782000,1.782000,0
2018-02-27,1.782000,1.782000,1.782000,1.782000,1.782000,0
2018-02-28,1.782000,1.782000,1.782000,1.782000,1.782000,0
2018-03-01,1.782000,1.782000,1.782000,1.782000,1.782000,0
2018-03-02,1.782000,1.782000,1.782000,1.782000,1.782000,0
2018-03-05,1.782000,1.782000,1.782000,1.782000,1.782000,0
2018-03-06,1.802000,1.870000,1.802000,1.870000,1.870000,3000
2018-03-07,1.870000,1.870000,1.870000,1.870000,1.870000,0
2018-03-08,1.681000,1.681000,1.681000,1.681000,1.681000,3000
2018-03-09,1.681000,1.681000,1.681000,1.681000,1.681000,0
2018-03-12,1.681000,1.681000,1.681000,1.681000,1.681000,0
2018-03-13,1.680000,1.680000,1.680000,1.680000,1.680000,3000
2018-03-14,1.680000,1.680000,1.680000,1.680000,1.680000,3000
2018-03-15,1.680000,1.680000,1.680000,1.680000,1.680000,0
2018-03-16,1.680000,1.680000,1.680000,1.680000,1.680000,0
2018-03-19,1.680000,1.680000,1.680000,1.680000,1.680000,0
2018-03-20,1.680000,1.680000,1.680000,1.680000,1.680000,0
2018-03-21,1.680000,1.680000,1.680000,1.680000,1.680000,0
2018-03-22,1.680000,1.680000,1.680000,1.680000,1.680000,0
2018-03-23,1.680000,1.680000,1.680000,1.680000,1.680000,0
2018-03-26,1.680000,1.680000,1.680000,1.680000,1.680000,0
2018-03-27,1.680000,1.680000,1.680000,1.680000,1.680000,0
2018-03-28,1.680000,1.680000,1.680000,1.680000,1.680000,0
2018-03-29,1.680000,1.680000,1.680000,1.680000,1.680000,0
2018-04-02,1.567000,1.580000,1.567000,1.580000,1.580000,300
2018-04-03,1.605000,1.605000,1.605000,1.605000,1.605000,1100
2018-04-04,1.605000,1.605000,1.605000,1.605000,1.605000,0
2018-04-05,1.605000,1.605000,1.605000,1.605000,1.605000,0
2018-04-06,1.605000,1.605000,1.605000,1.605000,1.605000,0
2018-04-09,1.624000,1.624000,1.624000,1.624000,1.624000,1200
