Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,2.500000,2.650000,2.410000,2.445000,2.445000,433700
2021-01-05,2.350000,2.590000,2.339000,2.450000,2.450000,268500
2021-01-06,2.450000,2.525000,2.400000,2.410000,2.410000,574400
2021-01-07,2.500000,2.500000,2.320000,2.400000,2.400000,592200
2021-01-08,2.520000,2.670000,2.520000,2.610000,2.610000,532300
2021-01-11,2.510000,2.600000,2.500000,2.520000,2.520000,352900
2021-01-12,2.550000,2.730000,2.520000,2.640000,2.640000,603100
2021-01-13,2.870000,2.910000,2.600000,2.600000,2.600000,541200
2021-01-14,3.000000,3.060000,2.810000,2.990000,2.990000,766400
2021-01-15,3.030000,3.080000,2.840000,3.000000,3.000000,571700
2021-01-19,3.240000,3.780000,3.100000,3.380000,3.380000,1618000
2021-01-20,3.580000,3.660000,3.260000,3.330000,3.330000,651100
2021-01-21,3.290000,3.640000,3.260000,3.460000,3.460000,433000
2021-01-22,3.550000,4.120000,3.510000,3.620000,3.620000,502200
2021-01-25,3.870000,4.199000,3.550000,3.770000,3.770000,631600
2021-01-26,3.680000,3.970000,3.680000,3.710000,3.710000,577400
2021-01-27,3.300000,5.720000,3.080000,3.300000,3.300000,2692000
2021-01-28,3.170000,3.170000,2.660000,2.760000,2.760000,1376300
2021-01-29,2.670000,3.030000,2.500000,2.860000,2.860000,801600
2021-02-01,3.190000,3.190000,2.900000,3.120000,3.120000,507200
2021-02-02,3.300000,3.300000,3.170000,3.270000,3.270000,369300
2021-02-03,3.300000,3.370000,3.120000,3.370000,3.370000,599400
2021-02-04,4.450000,4.990000,3.550000,4.760000,4.760000,5788800
2021-02-05,4.990000,4.990000,4.260000,4.700000,4.700000,2412800
2021-02-08,4.950000,4.950000,4.070000,4.310000,4.310000,1598400
2021-02-09,4.050000,4.150000,3.910000,3.940000,3.940000,1000200
2021-02-10,3.810000,3.872000,3.500000,3.670000,3.670000,1205700
2021-02-11,3.800000,3.930000,3.600000,3.630000,3.630000,462700
2021-02-12,3.600000,3.628000,3.330000,3.450000,3.450000,491400
2021-02-16,3.480000,3.500000,3.270000,3.340000,3.340000,595100
2021-02-17,3.280000,3.410000,3.130000,3.290000,3.290000,673900
2021-02-18,3.050000,3.600000,2.950000,3.430000,3.430000,775900
2021-02-19,3.150000,3.320000,3.080000,3.225000,3.225000,366100
2021-02-22,3.200000,3.330000,3.030000,3.110000,3.110000,355100
2021-02-23,2.830000,2.900000,2.410000,2.760000,2.760000,791700
2021-02-24,2.750000,3.090000,2.750000,2.900000,2.900000,267600
2021-02-25,3.020000,3.110000,2.540000,2.600000,2.600000,291300
2021-02-26,2.510000,2.750000,2.510000,2.700000,2.700000,255500
2021-03-01,2.630000,2.980000,2.510000,2.900000,2.900000,292300
2021-03-02,2.880000,2.880000,2.610000,2.770000,2.770000,218000
2021-03-03,2.600000,2.670000,2.460000,2.530000,2.530000,322200
2021-03-04,2.470000,2.470000,2.060000,2.350000,2.350000,309100
2021-03-05,2.130000,2.299000,2.010000,2.140000,2.140000,353400
2021-03-08,2.400000,2.410000,2.070000,2.100000,2.100000,216900
2021-03-09,2.280000,2.350000,2.080000,2.230000,2.230000,124600
2021-03-10,2.500000,2.610000,2.300000,2.360000,2.360000,182300
2021-03-11,2.630000,2.630000,2.410000,2.540000,2.540000,449300
2021-03-12,2.660000,2.660000,2.460000,2.650000,2.650000,139700
2021-03-15,2.650000,2.680000,2.450000,2.450000,2.450000,94900
2021-03-16,2.680000,2.680000,2.280000,2.290000,2.290000,84200
2021-03-17,2.460000,2.470000,2.300000,2.351000,2.351000,74100
2021-03-18,2.470000,2.530000,2.360000,2.370000,2.370000,43500
2021-03-19,2.480000,2.480000,2.250000,2.290000,2.290000,172700
2021-03-22,2.500000,2.500000,2.210000,2.220000,2.220000,125900
2021-03-23,2.160000,2.340000,1.960000,1.960000,1.960000,221700
2021-03-24,2.010000,2.050000,1.740000,1.850000,1.850000,500800
2021-03-25,1.690000,1.850000,1.600000,1.640000,1.640000,283300
2021-03-26,1.750000,1.870000,1.710000,1.770000,1.770000,54500
2021-03-29,1.880000,1.880000,1.750000,1.830000,1.830000,64300
2021-03-30,1.750000,1.780000,1.700000,1.740000,1.740000,118900
2021-03-31,1.750000,1.750000,1.671000,1.680000,1.680000,56900
2021-04-01,1.688000,1.760000,1.680000,1.760000,1.760000,47300
2021-04-05,1.800000,1.870000,1.710000,1.780000,1.780000,57200
2021-04-06,1.900000,1.900000,1.710000,1.790000,1.790000,65700
2021-04-07,1.900000,1.950000,1.730000,1.730000,1.730000,51900
2021-04-08,1.720000,1.810000,1.700000,1.750000,1.750000,89400
2021-04-09,1.690000,1.830000,1.690000,1.830000,1.830000,67400
2021-04-12,1.720000,1.800000,1.700000,1.700000,1.700000,65400
2021-04-13,1.700000,1.730000,1.640000,1.680000,1.680000,80200
2021-04-14,1.660000,1.750000,1.610000,1.680000,1.680000,141600
2021-04-15,1.610000,1.700000,1.490000,1.520000,1.520000,117100
2021-04-16,1.550000,1.550000,1.310000,1.420000,1.420000,177400
2021-04-19,1.360000,1.380000,1.230000,1.270000,1.270000,142400
2021-04-20,1.220000,1.420000,1.220000,1.290000,1.290000,169700
2021-04-21,1.300000,1.350000,1.260000,1.320000,1.320000,41600
2021-04-22,1.380000,1.400000,1.310000,1.355000,1.355000,49000
2021-04-23,1.350000,1.470000,1.340000,1.465000,1.465000,48800
2021-04-26,1.490000,1.580000,1.420000,1.580000,1.580000,82600
2021-04-27,1.710000,1.710000,1.520000,1.650000,1.650000,68800
2021-04-28,1.660000,1.660000,1.540000,1.650000,1.650000,28500
2021-04-29,1.570000,1.626000,1.550000,1.550000,1.550000,23700
2021-04-30,1.550000,1.650000,1.520000,1.600000,1.600000,30000
2021-05-03,1.600000,1.860000,1.550000,1.750000,1.750000,138700
2021-05-04,1.560000,1.700000,1.560000,1.620000,1.620000,31400
2021-05-05,1.680000,1.680000,1.470000,1.470000,1.470000,37600
2021-05-06,1.410000,1.470000,1.400000,1.410000,1.410000,92300
2021-05-07,1.570000,1.580000,1.410000,1.430000,1.430000,26500
2021-05-10,1.500000,1.500000,1.400000,1.400000,1.400000,39000
2021-05-11,1.400000,1.435000,1.200000,1.320000,1.320000,1348100
2021-05-12,1.300000,1.350000,1.210000,1.240000,1.240000,55400
2021-05-13,1.220000,1.300000,1.150000,1.250000,1.250000,144100
2021-05-14,1.300000,1.300000,1.200000,1.300000,1.300000,47100
2021-05-17,1.210000,1.300000,1.160000,1.290000,1.290000,49100
2021-05-18,1.270000,1.440000,1.270000,1.420000,1.420000,34900
2021-05-19,1.320000,1.460000,1.310000,1.400000,1.400000,33200
2021-05-20,1.490000,1.520000,1.400000,1.510000,1.510000,74100
2021-05-21,1.450000,1.580000,1.450000,1.500000,1.500000,67300
2021-05-24,1.520000,1.600000,1.520000,1.560000,1.560000,106900
2021-05-25,1.500000,1.650000,1.500000,1.600000,1.600000,145300
