Date,Open,High,Low,Close,Adj Close,Volume
2008-05-06,10.000000,10.000000,7.940000,8.000000,5.044695,868200
2008-05-07,8.000000,8.000000,7.500000,7.900000,4.981635,2875900
2008-05-08,7.600000,7.900000,7.600000,7.900000,4.981635,9300
2008-05-09,7.800000,7.900000,7.730000,7.740000,4.880742,34800
2008-05-12,7.750000,7.900000,7.730000,7.730000,4.874436,15100
2008-05-13,7.890000,7.890000,7.750000,7.800000,4.918577,3100
2008-05-14,7.730000,7.730000,7.500000,7.500000,4.729403,300
2008-05-15,7.890000,7.890000,7.560000,7.560000,4.767237,3800
2008-05-16,7.560000,7.560000,7.560000,7.560000,4.767237,0
2008-05-19,7.800000,7.800000,7.550000,7.560000,4.767237,4500
2008-05-20,7.560000,7.560000,7.560000,7.560000,4.767237,0
2008-05-21,7.790000,7.800000,7.570000,7.780000,4.905965,4600
2008-05-22,7.560000,7.680000,7.560000,7.600000,4.792459,4900
2008-05-23,7.600000,7.600000,7.600000,7.600000,4.792459,1000
2008-05-27,7.790000,7.800000,7.520000,7.530000,4.748319,87400
2008-05-28,7.510000,7.560000,7.500000,7.560000,4.767237,145500
2008-05-29,7.550000,7.600000,7.500000,7.500000,4.729403,66400
2008-05-30,7.550000,7.570000,7.540000,7.570000,4.773543,900
2008-06-02,7.500000,7.500000,7.490000,7.490000,4.723096,2400
2008-06-03,7.770000,7.770000,7.330000,7.470000,4.710483,5800
2008-06-04,7.510000,7.720000,7.420000,7.500000,4.729403,16200
2008-06-05,7.500000,7.800000,7.500000,7.500000,4.729403,104700
2008-06-06,7.780000,7.780000,7.160000,7.300000,4.603284,34000
2008-06-09,7.450000,7.450000,6.500000,6.790000,4.281684,1702900
2008-06-10,6.840000,8.000000,6.840000,7.540000,4.754624,28200
2008-06-11,7.540000,8.000000,7.090000,7.330000,4.622201,24100
2008-06-12,7.580000,7.740000,7.250000,7.470000,4.710483,22300
2008-06-13,7.320000,7.750000,7.310000,7.640000,4.817684,36700
2008-06-16,7.750000,7.890000,7.300000,7.620000,4.805073,82100
2008-06-17,7.630000,7.960000,7.500000,7.510000,4.735706,38900
2008-06-18,7.620000,7.700000,7.500000,7.500000,4.729403,37700
2008-06-19,7.650000,7.650000,7.400000,7.600000,4.792459,12600
2008-06-20,7.680000,7.690000,7.440000,7.600000,4.792459,65600
2008-06-23,7.850000,7.850000,6.950000,7.180000,4.527614,82700
2008-06-24,7.670000,7.670000,6.950000,7.080000,4.464556,26700
2008-06-25,7.020000,7.090000,6.780000,7.080000,4.464556,32800
2008-06-26,7.250000,7.300000,6.900000,6.920000,4.363662,70400
2008-06-27,6.870000,7.490000,6.500000,6.700000,4.255682,5356000
2008-06-30,6.690000,7.490000,6.060000,6.400000,4.065129,679000
2008-07-01,6.360000,6.520000,6.150000,6.380000,4.052425,303800
2008-07-02,6.360000,6.370000,6.000000,6.100000,3.874576,2423800
2008-07-03,6.100000,6.120000,5.540000,5.550000,3.525228,319500
2008-07-07,5.550000,7.320000,5.140000,5.220000,3.315620,779000
2008-07-08,5.220000,6.100000,5.200000,6.050000,3.842816,282900
2008-07-09,6.050000,6.210000,5.550000,5.620000,3.569691,166600
2008-07-10,5.620000,6.540000,5.480000,5.950000,3.779298,535300
2008-07-11,5.760000,6.200000,5.740000,5.870000,3.728486,81400
2008-07-14,6.010000,6.010000,5.200000,5.220000,3.315620,158600
2008-07-15,5.120000,5.790000,5.090000,5.700000,3.620505,91100
2008-07-16,5.760000,5.830000,5.050000,5.750000,3.652264,85900
2008-07-17,5.750000,6.170000,5.730000,6.150000,3.906335,159000
2008-07-18,6.200000,6.350000,6.000000,6.300000,4.001612,300500
2008-07-21,6.350000,6.370000,6.170000,6.310000,4.007962,47400
2008-07-22,6.390000,6.890000,6.340000,6.750000,4.287438,179200
2008-07-23,6.750000,7.050000,6.590000,6.970000,4.427178,84700
2008-07-24,7.000000,7.210000,6.960000,6.980000,4.433530,50300
2008-07-25,7.090000,8.300000,6.860000,6.950000,4.414476,115300
2008-07-28,6.810000,6.810000,6.300000,6.610000,4.198514,32500
2008-07-29,6.610000,7.250000,6.150000,7.000000,4.446233,61700
2008-07-30,7.090000,7.250000,6.500000,7.050000,4.477993,113400
2008-07-31,6.490000,7.010000,6.340000,6.980000,4.433530,86300
2008-08-01,6.980000,6.980000,6.700000,6.750000,4.287438,39900
2008-08-04,6.580000,6.600000,5.770000,5.900000,3.747540,127400
2008-08-05,6.050000,6.980000,6.040000,6.880000,4.370013,156700
2008-08-06,6.850000,6.930000,6.500000,6.820000,4.331902,43700
2008-08-07,6.700000,6.900000,6.350000,6.580000,4.179460,53900
2008-08-08,6.560000,7.010000,6.300000,6.800000,4.319200,76100
2008-08-11,7.010000,7.140000,6.980000,7.030000,4.465290,104000
2008-08-12,7.020000,7.250000,6.940000,7.010000,4.452586,57700
2008-08-13,6.960000,7.300000,6.700000,7.240000,4.598676,66200
2008-08-14,7.190000,7.480000,7.060000,7.370000,4.681248,68300
2008-08-15,7.760000,7.760000,6.960000,7.060000,4.484345,143400
2008-08-18,6.830000,7.580000,6.200000,6.600000,4.192163,92000
2008-08-19,6.560000,6.900000,6.090000,6.450000,4.096887,42000
2008-08-20,6.500000,6.550000,6.220000,6.280000,3.988907,160300
2008-08-21,6.180000,6.460000,6.080000,6.280000,3.988907,45500
2008-08-22,6.410000,7.040000,6.410000,6.690000,4.249330,46100
2008-08-25,6.650000,6.720000,6.250000,6.330000,4.020665,34300
2008-08-26,6.310000,6.480000,6.220000,6.310000,4.007962,61900
2008-08-27,6.290000,6.500000,6.290000,6.460000,4.103238,73200
2008-08-28,6.350000,6.600000,6.350000,6.550000,4.160405,149400
2008-08-29,6.680000,6.680000,6.410000,6.520000,4.141349,43400
2008-09-02,6.750000,7.200000,6.430000,6.590000,4.185812,76200
2008-09-03,6.640000,6.640000,6.470000,6.470000,4.109591,116600
2008-09-04,6.400000,6.520000,6.330000,6.400000,4.065129,59800
2008-09-05,6.310000,6.310000,6.180000,6.220000,3.950797,107100
2008-09-08,6.680000,6.890000,6.280000,6.600000,4.192163,197600
2008-09-09,6.510000,6.650000,6.240000,6.240000,3.963500,77700
2008-09-10,6.680000,6.810000,6.320000,6.460000,4.103238,93900
2008-09-11,6.270000,6.620000,6.260000,6.480000,4.115943,107000
2008-09-12,6.370000,6.480000,6.140000,6.180000,3.925390,176700
2008-09-15,6.390000,6.390000,5.400000,5.410000,3.436304,637500
