Date,Open,High,Low,Close,Adj Close,Volume
2010-11-08,0.505000,0.505000,0.505000,0.505000,0.505000,1000
2010-11-09,0.505000,0.505000,0.505000,0.505000,0.505000,0
2010-11-10,0.505000,0.505000,0.505000,0.505000,0.505000,0
2010-11-11,0.505000,0.505000,0.505000,0.505000,0.505000,0
2010-11-12,0.505000,0.505000,0.505000,0.505000,0.505000,0
2010-11-15,0.505000,0.505000,0.505000,0.505000,0.505000,0
2010-11-16,0.505000,0.505000,0.505000,0.505000,0.505000,0
2010-11-17,0.505000,0.505000,0.505000,0.505000,0.505000,0
2010-11-18,0.505000,0.505000,0.505000,0.505000,0.505000,0
2010-11-19,0.505000,0.505000,0.505000,0.505000,0.505000,0
2010-11-22,0.505000,0.505000,0.505000,0.505000,0.505000,0
2010-11-23,0.505000,0.505000,0.505000,0.505000,0.505000,0
2010-11-24,0.525000,0.525000,0.525000,0.525000,0.525000,2000
2010-11-26,0.525000,0.525000,0.525000,0.525000,0.525000,0
2010-11-29,0.525000,0.525000,0.525000,0.525000,0.525000,0
2010-11-30,0.525000,0.525000,0.525000,0.525000,0.525000,2000
2010-12-01,0.525000,0.525000,0.525000,0.525000,0.525000,0
2010-12-02,0.525000,0.525000,0.525000,0.525000,0.525000,0
2010-12-03,0.525000,0.525000,0.525000,0.525000,0.525000,0
2010-12-06,0.525000,0.525000,0.525000,0.525000,0.525000,0
2010-12-07,0.525000,0.525000,0.525000,0.525000,0.525000,0
2010-12-08,0.525000,0.525000,0.525000,0.525000,0.525000,0
2010-12-09,1.275000,2.250000,1.275000,2.250000,2.250000,13000
2010-12-10,2.750000,2.750000,2.750000,2.750000,2.750000,1000
2010-12-13,2.050000,3.500000,2.050000,3.250000,3.250000,6400
2010-12-14,3.500000,6.000000,3.400000,5.500000,5.500000,8400
2010-12-15,6.000000,6.000000,6.000000,6.000000,6.000000,3250
2010-12-16,6.100000,6.100000,6.000000,6.000000,6.000000,1000
2010-12-17,5.700000,6.000000,5.700000,6.000000,6.000000,3500
2010-12-20,5.900000,5.900000,5.900000,5.900000,5.900000,2400
2010-12-21,5.720000,5.720000,5.500000,5.500000,5.500000,1600
2010-12-22,5.200000,5.200000,5.000000,5.000000,5.000000,1000
2010-12-23,5.600000,5.600000,5.600000,5.600000,5.600000,1500
2010-12-27,5.500000,5.500000,5.500000,5.500000,5.500000,50
2010-12-28,5.100000,5.700000,5.100000,5.700000,5.700000,1100
2010-12-29,5.700000,5.700000,5.700000,5.700000,5.700000,0
2010-12-30,5.700000,5.700000,5.700000,5.700000,5.700000,0
2010-12-31,5.700000,5.700000,5.700000,5.700000,5.700000,0
2011-01-03,5.300000,5.300000,4.000000,5.300000,5.300000,1250
2011-01-04,5.300000,5.400000,5.040000,5.200000,5.200000,13700
2011-01-05,5.300000,5.300000,5.100000,5.100000,5.100000,1800
2011-01-06,5.300000,5.600000,5.300000,5.600000,5.600000,7100
2011-01-07,5.800000,5.900000,5.600000,5.900000,5.900000,3050
2011-01-10,5.800000,6.100000,5.800000,6.100000,6.100000,3200
2011-01-11,5.900000,5.900000,5.900000,5.900000,5.900000,500
2011-01-12,5.700000,5.900000,5.700000,5.900000,5.900000,1950
2011-01-13,6.600000,6.600000,5.800000,5.800000,5.800000,400
2011-01-14,5.600000,5.900000,5.600000,5.900000,5.900000,1750
2011-01-18,6.000000,6.200000,5.620000,6.000000,6.000000,5900
2011-01-19,6.000000,6.000000,6.000000,6.000000,6.000000,0
2011-01-20,6.000000,6.000000,5.700000,5.700000,5.700000,1150
2011-01-21,5.700000,5.700000,5.700000,5.700000,5.700000,0
2011-01-24,5.900000,5.900000,5.900000,5.900000,5.900000,1250
2011-01-25,5.900000,5.900000,5.900000,5.900000,5.900000,0
2011-01-26,5.900000,5.900000,5.900000,5.900000,5.900000,0
2011-01-27,5.900000,5.900000,5.900000,5.900000,5.900000,0
2011-01-28,5.600000,5.600000,5.600000,5.600000,5.600000,550
2011-01-31,5.600000,5.600000,5.600000,5.600000,5.600000,0
2011-02-01,5.500000,5.500000,5.500000,5.500000,5.500000,300
2011-02-02,5.400000,5.400000,5.000000,5.000000,5.000000,500
2011-02-03,5.000000,5.000000,4.980000,5.000000,5.000000,1250
2011-02-04,5.000000,5.000000,5.000000,5.000000,5.000000,0
2011-02-07,5.000000,5.000000,5.000000,5.000000,5.000000,0
2011-02-08,5.000000,5.000000,5.000000,5.000000,5.000000,0
2011-02-09,5.000000,5.640000,5.000000,5.600000,5.600000,2750
2011-02-10,5.600000,5.600000,5.600000,5.600000,5.600000,0
2011-02-11,5.600000,5.760000,5.600000,5.700000,5.700000,2750
2011-02-14,5.600000,5.600000,5.600000,5.600000,5.600000,750
2011-02-15,5.600000,6.100000,5.600000,6.100000,6.100000,2650
2011-02-16,6.100000,6.100000,6.100000,6.100000,6.100000,350
2011-02-17,6.000000,6.000000,5.700000,5.700000,5.700000,850
2011-02-18,5.800000,5.800000,5.700000,5.700000,5.700000,1500
2011-02-22,5.700000,5.700000,5.700000,5.700000,5.700000,0
2011-02-23,5.900000,5.900000,5.600000,5.620000,5.620000,3050
2011-02-24,5.700000,6.000000,5.700000,6.000000,6.000000,1750
2011-02-25,6.200000,7.100000,6.200000,6.800000,6.800000,9850
2011-02-28,7.100000,7.100000,7.000000,7.100000,7.100000,2250
2011-03-01,7.100000,7.100000,7.000000,7.000000,7.000000,3000
2011-03-02,7.000000,7.000000,7.000000,7.000000,7.000000,0
2011-03-03,7.000000,7.000000,7.000000,7.000000,7.000000,500
2011-03-04,6.900000,6.900000,6.220000,6.800000,6.800000,7100
2011-03-07,6.600000,6.800000,6.600000,6.800000,6.800000,1750
2011-03-08,6.700000,6.700000,6.700000,6.700000,6.700000,150
2011-03-09,6.600000,6.600000,6.600000,6.600000,6.600000,500
2011-03-10,7.000000,7.000000,7.000000,7.000000,7.000000,100
2011-03-11,7.000000,7.000000,7.000000,7.000000,7.000000,0
2011-03-14,6.620000,6.620000,6.620000,6.620000,6.620000,100
2011-03-15,6.620000,6.620000,6.620000,6.620000,6.620000,0
2011-03-16,6.620000,6.620000,6.620000,6.620000,6.620000,0
2011-03-17,6.900000,6.900000,6.660000,6.660000,6.660000,2650
2011-03-18,6.660000,6.660000,6.660000,6.660000,6.660000,0
2011-03-21,6.660000,6.660000,6.660000,6.660000,6.660000,0
2011-03-22,6.660000,6.660000,6.660000,6.660000,6.660000,0
2011-03-23,6.600000,6.600000,6.600000,6.600000,6.600000,800
2011-03-24,6.540000,6.580000,6.300000,6.300000,6.300000,2250
2011-03-25,6.600000,6.600000,6.600000,6.600000,6.600000,100
2011-03-28,6.400000,6.400000,6.400000,6.400000,6.400000,500
2011-03-29,6.500000,7.000000,6.500000,7.000000,7.000000,3350
2011-03-30,7.400000,7.400000,7.400000,7.400000,7.400000,50
2011-03-31,7.400000,7.400000,7.400000,7.400000,7.400000,250
2011-04-01,7.400000,7.500000,6.800000,7.000000,7.000000,7500
2011-04-04,6.980000,6.980000,6.980000,6.980000,6.980000,250
2011-04-05,7.400000,7.400000,7.400000,7.400000,7.400000,250
2011-04-06,6.800000,7.200000,6.000000,7.000000,7.000000,4500
2011-04-07,7.000000,7.000000,7.000000,7.000000,7.000000,500
2011-04-08,7.400000,7.400000,7.400000,7.400000,7.400000,250
2011-04-11,6.600000,6.600000,6.020000,6.020000,6.020000,1500
2011-04-12,6.200000,6.200000,6.200000,6.200000,6.200000,500
2011-04-13,6.760000,6.760000,6.500000,6.500000,6.500000,550
2011-04-14,6.500000,7.000000,6.500000,7.000000,7.000000,4750
2011-04-15,7.400000,7.980000,7.360000,7.360000,7.360000,1650
2011-04-18,7.360000,7.360000,7.360000,7.360000,7.360000,0
2011-04-19,7.360000,7.360000,7.360000,7.360000,7.360000,750
2011-04-20,7.500000,7.500000,7.360000,7.360000,7.360000,550
2011-04-21,7.360000,7.360000,7.360000,7.360000,7.360000,0
2011-04-25,7.360000,7.360000,7.360000,7.360000,7.360000,0
2011-04-26,7.800000,7.800000,7.800000,7.800000,7.800000,500
2011-04-27,7.800000,7.800000,7.800000,7.800000,7.800000,6900
2011-04-28,7.820000,7.820000,7.800000,7.800000,7.800000,5250
2011-04-29,7.960000,8.000000,7.800000,8.000000,8.000000,5500
2011-05-02,8.000000,8.000000,8.000000,8.000000,8.000000,0
2011-05-03,7.700000,7.700000,7.600000,7.600000,7.600000,600
2011-05-04,7.500000,7.500000,7.500000,7.500000,7.500000,250
2011-05-05,7.400000,7.400000,7.400000,7.400000,7.400000,250
2011-05-06,7.400000,7.400000,7.400000,7.400000,7.400000,0
2011-05-09,7.400000,7.400000,7.400000,7.400000,7.400000,0
2011-05-10,7.400000,7.400000,7.400000,7.400000,7.400000,250
2011-05-11,7.060000,7.800000,7.060000,7.140000,7.140000,5300
2011-05-12,7.400000,7.400000,7.400000,7.400000,7.400000,250
2011-05-13,7.300000,7.300000,7.300000,7.300000,7.300000,1000
2011-05-16,7.500000,7.500000,7.100000,7.400000,7.400000,7500
2011-05-17,7.400000,7.700000,7.400000,7.600000,7.600000,1900
2011-05-18,7.300000,7.300000,7.300000,7.300000,7.300000,250
2011-05-19,7.300000,7.300000,7.200000,7.200000,7.200000,950
2011-05-20,7.200000,7.200000,7.200000,7.200000,7.200000,0
2011-05-23,7.700000,7.800000,7.700000,7.800000,7.800000,600
2011-05-24,7.800000,8.000000,7.800000,8.000000,8.000000,1000
2011-05-25,8.000000,8.000000,8.000000,8.000000,8.000000,0
2011-05-26,8.000000,8.000000,8.000000,8.000000,8.000000,400
2011-05-27,8.000000,8.000000,8.000000,8.000000,8.000000,0
2011-05-31,7.800000,8.000000,7.700000,7.900000,7.900000,4200
2011-06-01,7.800000,7.900000,7.800000,7.900000,7.900000,1500
2011-06-02,7.900000,7.900000,7.900000,7.900000,7.900000,0
2011-06-03,7.400000,7.900000,7.000000,7.900000,7.900000,2250
2011-06-06,7.400000,7.400000,7.300000,7.300000,7.300000,1250
2011-06-07,7.200000,8.000000,7.000000,7.000000,7.000000,3050
2011-06-08,7.000000,7.080000,4.000000,6.500000,6.500000,9100
