Date,Open,High,Low,Close,Adj Close,Volume
2004-05-13,11.050000,11.650000,11.000000,11.400000,11.400000,4695400
2004-05-14,11.450000,11.590000,10.290000,11.150000,11.150000,1640100
2004-05-17,10.800000,11.000000,10.300000,10.570000,10.570000,237200
2004-05-18,10.670000,10.930000,10.500000,10.890000,10.890000,89600
2004-05-19,10.910000,10.910000,10.500000,10.500000,10.500000,94300
2004-05-20,10.500000,10.930000,10.400000,10.570000,10.570000,97000
2004-05-21,10.940000,10.940000,10.500000,10.600000,10.600000,146300
2004-05-24,10.500000,10.900000,10.290000,10.600000,10.600000,208300
2004-05-25,10.870000,11.350000,10.650000,11.300000,11.300000,202900
2004-05-26,11.010000,11.570000,11.010000,11.490000,11.490000,52900
2004-05-27,11.550000,11.550000,11.300000,11.300000,11.300000,45600
2004-05-28,11.380000,11.500000,11.250000,11.250000,11.250000,82400
2004-06-01,11.400000,11.500000,11.250000,11.390000,11.390000,95700
2004-06-02,11.350000,11.500000,11.350000,11.480000,11.480000,59100
2004-06-03,11.500000,11.510000,11.250000,11.250000,11.250000,80600
2004-06-04,11.260000,11.480000,11.260000,11.260000,11.260000,74500
2004-06-07,11.500000,11.500000,11.270000,11.300000,11.300000,113700
2004-06-08,11.350000,11.400000,11.090000,11.310000,11.310000,77100
2004-06-09,11.360000,11.500000,11.250000,11.420000,11.420000,20800
2004-06-10,11.500000,11.900000,11.480000,11.630000,11.630000,115900
2004-06-14,11.500000,12.000000,11.000000,11.310000,11.310000,51600
2004-06-15,11.300000,11.500000,11.200000,11.290000,11.290000,48900
2004-06-16,11.450000,11.540000,11.250000,11.350000,11.350000,89300
2004-06-17,11.350000,11.500000,11.200000,11.410000,11.410000,52300
2004-06-18,11.500000,12.150000,11.500000,11.620000,11.620000,85900
2004-06-21,11.880000,11.930000,11.230000,11.250000,11.250000,83200
2004-06-22,11.750000,12.000000,11.400000,11.740000,11.740000,204000
2004-06-23,11.720000,11.950000,11.050000,11.200000,11.200000,67200
2004-06-24,11.230000,11.820000,11.200000,11.610000,11.610000,21200
2004-06-25,11.290000,11.600000,10.640000,11.590000,11.590000,276000
2004-06-28,11.300000,11.470000,10.580000,10.910000,10.910000,156600
2004-06-29,11.150000,11.150000,10.960000,11.070000,11.070000,70600
2004-06-30,10.950000,11.200000,10.910000,10.950000,10.950000,59500
2004-07-01,11.130000,11.150000,10.410000,10.560000,10.560000,74900
2004-07-02,10.700000,10.700000,10.250000,10.250000,10.250000,21100
2004-07-06,10.300000,10.340000,9.490000,9.520000,9.520000,51800
2004-07-07,9.550000,10.620000,9.550000,10.360000,10.360000,58300
2004-07-08,10.250000,10.500000,9.900000,9.900000,9.900000,42500
2004-07-09,9.750000,10.270000,9.510000,10.270000,10.270000,43400
2004-07-12,10.350000,10.600000,9.950000,10.350000,10.350000,26300
2004-07-13,10.150000,10.380000,10.000000,10.370000,10.370000,36500
2004-07-14,10.300000,10.970000,10.200000,10.300000,10.300000,27500
2004-07-15,10.400000,11.050000,10.400000,10.820000,10.820000,31700
2004-07-16,11.150000,11.150000,10.820000,11.080000,11.080000,42700
2004-07-19,11.250000,11.250000,10.860000,11.000000,11.000000,41000
2004-07-20,11.310000,11.310000,10.850000,11.000000,11.000000,97700
2004-07-21,11.100000,11.150000,10.000000,10.030000,10.030000,119800
2004-07-22,10.250000,10.400000,10.110000,10.280000,10.280000,94600
2004-07-23,10.400000,10.500000,10.060000,10.270000,10.270000,10900
2004-07-26,10.060000,10.220000,9.350000,9.930000,9.930000,30000
2004-07-27,9.840000,9.860000,9.700000,9.860000,9.860000,49200
2004-07-28,10.400000,10.400000,9.800000,10.150000,10.150000,37600
2004-07-29,10.100000,10.230000,9.820000,9.970000,9.970000,38700
2004-07-30,10.000000,10.200000,9.640000,10.000000,10.000000,99200
2004-08-02,9.900000,10.180000,9.850000,10.180000,10.180000,34500
2004-08-03,10.140000,10.140000,9.660000,9.990000,9.990000,28800
2004-08-04,9.720000,9.970000,9.670000,9.860000,9.860000,37300
2004-08-05,9.960000,9.970000,9.670000,9.750000,9.750000,159500
2004-08-06,9.750000,9.870000,9.730000,9.750000,9.750000,26900
2004-08-09,9.780000,10.010000,9.730000,10.010000,10.010000,37100
2004-08-10,10.020000,10.030000,9.810000,9.940000,9.940000,136300
2004-08-11,9.750000,9.950000,9.620000,9.700000,9.700000,58700
2004-08-12,9.660000,9.990000,9.580000,9.670000,9.670000,125900
2004-08-13,9.520000,10.380000,9.310000,9.360000,9.360000,70900
2004-08-16,9.500000,9.500000,8.970000,9.000000,9.000000,17300
2004-08-17,9.180000,9.300000,9.000000,9.110000,9.110000,18400
2004-08-18,9.110000,9.820000,9.110000,9.550000,9.550000,15800
2004-08-19,9.370000,9.400000,9.260000,9.320000,9.320000,16300
2004-08-20,9.520000,9.730000,9.150000,9.730000,9.730000,13400
2004-08-23,9.740000,9.750000,9.140000,9.140000,9.140000,11900
2004-08-24,9.250000,9.400000,9.100000,9.150000,9.150000,5500
2004-08-25,9.160000,9.270000,9.050000,9.270000,9.270000,8900
2004-08-26,9.230000,9.510000,9.060000,9.150000,9.150000,26800
2004-08-27,9.140000,9.800000,9.130000,9.620000,9.620000,41100
2004-08-30,9.580000,9.750000,9.550000,9.700000,9.700000,23900
2004-08-31,9.760000,9.830000,9.360000,9.490000,9.490000,5600
2004-09-01,9.630000,10.130000,9.420000,9.630000,9.630000,71000
2004-09-02,9.680000,10.150000,9.440000,10.000000,10.000000,31600
2004-09-03,10.100000,10.100000,9.830000,9.950000,9.950000,4700
2004-09-07,10.000000,10.250000,9.980000,10.230000,10.230000,48900
2004-09-08,10.000000,10.160000,9.930000,10.000000,10.000000,20500
2004-09-09,9.970000,10.290000,9.950000,10.230000,10.230000,9700
2004-09-10,10.190000,10.250000,10.080000,10.090000,10.090000,3400
2004-09-13,10.240000,10.480000,10.140000,10.420000,10.420000,38200
2004-09-14,10.320000,10.360000,10.090000,10.290000,10.290000,21100
2004-09-15,10.290000,10.960000,10.290000,10.780000,10.780000,31600
2004-09-16,10.930000,10.960000,10.700000,10.960000,10.960000,34000
2004-09-17,11.170000,11.170000,10.500000,11.000000,11.000000,54200
2004-09-20,10.720000,11.050000,10.720000,11.050000,11.050000,64300
2004-09-21,11.030000,11.030000,10.900000,11.000000,11.000000,99800
2004-09-22,10.750000,10.750000,9.800000,10.230000,10.230000,40800
2004-09-23,10.130000,10.430000,10.120000,10.300000,10.300000,2800
2004-09-24,10.640000,10.640000,10.050000,10.150000,10.150000,16300
2004-09-27,10.420000,10.420000,9.650000,9.800000,9.800000,22300
2004-09-28,9.450000,9.950000,9.320000,9.860000,9.860000,18500
2004-09-29,9.560000,10.210000,9.560000,9.950000,9.950000,2700
