Date,Open,High,Low,Close,Adj Close,Volume
2021-02-23,4.400000,4.620000,3.780000,4.000000,4.000000,55800
2021-02-24,14.000000,14.980000,5.730000,6.370000,6.370000,34070500
2021-02-25,7.010000,7.450000,5.120000,6.250000,6.250000,1947600
2021-02-26,6.010000,6.140000,5.130000,5.210000,5.210000,602800
2021-03-01,5.260000,5.310000,4.600000,4.910000,4.910000,657700
2021-03-02,4.680000,4.869000,4.320000,4.480000,4.480000,322400
2021-03-03,4.470000,4.480000,3.754000,3.800000,3.800000,294600
2021-03-04,3.921000,3.950000,3.330000,3.510000,3.510000,143700
2021-03-05,3.650000,3.689000,3.310000,3.510000,3.510000,119900
2021-03-08,3.540000,4.110000,3.525000,3.860000,3.860000,149900
2021-03-09,3.910000,4.140000,3.710000,3.820000,3.820000,111300
2021-03-10,3.809000,3.930000,3.675000,3.920000,3.920000,114600
2021-03-11,4.050000,4.220000,3.910000,4.080000,4.080000,110400
2021-03-12,4.030000,4.069000,3.880000,3.920000,3.920000,71600
2021-03-15,3.940000,4.200000,3.910000,4.100000,4.100000,90600
2021-03-16,4.200000,5.240000,4.170000,4.330000,4.330000,552400
2021-03-17,4.091000,4.400000,4.091000,4.290000,4.290000,104800
2021-03-18,4.310000,4.487000,4.170000,4.190000,4.190000,53700
2021-03-19,4.220000,4.400000,4.110000,4.270000,4.270000,71600
2021-03-22,4.340000,4.340000,4.100000,4.280000,4.280000,58500
2021-03-23,4.200000,4.225000,3.850000,3.970000,3.970000,60300
2021-03-24,3.900000,4.040000,3.580000,3.630000,3.630000,86900
2021-03-25,3.600000,3.800000,3.510000,3.750000,3.750000,33400
2021-03-26,3.850000,3.990000,3.630000,3.660000,3.660000,43300
2021-03-29,3.670000,3.850000,3.530000,3.530000,3.530000,39600
2021-03-30,3.530000,3.615000,3.400000,3.500000,3.500000,22800
2021-03-31,3.638000,3.650000,3.440000,3.500000,3.500000,34800
2021-04-01,3.550000,3.750000,3.550000,3.650000,3.650000,50000
2021-04-05,3.680000,3.680000,3.560000,3.610000,3.610000,22300
2021-04-06,3.570000,3.650000,3.530000,3.565000,3.565000,15000
2021-04-07,3.600000,3.650000,3.500000,3.530000,3.530000,14900
2021-04-08,3.550000,3.640000,3.490000,3.610000,3.610000,27400
2021-04-09,2.920000,2.920000,2.700000,2.740000,2.740000,2394500
2021-04-12,2.660000,2.660000,2.210000,2.430000,2.430000,1132300
2021-04-13,2.340000,2.390000,2.200000,2.390000,2.390000,522100
2021-04-14,2.300000,2.440000,2.250000,2.300000,2.300000,270400
2021-04-15,2.350000,2.350000,2.130000,2.150000,2.150000,204500
2021-04-16,2.180000,2.180000,2.000000,2.050000,2.050000,339300
2021-04-19,2.050000,2.150000,1.950000,2.100000,2.100000,297700
2021-04-20,2.130000,2.130000,1.980000,2.030000,2.030000,160100
2021-04-21,2.040000,2.270000,1.980000,2.170000,2.170000,186700
2021-04-22,2.270000,2.530000,2.170000,2.380000,2.380000,576300
2021-04-23,2.360000,2.446000,2.340000,2.374000,2.374000,126400
2021-04-26,2.350000,2.460000,2.280000,2.400000,2.400000,172000
2021-04-27,2.420000,2.420000,2.323000,2.350000,2.350000,72400
2021-04-28,2.350000,2.730000,2.350000,2.660000,2.660000,516300
2021-04-29,2.980000,2.990000,2.450000,2.700000,2.700000,569500
2021-04-30,2.650000,2.750000,2.520000,2.630000,2.630000,213700
2021-05-03,2.590000,3.250000,2.569000,2.880000,2.880000,1315100
2021-05-04,2.830000,2.871000,2.630000,2.730000,2.730000,179800
2021-05-05,2.680000,3.080000,2.510000,2.780000,2.780000,1150400
2021-05-06,2.820000,2.879000,2.400000,2.500000,2.500000,366700
2021-05-07,2.500000,2.690000,2.400000,2.405000,2.405000,245300
2021-05-10,2.420000,2.480000,2.100000,2.130000,2.130000,193500
2021-05-11,2.161000,2.380000,2.060000,2.290000,2.290000,127300
2021-05-12,2.300000,2.330000,2.180000,2.250000,2.250000,107800
2021-05-13,2.250000,2.300000,2.130000,2.140000,2.140000,57200
2021-05-14,2.110000,2.290000,2.110000,2.220000,2.220000,52100
2021-05-17,2.260000,2.260000,2.150000,2.190000,2.190000,39800
2021-05-18,2.194000,2.280000,2.170000,2.280000,2.280000,79500
2021-05-19,2.160000,2.240000,2.140000,2.200000,2.200000,87900
2021-05-20,2.210000,2.230000,2.120000,2.120000,2.120000,93900
2021-05-21,2.200000,2.200000,2.120000,2.130000,2.130000,87100
2021-05-24,2.140000,2.380000,2.122000,2.270000,2.270000,406500
2021-05-25,2.380000,2.380000,2.100000,2.185000,2.185000,128100
2021-05-26,2.160000,2.250000,2.120000,2.200000,2.200000,111700
2021-05-27,2.200000,2.340000,2.170000,2.320000,2.320000,150700
