Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,18.750000,24.975000,18.750000,24.975000,24.975000,1320
2015-07-02,22.875000,22.875000,18.750000,18.750000,18.750000,80
2015-07-06,21.250000,24.975000,21.250000,21.875000,21.875000,480
2015-07-07,21.250000,21.250000,16.250000,16.250000,16.250000,1640
2015-07-08,17.000000,17.000000,14.500000,15.000000,15.000000,560
2015-07-09,15.000000,15.000000,7.750000,15.000000,15.000000,1560
2015-07-10,12.500000,13.125000,12.500000,12.500000,12.500000,240
2015-07-13,12.750000,12.800000,12.750000,12.800000,12.800000,160
2015-07-14,12.750000,12.750000,12.500000,12.500000,12.500000,120
2015-07-15,11.875000,11.875000,9.375000,9.375000,9.375000,1960
2015-07-16,11.500000,13.125000,11.250000,11.250000,11.250000,160
2015-07-17,11.250000,11.250000,10.625000,10.625000,10.625000,480
2015-07-20,10.500000,10.500000,10.500000,10.500000,10.500000,40
2015-07-21,11.250000,12.500000,10.775000,10.775000,10.775000,400
2015-07-22,10.775000,11.850000,10.775000,11.742500,11.742500,200
2015-07-23,11.250000,11.250000,11.250000,11.250000,11.250000,240
2015-07-24,11.250000,12.625000,11.250000,12.625000,12.625000,720
2015-07-27,10.625000,10.625000,10.625000,10.625000,10.625000,320
2015-07-28,10.625000,10.625000,10.625000,10.625000,10.625000,0
2015-07-29,9.525000,10.250000,9.427500,10.000000,10.000000,600
2015-07-30,10.000000,10.000000,10.000000,10.000000,10.000000,40
2015-07-31,9.375000,9.375000,9.375000,9.375000,9.375000,40
2015-08-03,9.375000,9.375000,9.375000,9.375000,9.375000,240
2015-08-04,9.000000,9.035000,8.900000,8.900000,8.900000,200
2015-08-05,8.850000,14.875000,8.725000,12.750000,12.750000,360
2015-08-06,13.125000,13.125000,12.500000,12.500000,12.500000,760
2015-08-07,12.500000,12.500000,12.500000,12.500000,12.500000,0
2015-08-10,10.000000,10.152500,10.000000,10.000000,10.000000,240
2015-08-11,10.000000,11.250000,10.000000,10.000000,10.000000,440
2015-08-12,10.000000,10.000000,9.375000,9.375000,9.375000,4200
2015-08-13,9.375000,9.375000,9.375000,9.375000,9.375000,0
2015-08-14,8.845000,8.845000,8.750000,8.750000,8.750000,200
2015-08-17,9.975000,9.975000,9.975000,9.975000,9.975000,40
2015-08-18,9.975000,9.975000,9.250000,9.250000,9.250000,160
2015-08-19,9.000000,9.000000,8.000000,8.350000,8.350000,1280
2015-08-20,9.000000,9.000000,8.500000,8.500000,8.500000,440
2015-08-21,8.500000,8.500000,8.500000,8.500000,8.500000,0
2015-08-24,8.500000,8.500000,8.500000,8.500000,8.500000,0
2015-08-25,8.500000,8.500000,8.500000,8.500000,8.500000,0
2015-08-26,8.500000,8.500000,8.500000,8.500000,8.500000,0
2015-08-27,7.500000,7.625000,7.125000,7.125000,7.125000,160
2015-08-28,7.125000,7.125000,7.125000,7.125000,7.125000,0
2015-08-31,7.125000,7.125000,7.125000,7.125000,7.125000,0
2015-09-01,7.500000,7.500000,7.500000,7.500000,7.500000,400
2015-09-02,7.500000,7.500000,7.500000,7.500000,7.500000,0
2015-09-03,7.500000,7.500000,7.500000,7.500000,7.500000,80
2015-09-04,7.500000,7.500000,7.500000,7.500000,7.500000,0
2015-09-08,7.500000,7.500000,7.500000,7.500000,7.500000,0
2015-09-09,6.750000,6.750000,6.750000,6.750000,6.750000,400
2015-09-10,6.750000,6.750000,6.750000,6.750000,6.750000,0
2015-09-11,7.375000,7.500000,6.775000,7.500000,7.500000,960
2015-09-14,7.500000,8.250000,7.125000,8.250000,8.250000,2440
2015-09-15,8.250000,8.250000,8.250000,8.250000,8.250000,80
2015-09-16,7.750000,8.250000,7.750000,8.125000,8.125000,720
2015-09-17,7.750000,7.750000,7.250000,7.250000,7.250000,320
2015-09-18,7.250000,7.250000,7.250000,7.250000,7.250000,160
2015-09-21,7.925000,8.125000,7.925000,8.125000,8.125000,160
2015-09-22,8.000000,8.000000,7.500000,7.500000,7.500000,1120
2015-09-23,7.500000,7.500000,7.500000,7.500000,7.500000,120
2015-09-24,7.250000,7.500000,7.250000,7.475000,7.475000,400
2015-09-25,7.500000,8.000000,7.375000,7.975000,7.975000,360
2015-09-28,8.000000,8.000000,7.500000,7.950000,7.950000,720
2015-09-29,7.500000,7.500000,7.250000,7.250000,7.250000,800
2015-09-30,7.700000,7.700000,7.375000,7.375000,7.375000,160
2015-10-01,7.125000,7.500000,7.125000,7.375000,7.375000,1280
2015-10-02,6.875000,6.875000,6.875000,6.875000,6.875000,240
2015-10-05,7.250000,7.250000,6.400000,6.425000,6.425000,400
2015-10-06,6.875000,7.250000,6.400000,6.400000,6.400000,560
2015-10-07,6.400000,6.400000,6.400000,6.400000,6.400000,0
2015-10-08,6.275000,6.275000,6.250000,6.250000,6.250000,280
2015-10-09,6.755000,6.755000,5.900000,5.900000,5.900000,1240
2015-10-12,6.250000,6.275000,6.250000,6.275000,6.275000,80
2015-10-13,5.900000,8.125000,5.900000,8.125000,8.125000,800
2015-10-14,8.125000,8.750000,7.750000,8.750000,8.750000,3000
2015-10-15,8.750000,9.375000,8.750000,9.375000,9.375000,1240
2015-10-16,9.375000,9.375000,9.000000,9.375000,9.375000,920
2015-10-19,9.375000,10.250000,8.750000,9.000000,9.000000,2320
2015-10-20,9.000000,9.000000,9.000000,9.000000,9.000000,0
2015-10-21,8.200000,8.750000,8.200000,8.750000,8.750000,600
2015-10-22,8.750000,8.750000,8.750000,8.750000,8.750000,320
2015-10-23,7.575000,7.875000,7.500000,7.875000,7.875000,1040
2015-10-26,7.750000,7.750000,7.750000,7.750000,7.750000,160
2015-10-27,7.672500,7.672500,7.672500,7.672500,7.672500,200
2015-10-28,7.672500,7.672500,7.672500,7.672500,7.672500,0
2015-10-29,7.500000,8.575000,7.440000,8.075000,8.075000,1960
2015-10-30,8.625000,8.625000,8.625000,8.625000,8.625000,640
2015-11-02,8.000000,8.125000,8.000000,8.125000,8.125000,1200
2015-11-03,7.550000,7.650000,7.475000,7.650000,7.650000,520
2015-11-04,7.650000,7.650000,7.650000,7.650000,7.650000,0
2015-11-05,7.325000,8.600000,6.875000,8.600000,8.600000,240
2015-11-06,8.600000,8.600000,8.600000,8.600000,8.600000,0
2015-11-09,8.600000,8.600000,8.600000,8.600000,8.600000,0
2015-11-10,6.875000,7.500000,6.875000,7.500000,7.500000,560
2015-11-11,8.125000,8.125000,8.125000,8.125000,8.125000,200
2015-11-12,8.125000,8.125000,8.125000,8.125000,8.125000,0
2015-11-13,8.625000,8.625000,8.625000,8.625000,8.625000,120
2015-11-16,8.225000,8.225000,8.125000,8.125000,8.125000,200
2015-11-17,8.125000,8.125000,8.125000,8.125000,8.125000,0
2015-11-18,8.000000,8.000000,8.000000,8.000000,8.000000,120
2015-11-19,8.000000,8.000000,5.525000,5.875000,5.875000,800
2015-11-20,7.750000,7.875000,7.750000,7.875000,7.875000,440
2015-11-23,7.875000,7.875000,7.875000,7.875000,7.875000,0
2015-11-24,8.750000,9.750000,8.465000,9.250000,9.250000,5040
2015-11-25,9.750000,9.750000,8.525000,9.250000,9.250000,880
2015-11-27,9.750000,9.750000,9.750000,9.750000,9.750000,240
2015-11-30,9.875000,9.875000,9.500000,9.500000,9.500000,200
2015-12-01,9.875000,9.875000,9.875000,9.875000,9.875000,760
2015-12-02,9.875000,10.250000,9.875000,10.250000,10.250000,1880
2015-12-03,10.125000,10.250000,9.957500,9.957500,9.957500,2720
2015-12-04,10.250000,10.500000,10.250000,10.375000,10.375000,3040
2015-12-07,10.500000,10.500000,9.850000,9.875000,9.875000,840
2015-12-08,10.000000,10.000000,10.000000,10.000000,10.000000,560
2015-12-09,10.000000,10.000000,9.975000,9.975000,9.975000,280
2015-12-10,10.000000,10.000000,9.950000,9.950000,9.950000,320
2015-12-11,10.000000,10.650000,9.975000,10.475000,10.475000,5120
2015-12-14,10.725000,10.750000,10.250000,10.750000,10.750000,2040
2015-12-15,10.250000,10.500000,7.500000,10.350000,10.350000,2760
2015-12-16,10.000000,10.375000,9.525000,10.375000,10.375000,800
2015-12-17,10.375000,10.625000,10.250000,10.250000,10.250000,1160
2015-12-18,10.375000,10.625000,10.375000,10.625000,10.625000,1080
2015-12-21,10.375000,10.375000,10.225000,10.250000,10.250000,960
2015-12-22,10.250000,10.375000,10.250000,10.375000,10.375000,560
2015-12-23,10.375000,10.500000,10.375000,10.375000,10.375000,2520
2015-12-24,10.375000,10.375000,10.250000,10.250000,10.250000,120
2015-12-28,10.225000,10.225000,10.000000,10.000000,10.000000,240
2015-12-29,9.750000,9.875000,9.750000,9.875000,9.875000,280
2015-12-30,9.500000,10.250000,9.225000,10.250000,10.250000,1440
2015-12-31,10.250000,10.250000,10.250000,10.250000,10.250000,440
2016-01-04,10.250000,10.300000,10.250000,10.300000,10.300000,1200
2016-01-05,10.250000,10.250000,10.125000,10.125000,10.125000,680
2016-01-06,10.000000,10.350000,10.000000,10.350000,10.350000,3080
2016-01-07,10.250000,10.250000,9.000000,9.000000,9.000000,2200
2016-01-08,9.750000,10.000000,9.750000,10.000000,10.000000,1880
2016-01-11,9.975000,9.975000,9.250000,9.500000,9.500000,680
2016-01-12,9.500000,9.500000,9.250000,9.500000,9.500000,1760
2016-01-13,9.250000,9.500000,8.750000,8.875000,8.875000,4840
2016-01-14,8.725000,9.100000,8.700000,8.700000,8.700000,1080
2016-01-15,8.625000,8.625000,8.250000,8.250000,8.250000,200
2016-01-19,8.625000,8.625000,8.375000,8.500000,8.500000,2360
2016-01-20,8.375000,8.375000,7.600000,7.625000,7.625000,1280
2016-01-21,8.300000,9.925000,8.250000,9.925000,9.925000,11640
2016-01-22,9.975000,10.225000,9.875000,10.225000,10.225000,6880
2016-01-25,10.225000,10.675000,10.225000,10.500000,10.500000,4600
2016-01-26,10.500000,12.000000,10.500000,11.500000,11.500000,5400
2016-01-27,11.225000,12.500000,11.000000,12.125000,12.125000,4120
2016-01-28,12.200000,12.225000,10.875000,11.500000,11.500000,3520
2016-01-29,11.025000,11.155000,10.000000,11.155000,11.155000,5320
2016-02-01,9.950000,10.000000,8.025000,9.750000,9.750000,1640
2016-02-02,9.625000,9.625000,9.125000,9.125000,9.125000,160
2016-02-03,9.375000,9.375000,7.750000,7.875000,7.875000,1360
2016-02-04,8.250000,8.250000,7.625000,7.625000,7.625000,560
2016-02-05,7.625000,7.625000,6.875000,6.875000,6.875000,440
2016-02-08,7.475000,7.500000,7.475000,7.500000,7.500000,600
2016-02-09,7.500000,8.000000,7.500000,8.000000,8.000000,2360
2016-02-10,8.000000,8.000000,7.750000,7.750000,7.750000,160
2016-02-11,7.150000,7.500000,7.150000,7.415000,7.415000,680
2016-02-12,7.125000,7.125000,5.125000,6.500000,6.500000,1880
2016-02-16,6.500000,6.500000,6.500000,6.500000,6.500000,80
2016-02-17,6.500000,6.750000,6.475000,6.750000,6.750000,1720
2016-02-18,6.750000,6.750000,6.750000,6.750000,6.750000,520
