Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,5.970000,6.000000,4.570000,4.880000,4.880000,1413900
2018-02-02,4.910000,4.990000,4.510000,4.700000,4.700000,153600
2018-02-05,4.700000,4.740000,4.450000,4.600000,4.600000,156100
2018-02-06,4.690000,4.939000,4.610000,4.900000,4.900000,80000
2018-02-07,5.100000,5.149000,4.650000,4.650000,4.650000,38800
2018-02-08,4.960000,5.060000,4.650000,5.060000,5.060000,216000
2018-02-09,5.100000,5.100000,4.800000,4.910000,4.910000,194400
2018-02-12,4.950000,4.950000,4.619000,4.630000,4.630000,25900
2018-02-13,4.915000,4.915000,4.601000,4.704000,4.704000,5800
2018-02-14,4.830000,4.950000,4.700000,4.775000,4.775000,16600
2018-02-15,4.610000,4.920000,4.610000,4.760000,4.760000,17800
2018-02-16,4.940000,5.050000,4.805000,5.000000,5.000000,108700
2018-02-20,5.100000,5.100000,4.650000,4.700000,4.700000,36500
2018-02-21,4.900000,4.915000,4.725000,4.890000,4.890000,23800
2018-02-22,4.810000,4.990000,4.500000,4.755000,4.755000,34900
2018-02-23,4.728000,4.920000,4.711000,4.910000,4.910000,19100
2018-02-26,4.910000,5.070000,4.910000,4.930000,4.930000,25600
2018-02-27,5.020000,5.020000,4.900000,4.910000,4.910000,16000
2018-02-28,5.020000,5.020000,4.769000,4.784000,4.784000,20100
2018-03-01,4.910000,4.910000,4.757000,4.790000,4.790000,11200
2018-03-02,4.880000,4.900000,4.820000,4.900000,4.900000,5700
2018-03-05,4.900000,4.950000,4.800000,4.800000,4.800000,6600
2018-03-06,4.760000,4.920000,4.760000,4.800000,4.800000,22700
2018-03-07,4.860000,5.450000,4.860000,5.150000,5.150000,114200
2018-03-08,5.160000,5.900000,5.150000,5.750000,5.750000,134600
2018-03-09,5.790000,6.250000,5.744000,6.100000,6.100000,104400
2018-03-12,5.980000,6.100000,5.721000,5.780000,5.780000,46200
2018-03-13,5.670000,6.100000,5.660000,5.750000,5.750000,44400
2018-03-14,5.750000,5.770000,5.250000,5.400000,5.400000,51300
2018-03-15,5.250000,5.380000,5.180000,5.210000,5.210000,37900
2018-03-16,5.266000,5.290000,5.080000,5.110000,5.110000,100800
2018-03-19,5.299000,5.299000,5.000000,5.050000,5.050000,17900
2018-03-20,5.050000,5.250000,5.050000,5.065000,5.065000,5900
2018-03-21,5.139000,5.375000,5.110000,5.210000,5.210000,41500
2018-03-22,5.300000,5.300000,5.000000,5.150000,5.150000,60700
2018-03-23,5.050000,5.100000,4.970000,5.000000,5.000000,75400
2018-03-26,5.060000,5.200000,4.820000,5.070000,5.070000,65700
2018-03-27,4.960000,5.100000,4.870000,4.870000,4.870000,31200
2018-03-28,4.900000,4.900000,4.510000,4.690000,4.690000,47000
2018-03-29,4.700000,4.947000,4.400000,4.400000,4.400000,23600
2018-04-02,4.390000,4.390000,4.160000,4.170000,4.170000,48900
2018-04-03,4.210000,4.330000,4.160000,4.190000,4.190000,45100
2018-04-04,4.190000,4.350000,4.190000,4.350000,4.350000,6000
2018-04-05,4.320000,4.320000,4.140000,4.210000,4.210000,6500
2018-04-06,4.100000,4.290000,4.100000,4.280000,4.280000,14200
2018-04-09,4.350000,4.350000,4.100000,4.250000,4.250000,25500
2018-04-10,4.260000,4.430000,4.250000,4.365000,4.365000,17500
2018-04-11,4.310000,4.757000,4.170000,4.170000,4.170000,22800
2018-04-12,4.230000,4.570000,4.120000,4.430000,4.430000,19300
2018-04-13,4.450000,4.600000,4.250000,4.510000,4.510000,37000
2018-04-16,4.410000,4.619000,4.320000,4.600000,4.600000,7100
2018-04-17,4.650000,4.670000,4.320000,4.490000,4.490000,19400
2018-04-18,4.610000,4.840000,4.430000,4.650000,4.650000,16400
2018-04-19,4.640000,4.860000,4.500000,4.860000,4.860000,11400
2018-04-20,4.820000,4.940000,4.515000,4.940000,4.940000,25100
2018-04-23,4.950000,4.950000,4.554000,4.810000,4.810000,21500
2018-04-24,4.840000,4.840000,4.590000,4.690000,4.690000,16200
2018-04-25,4.600000,4.695000,4.460000,4.510000,4.510000,26600
2018-04-26,4.450000,4.540000,4.350000,4.350000,4.350000,4500
2018-04-27,4.340000,4.600000,4.200000,4.360000,4.360000,30100
2018-04-30,4.300000,4.470000,4.300000,4.470000,4.470000,6500
2018-05-01,4.480000,4.700000,4.480000,4.550000,4.550000,900
2018-05-02,4.557000,4.708000,4.300000,4.580000,4.580000,13100
2018-05-03,4.490000,4.680000,4.360000,4.500000,4.500000,25500
2018-05-04,4.408000,4.600000,4.329000,4.500000,4.500000,13200
2018-05-07,4.570000,4.750000,4.339000,4.500000,4.500000,25000
2018-05-08,4.450000,4.750000,4.380000,4.750000,4.750000,21700
2018-05-09,4.750000,4.750000,4.490000,4.520000,4.520000,18300
2018-05-10,4.550000,4.750000,4.521000,4.530000,4.530000,6500
2018-05-11,4.530000,4.530000,4.500000,4.500000,4.500000,300
2018-05-14,4.600000,4.610000,4.535000,4.535000,4.535000,2100
2018-05-15,4.560000,4.684000,4.520000,4.580000,4.580000,2600
2018-05-16,4.561000,4.630000,4.560000,4.570000,4.570000,1200
2018-05-17,4.650000,4.650000,4.540000,4.640000,4.640000,3200
2018-05-18,4.557000,4.640000,4.520000,4.560000,4.560000,7000
2018-05-21,4.470000,4.600000,4.470000,4.590000,4.590000,9000
2018-05-22,4.500000,4.509000,4.470000,4.490000,4.490000,3800
2018-05-23,4.480000,4.500000,4.280000,4.500000,4.500000,5300
2018-05-24,4.500000,4.650000,4.320000,4.600000,4.600000,11700
2018-05-25,4.600000,4.700000,4.400000,4.600000,4.600000,6600
2018-05-29,4.600000,4.607000,4.400000,4.400000,4.400000,3700
2018-05-30,4.430000,4.601000,4.180000,4.580000,4.580000,10700
2018-05-31,4.560000,4.590000,4.482000,4.590000,4.590000,1000
2018-06-01,4.400000,4.600000,4.400000,4.600000,4.600000,7000
2018-06-04,4.610000,4.653000,4.442000,4.600000,4.600000,7200
2018-06-05,4.562000,4.600000,4.562000,4.600000,4.600000,4000
2018-06-06,4.463000,4.740000,4.463000,4.690000,4.690000,3800
2018-06-07,4.660000,4.660000,4.450000,4.450000,4.450000,1100
2018-06-08,4.450000,4.520000,4.313000,4.520000,4.520000,5300
2018-06-11,4.470000,4.740000,4.470000,4.510000,4.510000,6200
2018-06-12,4.510000,4.580000,4.400000,4.550000,4.550000,7000
2018-06-13,4.600000,4.690000,4.420000,4.497000,4.497000,4300
2018-06-14,4.510000,4.717000,4.430000,4.430000,4.430000,7700
2018-06-15,4.450000,5.031000,4.450000,4.820000,4.820000,58100
2018-06-18,4.890000,4.990000,4.834000,4.990000,4.990000,11700
2018-06-19,4.930000,5.000000,4.650000,4.700000,4.700000,11500
2018-06-20,4.800000,4.800000,4.500000,4.500000,4.500000,1300
2018-06-21,4.650000,4.650000,4.401000,4.430000,4.430000,5100
2018-06-22,4.400000,4.450000,4.302000,4.440000,4.440000,11100
2018-06-25,4.430000,4.430000,4.300000,4.390000,4.390000,12400
2018-06-26,4.300000,4.400000,4.300000,4.380000,4.380000,12700
2018-06-27,4.400000,4.456000,4.300000,4.400000,4.400000,4700
2018-06-28,4.300000,4.450000,4.300000,4.450000,4.450000,8500
2018-06-29,4.400000,4.490000,4.100000,4.180000,4.180000,18400
2018-07-02,4.150000,4.240000,4.089000,4.089000,4.089000,15200
2018-07-03,4.080000,4.150000,4.080000,4.150000,4.150000,600
2018-07-05,4.210000,4.210000,4.114000,4.170000,4.170000,1500
2018-07-06,4.180000,4.307000,4.100000,4.170000,4.170000,3100
2018-07-09,4.160000,4.501000,4.160000,4.470000,4.470000,20500
2018-07-10,4.277000,4.630000,4.277000,4.620000,4.620000,26100
2018-07-11,4.620000,4.700000,4.330000,4.700000,4.700000,5800
2018-07-12,4.700000,4.700000,4.400000,4.610000,4.610000,6700
2018-07-13,4.450000,4.740000,4.400000,4.740000,4.740000,4600
2018-07-16,4.750000,4.750000,4.452000,4.590000,4.590000,7500
2018-07-17,4.460000,4.630000,4.460000,4.610000,4.610000,3500
2018-07-18,4.550000,4.566000,4.510000,4.510000,4.510000,1000
2018-07-19,4.486000,4.565000,4.390000,4.390000,4.390000,1000
2018-07-20,4.420000,4.650000,4.350000,4.460000,4.460000,17500
2018-07-23,4.350000,4.640000,4.300000,4.410000,4.410000,5000
2018-07-24,4.350000,4.450000,4.150000,4.270000,4.270000,7800
2018-07-25,4.150000,4.500000,4.060000,4.460000,4.460000,11500
2018-07-26,4.370000,4.370000,4.170000,4.300000,4.300000,3400
2018-07-27,4.150000,4.300000,4.050000,4.290000,4.290000,12000
2018-07-30,4.190000,4.200000,4.180000,4.200000,4.200000,2600
2018-07-31,3.960000,4.220000,3.170000,4.150000,4.150000,5000
2018-08-01,4.277000,4.277000,4.130000,4.130000,4.130000,1400
2018-08-02,4.167000,4.180000,4.000000,4.180000,4.180000,10100
2018-08-03,3.730000,4.170000,3.350000,4.170000,4.170000,3000
2018-08-06,4.026000,4.200000,3.880000,4.200000,4.200000,10900
2018-08-07,3.810000,4.210000,3.810000,4.100000,4.100000,6000
2018-08-08,4.180000,4.180000,4.080000,4.080000,4.080000,1000
2018-08-09,3.950000,4.130000,3.950000,4.080000,4.080000,2100
2018-08-10,4.030000,4.130000,3.908000,4.130000,4.130000,1900
2018-08-13,4.090000,4.160000,3.772000,4.100000,4.100000,22100
2018-08-14,3.962000,4.100000,3.962000,4.100000,4.100000,2300
2018-08-15,3.980000,4.090000,3.980000,4.090000,4.090000,6200
2018-08-16,4.070000,4.090000,3.690000,3.690000,3.690000,34500
2018-08-17,3.730000,4.000000,3.679000,3.900000,3.900000,3500
2018-08-20,3.800000,3.800000,3.740000,3.800000,3.800000,1900
2018-08-21,3.760000,4.000000,3.750000,4.000000,4.000000,18900
2018-08-22,4.000000,4.000000,3.880000,3.900000,3.900000,2600
2018-08-23,3.650000,3.990000,3.650000,3.800000,3.800000,9600
2018-08-24,3.800000,3.960000,3.700000,3.800000,3.800000,31400
2018-08-27,3.810000,3.990000,3.780000,3.780000,3.780000,6700
2018-08-28,3.810000,4.120000,3.720000,4.120000,4.120000,24100
2018-08-29,3.800000,3.950000,3.530000,3.645000,3.645000,31700
2018-08-30,3.560000,3.670000,3.200000,3.500000,3.500000,41800
2018-08-31,3.480000,3.700000,3.360000,3.630000,3.630000,2400
2018-09-04,3.660000,3.660000,3.380000,3.500000,3.500000,3900
2018-09-05,3.530000,3.740000,3.480000,3.740000,3.740000,3000
2018-09-06,3.750000,3.800000,3.400000,3.620000,3.620000,29700
2018-09-07,3.520000,3.750000,3.460000,3.620000,3.620000,3800
2018-09-10,3.620000,3.770000,3.490000,3.640000,3.640000,32000
2018-09-11,3.710000,3.710000,3.300000,3.480000,3.480000,65100
2018-09-12,3.440000,3.870000,3.440000,3.570000,3.570000,27900
2018-09-13,3.640000,3.910000,3.515000,3.800000,3.800000,21200
2018-09-14,3.820000,3.850000,3.511000,3.540000,3.540000,16600
2018-09-17,3.570000,3.920000,3.570000,3.920000,3.920000,18900
2018-09-18,3.920000,3.920000,3.600000,3.800000,3.800000,25500
2018-09-19,3.800000,3.970000,3.700000,3.700000,3.700000,29000
2018-09-20,3.750000,4.350000,3.750000,4.240000,4.240000,112400
2018-09-21,4.200000,4.240000,3.900000,4.080000,4.080000,118800
2018-09-24,4.110000,4.190000,3.850000,3.880000,3.880000,15400
2018-09-25,3.880000,4.300000,3.880000,3.880000,3.880000,24200
2018-09-26,3.840000,4.010000,3.650000,3.670000,3.670000,8900
2018-09-27,3.650000,3.982000,3.620000,3.670000,3.670000,21400
2018-09-28,3.650000,3.990000,3.650000,3.720000,3.720000,14000
2018-10-01,3.700000,3.810000,3.540000,3.640000,3.640000,1800
2018-10-02,3.690000,3.801000,3.500000,3.665000,3.665000,25300
2018-10-03,3.770000,3.990000,3.723000,3.800000,3.800000,56700
2018-10-04,3.788000,3.820000,3.620000,3.760000,3.760000,5900
2018-10-05,3.730000,3.810000,3.570000,3.570000,3.570000,9500
2018-10-08,3.590000,3.740000,3.568000,3.740000,3.740000,3100
2018-10-09,3.720000,3.730000,3.600000,3.610000,3.610000,5200
2018-10-10,3.610000,3.640000,3.500000,3.510000,3.510000,12800
2018-10-11,3.500000,3.620000,3.500000,3.540000,3.540000,3900
2018-10-12,3.620000,3.620000,3.530000,3.530000,3.530000,1300
2018-10-15,3.590000,3.590000,3.500000,3.540000,3.540000,21100
2018-10-16,3.500000,3.590000,3.500000,3.540000,3.540000,7600
2018-10-17,3.580000,3.580000,3.500000,3.570000,3.570000,7400
2018-10-18,3.570000,3.590000,3.570000,3.590000,3.590000,500
2018-10-19,3.570000,3.570000,3.400000,3.480000,3.480000,9400
2018-10-22,3.476000,3.525000,3.160000,3.310000,3.310000,12600
2018-10-23,3.150000,3.310000,3.080000,3.130000,3.130000,22800
2018-10-24,3.050000,3.150000,2.830000,3.100000,3.100000,19900
2018-10-25,3.100000,3.150000,2.900000,2.900000,2.900000,3100
2018-10-26,2.880000,3.150000,2.250000,2.421000,2.421000,68600
2018-10-29,2.440000,2.460000,2.250000,2.380000,2.380000,17100
2018-10-30,2.271000,2.470000,2.271000,2.400000,2.400000,22800
2018-10-31,2.400000,2.470000,2.280000,2.470000,2.470000,3700
2018-11-01,2.400000,2.430000,2.280000,2.300000,2.300000,5800
2018-11-02,2.330000,2.400000,2.330000,2.340000,2.340000,2300
2018-11-05,2.360000,2.380000,2.250000,2.350000,2.350000,16900
2018-11-06,2.367000,2.620000,2.310000,2.450000,2.450000,48800
2018-11-07,2.490000,2.904000,2.452000,2.900000,2.900000,60100
2018-11-08,2.895000,2.910000,2.725000,2.900000,2.900000,7300
2018-11-09,3.080000,3.250000,2.810000,3.010000,3.010000,39300
2018-11-12,3.010000,3.080000,2.630000,3.005000,3.005000,26600
2018-11-13,3.010000,3.085000,3.000000,3.080000,3.080000,50400
2018-11-14,3.100000,3.100000,2.710000,2.710000,2.710000,96400
2018-11-15,2.880000,2.900000,2.740000,2.740000,2.740000,12000
2018-11-16,2.770000,2.990000,2.580000,2.650000,2.650000,7100
2018-11-19,2.620000,2.970000,2.500000,2.850000,2.850000,18500
2018-11-20,2.800000,2.900000,2.620000,2.725000,2.725000,4600
2018-11-21,2.670000,2.710000,2.500000,2.710000,2.710000,12800
2018-11-23,2.670000,2.830000,2.670000,2.830000,2.830000,17700
2018-11-26,2.800000,2.830000,2.660000,2.810000,2.810000,4000
2018-11-27,2.820000,2.830000,2.770000,2.810000,2.810000,3000
2018-11-28,2.790000,2.830000,2.660000,2.660000,2.660000,10500
2018-11-29,2.690000,2.800000,2.629000,2.800000,2.800000,2800
2018-11-30,2.770000,2.830000,2.700000,2.700000,2.700000,3600
2018-12-03,2.720000,2.900000,2.690000,2.900000,2.900000,31700
2018-12-04,2.870000,2.870000,2.800000,2.840000,2.840000,500
2018-12-06,2.780000,2.900000,2.775000,2.800000,2.800000,66000
2018-12-07,2.880000,2.880000,2.800000,2.800000,2.800000,28000
2018-12-10,2.830000,2.870000,2.830000,2.860000,2.860000,33800
2018-12-11,2.860000,2.860000,2.650000,2.860000,2.860000,6600
2018-12-12,2.850000,2.850000,2.500000,2.650000,2.650000,58600
2018-12-13,2.650000,2.650000,2.325000,2.540000,2.540000,22500
2018-12-14,2.510000,2.515000,2.030000,2.110000,2.110000,49000
2018-12-17,2.090000,2.275000,1.840000,1.970000,1.970000,29400
2018-12-18,1.990000,2.210000,1.811000,2.130000,2.130000,11800
2018-12-19,2.120000,2.180000,2.090000,2.170000,2.170000,33700
2018-12-20,2.150000,2.180000,2.100000,2.130000,2.130000,19500
2018-12-21,2.120000,2.180000,2.050000,2.180000,2.180000,9200
2018-12-24,2.130000,2.150000,2.100000,2.100000,2.100000,7600
2018-12-26,2.100000,2.140000,2.100000,2.100000,2.100000,14600
2018-12-27,2.100000,2.170000,2.100000,2.100000,2.100000,20400
2018-12-28,2.100000,2.125000,1.910000,2.070000,2.070000,32700
2018-12-31,2.070000,2.090000,1.910000,1.940000,1.940000,21400
2019-01-02,1.930000,2.070000,1.870000,2.070000,2.070000,17700
2019-01-03,2.040000,2.180000,2.010000,2.090000,2.090000,76900
2019-01-04,2.100000,2.250000,2.100000,2.250000,2.250000,16000
2019-01-07,2.150000,2.250000,2.080000,2.230000,2.230000,38800
2019-01-08,2.230000,2.250000,2.150000,2.150000,2.150000,2100
2019-01-09,2.190000,2.250000,2.138000,2.250000,2.250000,7700
2019-01-10,2.240000,2.380000,2.160000,2.230000,2.230000,22900
2019-01-11,2.240000,2.350000,2.170000,2.330000,2.330000,26100
2019-01-14,2.400000,2.430000,2.190000,2.390000,2.390000,15800
2019-01-15,2.450000,2.700000,2.390000,2.500000,2.500000,23100
2019-01-16,2.440000,2.485000,2.280000,2.290000,2.290000,25300
