Date,Open,High,Low,Close,Adj Close,Volume
2011-02-03,7.000000,7.250000,6.950000,7.020000,7.020000,1710500
2011-02-04,7.070000,7.070000,7.000000,7.030000,7.030000,141000
2011-02-07,7.000000,7.050000,7.000000,7.040000,7.040000,287800
2011-02-08,7.000000,7.000000,6.570000,6.720000,6.720000,14400
2011-02-09,6.720000,6.790000,6.180000,6.230000,6.230000,13700
2011-02-10,6.680000,6.770000,6.250000,6.650000,6.650000,8200
2011-02-11,7.000000,7.010000,6.760000,6.920000,6.920000,24300
2011-02-14,6.980000,7.000000,6.870000,7.000000,7.000000,12200
2011-02-15,7.000000,7.040000,6.900000,6.910000,6.910000,11900
2011-02-16,7.030000,7.030000,6.160000,6.580000,6.580000,28500
2011-02-17,6.500000,6.990000,6.500000,6.940000,6.940000,13100
2011-02-18,6.930000,7.000000,6.410000,6.450000,6.450000,54200
2011-02-22,6.510000,6.960000,6.510000,6.930000,6.930000,26600
2011-02-23,6.710000,6.960000,6.660000,6.910000,6.910000,16800
2011-02-24,6.730000,6.960000,6.730000,6.890000,6.890000,7800
2011-02-25,6.900000,7.150000,6.890000,7.100000,7.100000,21600
2011-02-28,7.150000,7.150000,6.840000,6.900000,6.900000,9100
2011-03-01,7.090000,7.090000,6.870000,6.930000,6.930000,1100
2011-03-02,7.000000,7.050000,6.710000,6.940000,6.940000,15600
2011-03-03,7.020000,7.050000,6.860000,7.050000,7.050000,9900
2011-03-04,7.050000,7.070000,6.840000,6.930000,6.930000,3600
2011-03-07,6.800000,7.090000,6.800000,6.910000,6.910000,7100
2011-03-08,6.910000,7.030000,6.790000,6.900000,6.900000,9400
2011-03-09,6.910000,7.100000,6.790000,6.810000,6.810000,10500
2011-03-10,6.900000,6.910000,6.800000,6.800000,6.800000,1700
2011-03-11,6.900000,6.900000,6.830000,6.880000,6.880000,1000
2011-03-14,7.080000,7.090000,6.830000,6.870000,6.870000,10500
2011-03-15,6.940000,6.950000,6.750000,6.840000,6.840000,9800
2011-03-16,6.930000,7.050000,6.700000,6.850000,6.850000,39200
2011-03-17,7.030000,7.100000,6.960000,7.050000,7.050000,17500
2011-03-18,7.550000,7.600000,7.000000,7.000000,7.000000,37400
2011-03-21,7.120000,7.200000,7.000000,7.000000,7.000000,9300
2011-03-22,7.290000,7.300000,6.990000,7.010000,7.010000,13000
2011-03-23,7.120000,7.120000,6.960000,7.050000,7.050000,19400
2011-03-24,7.100000,7.150000,7.000000,7.070000,7.070000,9400
2011-03-25,7.070000,7.140000,6.960000,7.050000,7.050000,7900
2011-03-28,7.050000,7.120000,7.000000,7.040000,7.040000,15200
2011-03-29,7.100000,7.150000,7.010000,7.020000,7.020000,11400
2011-03-30,7.030000,7.370000,7.000000,7.190000,7.190000,92400
2011-03-31,7.490000,7.590000,7.050000,7.100000,7.100000,71400
2011-04-01,7.180000,7.400000,7.030000,7.030000,7.030000,35100
2011-04-04,7.020000,7.200000,7.020000,7.120000,7.120000,10800
2011-04-05,7.110000,7.210000,7.040000,7.040000,7.040000,46800
2011-04-06,7.120000,7.160000,7.060000,7.160000,7.160000,31100
2011-04-07,7.400000,7.400000,7.070000,7.070000,7.070000,31700
2011-04-08,7.120000,7.140000,6.970000,7.050000,7.050000,39700
