Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,6.050000,6.300000,5.867000,6.000000,6.000000,1200
2019-01-03,6.000000,6.000000,5.850000,5.990000,5.990000,13400
2019-01-04,6.000000,6.150000,5.740000,5.750000,5.750000,14200
2019-01-07,5.940000,6.000000,5.450000,6.000000,6.000000,6300
2019-01-08,5.950000,5.990000,5.896000,5.990000,5.990000,3400
2019-01-09,5.860000,6.000000,5.800000,5.950000,5.950000,5100
2019-01-10,5.940000,5.950000,5.700000,5.720000,5.720000,11700
2019-01-11,5.710000,5.840000,5.490000,5.772000,5.772000,29600
2019-01-14,5.838000,5.838000,5.530000,5.701000,5.701000,6200
2019-01-15,5.640000,5.640000,5.478000,5.551000,5.551000,7500
2019-01-16,5.830000,5.830000,5.510000,5.750000,5.750000,3000
2019-01-17,5.750000,6.000000,5.700000,5.877000,5.877000,13400
2019-01-18,5.840000,5.840000,5.601000,5.700000,5.700000,2200
2019-01-22,5.700000,5.700000,5.510000,5.510000,5.510000,11100
2019-01-23,5.590000,5.600000,4.779000,5.540000,5.540000,7400
2019-01-24,5.540000,5.540000,5.001000,5.354000,5.354000,11000
2019-01-25,5.250000,5.520000,4.500000,5.180000,5.180000,21700
2019-01-28,5.180000,5.270000,5.010000,5.240000,5.240000,5600
2019-01-29,5.190000,5.540000,5.000000,5.100000,5.100000,9000
2019-01-30,5.550000,5.550000,4.700000,4.829000,4.829000,17700
2019-01-31,5.485000,5.485000,4.763000,5.100000,5.100000,5100
2019-02-01,5.120000,5.120000,4.440000,5.000000,5.000000,5600
2019-02-04,5.095000,5.290000,4.754000,5.230000,5.230000,10700
2019-02-05,5.247000,5.247000,5.247000,5.247000,5.247000,200
2019-02-06,5.250000,5.250000,5.150000,5.220000,5.220000,600
2019-02-07,5.100000,5.260000,4.914000,5.220000,5.220000,11100
2019-02-08,5.220000,5.220000,5.033000,5.220000,5.220000,300
2019-02-11,5.250000,5.250000,4.330000,4.640000,4.640000,9200
2019-02-12,4.840000,4.880000,4.370000,4.710000,4.710000,7200
2019-02-13,4.890000,4.890000,4.890000,4.890000,4.890000,200
2019-02-14,4.890000,4.890000,3.100000,3.440000,3.440000,101500
2019-02-15,3.550000,4.540000,3.510000,4.500000,4.500000,63400
2019-02-19,4.501000,4.545000,3.695000,3.710000,3.710000,20200
2019-02-20,4.330000,4.330000,3.698000,3.700000,3.700000,3400
2019-02-21,3.680000,4.040000,3.555000,3.605000,3.605000,1500
2019-02-22,3.430000,3.770000,3.430000,3.621000,3.621000,3300
2019-02-25,3.770000,4.080000,3.770000,3.980000,3.980000,16500
2019-02-26,4.000000,4.839000,4.000000,4.150000,4.150000,35600
2019-02-27,4.140000,4.479000,3.810000,4.100000,4.100000,6100
2019-02-28,4.130000,4.160000,3.900000,4.100000,4.100000,1100
2019-03-01,4.291000,4.350000,3.950000,4.040000,4.040000,18500
2019-03-04,3.830000,4.000000,3.700000,3.980000,3.980000,2800
2019-03-05,3.970000,4.090000,3.930000,4.090000,4.090000,29200
2019-03-06,4.100000,4.100000,3.930000,4.049000,4.049000,4300
2019-03-07,4.080000,4.080000,3.750000,4.020000,4.020000,1500
