Date,Open,High,Low,Close,Adj Close,Volume
1987-03-10,0.000000,3.416667,3.000000,3.083333,3.083333,943800
1987-03-11,0.000000,3.166667,2.833333,3.083333,3.083333,699000
1987-03-12,0.000000,3.166667,3.000000,3.000000,3.000000,331500
1987-03-13,0.000000,3.166667,2.833333,3.083333,3.083333,203100
1987-03-16,0.000000,3.083333,2.916667,3.000000,3.000000,21000
1987-03-17,0.000000,3.000000,2.833333,2.916667,2.916667,215400
1987-03-18,0.000000,3.125000,2.916667,2.916667,2.916667,85200
1987-03-19,0.000000,3.000000,2.750000,2.833333,2.833333,78300
1987-03-20,0.000000,2.916667,2.791667,2.916667,2.916667,177000
1987-03-23,0.000000,2.916667,2.833333,2.833333,2.833333,46200
1987-03-24,0.000000,2.916667,2.666667,2.750000,2.750000,291300
1987-03-25,0.000000,2.750000,2.666667,2.750000,2.750000,51600
1987-03-26,0.000000,2.833333,2.625000,2.750000,2.750000,117900
1987-03-27,0.000000,3.000000,2.708333,2.875000,2.875000,200700
1987-03-30,0.000000,2.833333,2.666667,2.791667,2.791667,33900
1987-03-31,0.000000,2.791667,2.666667,2.791667,2.791667,30900
1987-04-01,0.000000,2.708333,2.666667,2.666667,2.666667,9600
1987-04-02,0.000000,2.750000,2.666667,2.666667,2.666667,8100
1987-04-03,0.000000,2.833333,2.666667,2.833333,2.833333,102900
1987-04-06,0.000000,2.833333,2.750000,2.833333,2.833333,53100
1987-04-07,0.000000,2.833333,2.750000,2.750000,2.750000,14700
1987-04-08,0.000000,2.791667,2.791667,2.791667,2.791667,2100
1987-04-09,0.000000,2.750000,2.666667,2.666667,2.666667,5100
1987-04-10,0.000000,2.708333,2.625000,2.666667,2.666667,59400
1987-04-13,0.000000,2.708333,2.666667,2.666667,2.666667,10500
1987-04-14,0.000000,2.666667,2.583333,2.583333,2.583333,58800
1987-04-15,0.000000,2.666667,2.583333,2.666667,2.666667,141000
1987-04-16,0.000000,2.666667,2.583333,2.666667,2.666667,34500
1987-04-20,0.000000,2.708333,2.625000,2.708333,2.708333,43200
1987-04-21,0.000000,2.708333,2.625000,2.666667,2.666667,9600
1987-04-22,0.000000,2.750000,2.666667,2.666667,2.666667,17700
1987-04-23,0.000000,2.666667,2.666667,2.666667,2.666667,11100
1987-04-24,0.000000,2.708333,2.625000,2.625000,2.625000,23100
1987-04-27,0.000000,2.666667,2.583333,2.583333,2.583333,16800
1987-04-28,0.000000,2.625000,2.583333,2.625000,2.625000,7200
1987-04-29,0.000000,2.708333,2.583333,2.708333,2.708333,30600
1987-04-30,0.000000,2.750000,2.666667,2.666667,2.666667,49200
1987-05-01,0.000000,2.833333,2.666667,2.833333,2.833333,54000
1987-05-04,0.000000,3.083333,2.833333,3.041667,3.041667,107100
1987-05-05,0.000000,3.083333,2.958333,3.000000,3.000000,94500
1987-05-06,0.000000,3.041667,2.916667,3.000000,3.000000,45300
1987-05-07,0.000000,3.000000,2.875000,2.875000,2.875000,11400
1987-05-08,0.000000,2.916667,2.875000,2.875000,2.875000,25800
1987-05-11,0.000000,2.958333,2.875000,2.958333,2.958333,18300
1987-05-12,0.000000,2.916667,2.833333,2.833333,2.833333,2100
1987-05-13,0.000000,2.833333,2.750000,2.750000,2.750000,10500
1987-05-14,0.000000,2.875000,2.750000,2.875000,2.875000,10500
1987-05-15,0.000000,2.833333,2.708333,2.833333,2.833333,87900
1987-05-18,0.000000,2.791667,2.708333,2.791667,2.791667,3900
1987-05-19,0.000000,2.708333,2.708333,2.708333,2.708333,7800
1987-05-20,0.000000,2.791667,2.666667,2.666667,2.666667,286200
1987-05-21,0.000000,2.666667,2.666667,2.666667,2.666667,15300
1987-05-22,0.000000,2.791667,2.750000,2.750000,2.750000,6000
1987-05-26,0.000000,2.791667,2.708333,2.750000,2.750000,12300
1987-05-27,0.000000,2.791667,2.708333,2.708333,2.708333,15300
1987-05-28,0.000000,2.750000,2.708333,2.708333,2.708333,186600
1987-05-29,0.000000,2.666667,2.666667,2.666667,2.666667,1200
1987-06-01,0.000000,2.666667,2.666667,2.666667,2.666667,1200
1987-06-02,0.000000,2.750000,2.750000,2.750000,2.750000,300
1987-06-03,0.000000,2.708333,2.666667,2.708333,2.708333,9000
1987-06-04,0.000000,2.666667,2.666667,2.666667,2.666667,300
1987-06-05,0.000000,2.750000,2.625000,2.625000,2.625000,51000
1987-06-08,0.000000,2.750000,2.583333,2.666667,2.666667,149100
1987-06-09,0.000000,2.708333,2.625000,2.625000,2.625000,21000
