Date,Open,High,Low,Close,Adj Close,Volume
1996-11-15,4.750000,5.125000,4.562500,4.750000,4.470851,2454800
1996-11-18,4.875000,4.875000,4.625000,4.625000,4.353197,289000
1996-11-19,4.625000,4.750000,4.500000,4.531250,4.264956,170400
1996-11-20,4.500000,4.687500,4.500000,4.562500,4.294370,87400
1996-11-21,4.500000,4.625000,4.500000,4.500000,4.235543,189200
1996-11-22,4.500000,4.562500,4.375000,4.375000,4.117889,26800
1996-11-25,4.375000,4.375000,4.375000,4.375000,4.117889,38800
1996-11-26,4.500000,4.500000,4.375000,4.375000,4.117889,37200
1996-11-27,4.500000,4.687500,4.500000,4.562500,4.294370,161200
1996-11-29,4.562500,4.562500,4.562500,4.562500,4.294370,10000
1996-12-02,4.562500,4.687500,4.562500,4.562500,4.294370,30400
1996-12-03,4.562500,4.625000,4.562500,4.562500,4.294370,91000
1996-12-04,4.687500,4.812500,4.562500,4.812500,4.529678,102200
1996-12-05,4.625000,4.750000,4.625000,4.750000,4.470851,10400
1996-12-06,4.687500,4.750000,4.625000,4.625000,4.353197,56200
1996-12-09,4.625000,4.750000,4.625000,4.750000,4.470851,50200
1996-12-10,4.625000,4.750000,4.625000,4.750000,4.470851,18000
1996-12-11,4.687500,4.687500,4.625000,4.625000,4.353197,22000
1996-12-12,4.625000,4.750000,4.625000,4.750000,4.470851,42000
1996-12-13,4.625000,4.625000,4.625000,4.625000,4.353197,21000
1996-12-16,4.625000,4.625000,4.625000,4.625000,4.353197,0
1996-12-17,4.562500,4.562500,4.562500,4.562500,4.294370,14800
1996-12-18,4.562500,4.562500,4.562500,4.562500,4.294370,2000
1996-12-19,4.562500,4.562500,4.562500,4.562500,4.294370,2000
1996-12-20,4.562500,4.687500,4.562500,4.687500,4.412024,151600
1996-12-23,4.687500,4.687500,4.687500,4.687500,4.412024,90000
1996-12-24,4.687500,4.687500,4.687500,4.687500,4.412024,0
1996-12-26,4.687500,4.687500,4.687500,4.687500,4.412024,0
1996-12-27,4.687500,4.687500,4.687500,4.687500,4.412024,0
1996-12-30,4.687500,4.687500,4.687500,4.687500,4.412024,0
1996-12-31,4.875000,4.875000,4.687500,4.750000,4.470851,36800
1997-01-02,4.687500,4.875000,4.687500,4.750000,4.470851,30000
1997-01-03,4.687500,4.687500,4.687500,4.687500,4.412024,1000
1997-01-06,4.687500,4.687500,4.687500,4.687500,4.412024,0
1997-01-07,4.687500,4.812500,4.687500,4.781250,4.500265,234400
1997-01-08,4.875000,4.875000,4.812500,4.812500,4.529678,2400
1997-01-09,4.687500,4.875000,4.687500,4.687500,4.412024,16200
1997-01-10,4.687500,4.812500,4.687500,4.812500,4.529678,26000
1997-01-13,4.875000,5.312500,4.875000,5.312500,5.000294,30800
1997-01-14,5.312500,5.312500,5.250000,5.250000,4.941467,8000
1997-01-15,5.375000,5.500000,5.250000,5.500000,5.176775,7000
1997-01-16,5.500000,5.500000,5.500000,5.500000,5.176775,0
1997-01-17,5.250000,5.437500,5.250000,5.437500,5.117948,40400
1997-01-20,5.625000,5.625000,5.375000,5.625000,5.294429,5600
1997-01-21,5.750000,6.062500,5.687500,5.750000,5.412083,28200
1997-01-22,6.062500,6.125000,5.875000,5.937500,5.588564,43600
1997-01-23,6.125000,6.500000,6.125000,6.500000,6.118007,35000
1997-01-24,6.500000,6.500000,6.250000,6.500000,6.118007,12400
1997-01-27,6.500000,6.875000,6.312500,6.875000,6.470969,26000
1997-01-28,7.000000,7.250000,6.500000,6.750000,6.353314,29800
1997-01-29,6.750000,6.750000,6.750000,6.750000,6.353314,2000
1997-01-30,6.500000,6.500000,6.500000,6.500000,6.118007,32000
1997-01-31,6.750000,6.875000,6.500000,6.750000,6.353314,13600
1997-02-03,7.000000,7.250000,6.750000,7.250000,6.823930,48600
1997-02-04,7.250000,7.250000,6.625000,6.625000,6.235661,8000
1997-02-05,6.625000,7.125000,6.625000,7.125000,6.706276,35000
1997-02-06,6.625000,7.125000,6.625000,6.625000,6.235661,33000
1997-02-07,6.625000,6.625000,6.625000,6.625000,6.235661,200
1997-02-10,7.125000,7.125000,6.625000,7.000000,6.588623,32800
1997-02-11,7.000000,7.000000,6.625000,6.625000,6.235661,20800
1997-02-12,7.000000,7.000000,7.000000,7.000000,6.588623,200
1997-02-13,6.750000,6.750000,6.375000,6.562500,6.176834,106600
1997-02-14,7.000000,7.000000,6.500000,6.500000,6.118007,147200
1997-02-18,6.500000,7.000000,6.500000,6.750000,6.353314,8800
1997-02-19,6.625000,6.625000,6.500000,6.500000,6.118007,32600
1997-02-20,6.562500,6.562500,6.500000,6.500000,6.118007,189600
1997-02-21,6.500000,6.500000,6.250000,6.250000,5.882699,47600
1997-02-24,6.250000,6.250000,6.125000,6.125000,5.765045,25800
1997-02-25,6.625000,6.625000,6.125000,6.125000,5.765045,30400
1997-02-26,6.125000,6.125000,6.125000,6.125000,5.765045,7400
1997-02-27,6.125000,6.125000,6.125000,6.125000,5.765045,1000
1997-02-28,6.125000,6.125000,6.125000,6.125000,5.765045,0
1997-03-03,6.250000,6.250000,6.250000,6.250000,5.882699,200
1997-03-04,6.750000,6.750000,6.125000,6.125000,5.765045,4200
1997-03-05,6.375000,6.375000,6.375000,6.375000,6.000353,200
1997-03-06,6.375000,6.375000,6.375000,6.375000,6.000353,0
1997-03-07,6.125000,6.125000,6.000000,6.000000,5.647391,31000
1997-03-10,6.000000,6.000000,6.000000,6.000000,5.647391,11400
1997-03-11,6.250000,6.250000,5.625000,5.625000,5.294429,476000
1997-03-12,5.687500,5.687500,5.625000,5.625000,5.294429,40200
1997-03-13,5.750000,5.750000,5.750000,5.750000,5.412083,7600
1997-03-14,5.750000,5.750000,5.625000,5.625000,5.294429,30800
1997-03-17,5.625000,5.625000,5.625000,5.625000,5.294429,15000
1997-03-18,5.625000,5.625000,5.625000,5.625000,5.294429,1800
1997-03-19,5.625000,5.625000,5.625000,5.625000,5.294429,0
1997-03-20,5.500000,5.562500,5.500000,5.500000,5.176775,5200
1997-03-21,5.500000,5.625000,5.500000,5.500000,5.176775,32400
1997-03-24,5.500000,5.562500,5.500000,5.562500,5.235602,4200
1997-03-25,5.500000,5.562500,5.500000,5.500000,5.176775,21600
1997-03-26,5.500000,6.000000,5.500000,5.531250,5.206188,54200
1997-03-27,5.500000,5.562500,5.500000,5.500000,5.176775,57400
1997-03-31,5.500000,6.000000,5.500000,6.000000,5.647391,4400
1997-04-01,5.500000,5.750000,5.500000,5.500000,5.176775,19800
1997-04-02,5.500000,5.500000,5.500000,5.500000,5.176775,0
1997-04-03,5.500000,5.500000,5.500000,5.500000,5.176775,0
1997-04-04,5.375000,5.500000,5.375000,5.500000,5.176775,10000
1997-04-07,5.625000,5.625000,5.375000,5.500000,5.176775,6000
1997-04-08,5.500000,5.500000,5.500000,5.500000,5.176775,0
1997-04-09,5.875000,5.875000,5.812500,5.812500,5.470910,20000
1997-04-10,5.500000,5.500000,5.500000,5.500000,5.176775,9000
1997-04-11,5.500000,5.500000,5.500000,5.500000,5.176775,4400
1997-04-14,5.500000,5.562500,5.500000,5.531250,5.206188,90800
1997-04-15,5.500000,5.687500,5.500000,5.687500,5.353256,49200
1997-04-16,5.500000,5.500000,5.437500,5.500000,5.176775,66200
1997-04-17,5.500000,5.500000,5.500000,5.500000,5.176775,0
1997-04-18,5.500000,5.500000,5.500000,5.500000,5.176775,0
1997-04-21,5.500000,5.500000,5.500000,5.500000,5.176775,0
1997-04-22,5.375000,5.375000,5.375000,5.375000,5.059121,6000
1997-04-23,5.375000,5.375000,5.375000,5.375000,5.059121,0
1997-04-24,5.375000,5.375000,5.375000,5.375000,5.059121,0
1997-04-25,5.500000,5.500000,5.375000,5.375000,5.059121,8800
1997-04-28,5.375000,5.375000,5.375000,5.375000,5.059121,0
1997-04-29,5.375000,5.375000,5.375000,5.375000,5.059121,0
1997-04-30,5.375000,5.375000,5.375000,5.375000,5.059121,1000
1997-05-01,5.500000,5.562500,5.500000,5.500000,5.176775,300000
1997-05-02,5.875000,5.875000,5.875000,5.875000,5.529737,2000
1997-05-05,5.875000,5.875000,5.625000,5.875000,5.529737,4400
1997-05-06,5.750000,5.875000,5.750000,5.875000,5.529737,3800
1997-05-07,6.125000,6.125000,5.750000,5.750000,5.412083,800
1997-05-08,6.000000,6.000000,6.000000,6.000000,5.647391,200
1997-05-09,6.000000,6.000000,6.000000,6.000000,5.647391,400
1997-05-12,5.750000,6.125000,5.750000,6.000000,5.647391,9800
1997-05-13,6.000000,6.000000,6.000000,6.000000,5.647391,0
1997-05-14,5.875000,5.875000,5.875000,5.875000,5.529737,1600
1997-05-15,5.875000,5.875000,5.875000,5.875000,5.529737,0
1997-05-16,6.250000,6.250000,6.250000,6.250000,5.882699,800
1997-05-19,6.250000,6.250000,6.062500,6.062500,5.706218,1800
1997-05-20,6.250000,6.250000,6.250000,6.250000,5.882699,400
1997-05-21,6.250000,6.250000,6.250000,6.250000,5.882699,0
1997-05-22,6.250000,6.250000,6.250000,6.250000,5.882699,0
1997-05-23,6.250000,6.250000,6.250000,6.250000,5.882699,0
1997-05-27,5.750000,5.812500,5.750000,5.750000,5.412083,140000
1997-05-28,5.812500,5.875000,5.750000,5.750000,5.412083,110800
1997-05-29,5.875000,6.125000,5.750000,5.937500,5.588564,10800
1997-05-30,6.125000,6.125000,6.000000,6.000000,5.647391,6000
1997-06-02,6.250000,6.625000,6.000000,6.625000,6.235661,38600
1997-06-03,6.250000,6.625000,6.250000,6.625000,6.235661,8000
1997-06-04,6.812500,6.812500,6.375000,6.375000,6.000353,8800
1997-06-05,6.625000,6.875000,6.500000,6.750000,6.353314,21600
1997-06-06,6.875000,6.875000,6.875000,6.875000,6.470969,1600
1997-06-09,7.000000,7.000000,7.000000,7.000000,6.588623,200
1997-06-10,6.625000,6.750000,6.625000,6.750000,6.353314,8000
1997-06-11,6.750000,6.750000,6.750000,6.750000,6.353314,0
1997-06-12,6.500000,6.500000,6.500000,6.500000,6.118007,2000
1997-06-13,6.500000,6.500000,6.500000,6.500000,6.118007,0
1997-06-16,6.625000,6.750000,6.500000,6.500000,6.118007,12000
1997-06-17,6.375000,6.375000,6.375000,6.375000,6.000353,40000
1997-06-18,6.375000,6.375000,6.375000,6.375000,6.000353,0
1997-06-19,6.375000,6.375000,6.375000,6.375000,6.000353,0
1997-06-20,6.437500,6.437500,6.437500,6.437500,6.059180,40000
1997-06-23,6.375000,6.437500,6.375000,6.437500,6.059180,6800
1997-06-24,6.375000,6.375000,6.375000,6.375000,6.000353,600
1997-06-25,6.375000,6.375000,6.375000,6.375000,6.000353,200
1997-06-26,6.375000,6.375000,6.375000,6.375000,6.000353,3000
1997-06-27,6.375000,6.375000,6.375000,6.375000,6.000353,20000
1997-06-30,6.625000,6.625000,6.625000,6.625000,6.235661,600
1997-07-01,6.375000,6.375000,6.375000,6.375000,6.000353,3200
1997-07-02,6.437500,6.437500,6.375000,6.375000,6.000353,6400
1997-07-03,6.375000,6.375000,6.375000,6.375000,6.000353,0
1997-07-07,6.375000,6.375000,6.375000,6.375000,6.000353,800
1997-07-08,6.375000,6.375000,6.375000,6.375000,6.000353,800
1997-07-09,6.375000,6.625000,6.375000,6.625000,6.235661,42800
1997-07-10,6.625000,6.625000,6.625000,6.625000,6.235661,0
1997-07-11,6.750000,6.750000,6.500000,6.500000,6.118007,1200
1997-07-14,6.500000,6.500000,6.500000,6.500000,6.118007,2000
1997-07-15,6.500000,6.562500,6.500000,6.562500,6.176834,80000
1997-07-16,7.000000,7.000000,7.000000,7.000000,6.588623,200
1997-07-17,6.625000,6.625000,6.625000,6.625000,6.235661,1000
1997-07-18,6.625000,6.625000,6.625000,6.625000,6.235661,0
1997-07-21,6.625000,6.750000,6.625000,6.750000,6.353314,42000
1997-07-22,6.500000,6.500000,6.500000,6.500000,6.118007,200
1997-07-23,6.500000,6.500000,6.500000,6.500000,6.118007,0
1997-07-24,6.500000,6.500000,6.500000,6.500000,6.118007,0
1997-07-25,6.500000,6.500000,6.500000,6.500000,6.118007,0
1997-07-28,6.500000,6.500000,6.500000,6.500000,6.118007,400
1997-07-29,6.500000,6.500000,6.500000,6.500000,6.118007,7000
1997-07-30,6.562500,6.562500,6.500000,6.500000,6.118007,5200
1997-07-31,6.500000,6.500000,6.500000,6.500000,6.118007,400
1997-08-01,6.500000,6.500000,6.500000,6.500000,6.118007,0
1997-08-04,6.625000,6.750000,6.625000,6.750000,6.353314,30400
1997-08-05,6.750000,6.750000,6.750000,6.750000,6.353314,0
1997-08-06,6.750000,6.750000,6.750000,6.750000,6.353314,0
1997-08-07,6.750000,6.750000,6.750000,6.750000,6.353314,0
1997-08-08,6.750000,6.750000,6.750000,6.750000,6.353314,800
1997-08-11,6.875000,7.000000,6.875000,7.000000,6.588623,1200
1997-08-12,7.187500,7.187500,7.187500,7.187500,6.765103,1000
1997-08-13,7.187500,7.187500,7.187500,7.187500,6.765103,0
1997-08-14,7.187500,7.187500,7.187500,7.187500,6.765103,0
1997-08-15,7.187500,7.187500,7.187500,7.187500,6.765103,0
1997-08-18,6.750000,6.750000,6.750000,6.750000,6.353314,2000
1997-08-19,6.875000,6.875000,6.750000,6.750000,6.353314,3000
1997-08-20,6.750000,6.750000,6.750000,6.750000,6.353314,0
1997-08-21,6.750000,7.000000,6.750000,7.000000,6.588623,1600
1997-08-22,7.000000,7.000000,7.000000,7.000000,6.588623,200
1997-08-25,7.000000,7.000000,7.000000,7.000000,6.588623,0
1997-08-26,7.000000,7.000000,7.000000,7.000000,6.588623,0
1997-08-27,7.250000,7.250000,7.250000,7.250000,6.823930,200
1997-08-28,7.250000,7.250000,6.750000,7.000000,6.588623,1800
1997-08-29,7.125000,7.375000,7.000000,7.375000,6.941585,6400
1997-09-02,7.000000,7.000000,7.000000,7.000000,6.588623,200
1997-09-03,6.875000,6.875000,6.875000,6.875000,6.470969,1000
1997-09-04,6.875000,6.875000,6.875000,6.875000,6.470969,10000
1997-09-05,7.000000,7.250000,7.000000,7.250000,6.823930,1000
1997-09-08,6.875000,7.125000,6.625000,7.125000,6.706276,62000
1997-09-09,7.125000,7.125000,7.125000,7.125000,6.706276,0
1997-09-10,7.000000,7.000000,6.875000,6.875000,6.470969,20200
1997-09-11,7.250000,7.250000,7.250000,7.250000,6.823930,600
1997-09-12,7.250000,7.250000,7.250000,7.250000,6.823930,0
1997-09-15,7.250000,7.250000,6.937500,6.937500,6.529796,20000
1997-09-16,6.687500,7.250000,6.687500,7.000000,6.588623,44400
1997-09-17,6.937500,7.000000,6.937500,7.000000,6.588623,8400
1997-09-18,6.625000,7.250000,6.625000,7.250000,6.823930,800
1997-09-19,7.000000,7.000000,7.000000,7.000000,6.588623,2000
1997-09-22,7.250000,7.250000,7.250000,7.250000,6.823930,600
1997-09-23,7.250000,7.250000,7.250000,7.250000,6.823930,0
1997-09-24,7.250000,7.250000,7.250000,7.250000,6.823930,0
1997-09-25,6.687500,6.812500,6.687500,6.812500,6.412141,22000
1997-09-26,6.812500,6.812500,6.812500,6.812500,6.412141,0
1997-09-29,7.250000,7.250000,7.000000,7.000000,6.588623,3800
1997-09-30,7.000000,7.000000,6.750000,6.750000,6.353314,6800
1997-10-01,7.250000,7.250000,7.250000,7.250000,6.823930,800
1997-10-02,7.250000,7.250000,7.125000,7.125000,6.706276,1400
1997-10-03,7.375000,7.375000,7.375000,7.375000,6.941585,1200
1997-10-06,7.375000,7.375000,7.312500,7.312500,6.882758,5600
1997-10-07,7.312500,7.312500,7.312500,7.312500,6.882758,0
1997-10-08,7.375000,7.375000,7.375000,7.375000,6.941585,2000
1997-10-09,7.375000,7.375000,7.375000,7.375000,6.941585,0
1997-10-10,7.375000,7.375000,6.875000,7.125000,6.706276,6000
1997-10-13,7.250000,7.250000,7.250000,7.250000,6.823930,200
1997-10-14,7.125000,7.125000,7.000000,7.000000,6.588623,21000
1997-10-15,7.000000,7.000000,7.000000,7.000000,6.588623,3400
1997-10-16,7.000000,7.375000,7.000000,7.000000,6.588623,2800
1997-10-17,7.000000,7.000000,7.000000,7.000000,6.588623,0
1997-10-20,7.000000,7.000000,7.000000,7.000000,6.588623,0
1997-10-21,7.000000,7.000000,7.000000,7.000000,6.588623,0
1997-10-22,7.000000,7.000000,7.000000,7.000000,6.588623,0
1997-10-23,7.000000,7.000000,7.000000,7.000000,6.588623,2000
1997-10-24,7.250000,7.375000,7.250000,7.250000,6.823930,1400
1997-10-27,7.375000,7.375000,7.250000,7.250000,6.823930,2400
1997-10-28,6.875000,6.875000,6.875000,6.875000,6.470969,2000
1997-10-29,6.875000,6.875000,6.875000,6.875000,6.470969,0
1997-10-30,7.375000,7.375000,7.125000,7.312500,6.882758,14000
1997-10-31,7.125000,7.125000,7.125000,7.125000,6.706276,400
1997-11-03,6.875000,6.875000,6.875000,6.875000,6.470969,15000
1997-11-04,6.875000,6.875000,6.875000,6.875000,6.470969,0
1997-11-05,6.875000,6.875000,6.875000,6.875000,6.470969,0
1997-11-06,6.875000,6.875000,6.875000,6.875000,6.470969,0
1997-11-07,7.000000,7.000000,7.000000,7.000000,6.588623,400
1997-11-10,6.750000,6.750000,6.750000,6.750000,6.353314,800
1997-11-11,6.750000,6.750000,6.500000,6.500000,6.118007,8000
1997-11-12,6.500000,6.500000,6.500000,6.500000,6.118007,0
1997-11-13,6.531250,6.531250,6.531250,6.531250,6.147420,1000
1997-11-14,6.875000,6.875000,6.875000,6.875000,6.470969,400
1997-11-17,6.875000,6.875000,6.875000,6.875000,6.470969,0
1997-11-18,6.875000,6.875000,6.875000,6.875000,6.470969,0
1997-11-19,6.875000,6.875000,6.875000,6.875000,6.470969,0
1997-11-20,6.875000,6.875000,6.500000,6.500000,6.118007,10800
1997-11-21,6.500000,6.562500,6.312500,6.312500,5.941525,21400
1997-11-24,6.500000,6.531250,6.468750,6.468750,6.088593,5400
1997-11-25,6.468750,6.468750,6.468750,6.468750,6.088593,800
1997-11-26,6.468750,6.468750,6.468750,6.468750,6.088593,0
1997-11-28,6.500000,6.500000,6.500000,6.500000,6.118007,2000
