Date,Open,High,Low,Close,Adj Close,Volume
2021-03-04,9.800000,9.800000,9.600000,9.800000,9.800000,25300
2021-03-05,9.890000,9.900000,9.682000,9.682000,9.682000,17700
2021-03-08,9.900000,9.900000,9.823000,9.823000,9.823000,3600
2021-03-09,9.795000,10.050000,9.770000,9.865000,9.865000,47300
2021-03-10,9.950000,9.990000,9.790000,9.790000,9.790000,41000
2021-03-11,9.750000,9.840000,9.750000,9.800000,9.800000,310800
2021-03-12,9.825000,9.839000,9.810000,9.810000,9.810000,7600
2021-03-15,9.800000,9.850000,9.797000,9.800000,9.800000,48200
2021-03-16,9.770000,9.770000,9.750000,9.770000,9.770000,8700
2021-03-17,9.765000,9.810000,9.712000,9.810000,9.810000,13500
2021-03-18,9.783000,9.783000,9.720000,9.720000,9.720000,1600
2021-03-19,9.721000,9.721000,9.721000,9.721000,9.721000,600
2021-03-22,9.790000,9.790000,9.700000,9.700000,9.700000,18200
2021-03-23,9.680000,9.700000,9.650000,9.660000,9.660000,10300
2021-03-24,9.430000,9.740000,8.760000,9.620000,9.620000,48600
2021-03-25,9.560000,9.800000,9.560000,9.638000,9.638000,1600
2021-03-26,9.639000,9.639000,9.639000,9.639000,9.639000,500
2021-03-29,9.676000,9.680000,9.676000,9.680000,9.680000,3300
2021-03-30,9.650000,9.680000,9.630000,9.650000,9.650000,26500
2021-03-31,9.740000,9.740000,9.700000,9.725000,9.725000,900
2021-04-01,9.725000,9.725000,9.725000,9.725000,9.725000,100
2021-04-05,9.725000,9.725000,9.725000,9.725000,9.725000,300
2021-04-06,9.710000,9.780000,9.710000,9.780000,9.780000,600
2021-04-07,9.780000,9.780000,9.620000,9.770000,9.770000,24200
2021-04-08,9.770000,9.780000,9.719000,9.780000,9.780000,4300
2021-04-09,9.710000,9.811000,9.707000,9.811000,9.811000,10900
2021-04-12,9.700000,9.700000,9.700000,9.700000,9.700000,900
2021-04-13,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-04-14,9.738000,9.800000,9.738000,9.800000,9.800000,900
