Date,Open,High,Low,Close,Adj Close,Volume
1991-07-30,0.000000,3.388889,3.166667,3.277778,3.039672,11458800
1991-07-31,0.000000,3.416667,3.305556,3.333333,3.091192,3931200
1991-08-01,0.000000,3.388889,3.111111,3.194444,2.962392,1199700
1991-08-02,0.000000,3.277778,3.166667,3.194444,2.962392,2116800
1991-08-05,3.222222,3.250000,3.166667,3.222222,2.988153,626400
1991-08-06,3.250000,3.250000,3.166667,3.194444,2.962392,342000
1991-08-07,3.250000,3.250000,3.166667,3.194444,2.962392,818100
1991-08-08,3.222222,3.222222,3.166667,3.166667,2.936633,382500
1991-08-09,3.194444,3.250000,3.152778,3.222222,2.988153,875700
1991-08-12,3.166667,3.222222,3.166667,3.166667,2.936633,10800
1991-08-13,3.166667,3.333333,3.166667,3.333333,3.091192,479700
1991-08-14,3.361111,3.555556,3.333333,3.555556,3.297272,785700
1991-08-15,3.500000,3.583333,3.416667,3.472222,3.219992,117000
1991-08-16,3.416667,3.500000,3.388889,3.388889,3.142712,252000
1991-08-19,3.250000,3.277778,3.083333,3.277778,3.039672,745200
1991-08-20,3.222222,3.305556,3.222222,3.305556,3.065433,57600
1991-08-21,3.444444,3.472222,3.388889,3.444444,3.194231,330300
1991-08-22,3.416667,3.527778,3.416667,3.472222,3.219992,31500
1991-08-23,3.416667,3.583333,3.416667,3.500000,3.245752,472500
1991-08-26,3.583333,3.694444,3.500000,3.652778,3.387432,148500
1991-08-27,3.694444,3.694444,3.500000,3.555556,3.297272,228600
1991-08-28,3.666667,3.777778,3.638889,3.722222,3.451831,908100
1991-08-29,3.750000,4.138889,3.750000,4.138889,3.838230,1005300
1991-08-30,4.111111,4.222222,4.111111,4.166667,3.863990,669600
1991-09-03,4.111111,4.166667,3.888889,3.888889,3.606391,256500
1991-09-04,3.972222,3.972222,3.750000,3.777778,3.503351,432900
1991-09-05,3.833333,4.083333,3.777778,4.027778,3.735191,1278900
1991-09-06,4.083333,4.138889,4.027778,4.027778,3.735191,89100
1991-09-09,4.000000,4.000000,4.000000,4.000000,3.709431,10800
1991-09-10,4.027778,4.083333,4.000000,4.000000,3.709431,21600
1991-09-11,4.055556,4.361111,4.055556,4.361111,4.044311,489600
1991-09-12,4.277778,4.500000,4.277778,4.361111,4.044311,699300
1991-09-13,4.527778,4.527778,4.388889,4.500000,4.173109,189900
1991-09-16,4.555556,4.555556,4.472222,4.472222,4.147349,254700
1991-09-17,4.555556,4.861111,4.472222,4.750000,4.404949,431100
1991-09-18,4.861111,4.861111,4.722222,4.722222,4.379189,99900
1991-09-19,4.833333,4.861111,4.750000,4.763889,4.417830,382500
1991-09-20,4.750000,4.777778,4.666667,4.722222,4.379189,538200
1991-09-23,4.694444,4.750000,4.611111,4.722222,4.379189,156600
1991-09-24,4.750000,4.777778,4.736111,4.777778,4.430708,243900
1991-09-25,4.861111,4.944444,4.777778,4.916667,4.559509,888300
1991-09-26,5.000000,5.000000,4.888889,4.888889,4.533749,281700
1991-09-27,4.972222,4.972222,4.805556,4.805556,4.456470,328500
1991-09-30,4.805556,4.805556,4.555556,4.666667,4.327669,176400
1991-10-01,4.638889,4.777778,4.583333,4.750000,4.404949,388800
1991-10-02,4.750000,4.750000,4.638889,4.694444,4.353430,62100
1991-10-03,4.666667,4.666667,4.611111,4.666667,4.327669,103500
1991-10-04,4.611111,4.666667,4.611111,4.611111,4.276149,29700
1991-10-07,4.611111,4.666667,4.388889,4.388889,4.070070,435600
1991-10-08,4.472222,4.833333,4.472222,4.750000,4.404949,512100
1991-10-09,4.611111,4.722222,4.555556,4.638889,4.301909,373500
1991-10-10,4.611111,4.638889,4.416667,4.500000,4.173109,165600
1991-10-11,4.416667,4.527778,4.416667,4.444444,4.121589,1294200
1991-10-14,4.611111,4.666667,4.583333,4.583333,4.250390,85500
1991-10-15,4.555556,4.597222,4.527778,4.527778,4.198870,196200
1991-10-16,4.666667,4.666667,4.555556,4.611111,4.276149,312300
1991-10-17,4.555556,4.777778,4.555556,4.777778,4.430708,352800
1991-10-18,4.722222,4.833333,4.694444,4.736111,4.392069,1280700
1991-10-21,4.777778,4.777778,4.750000,4.750000,4.404949,18000
1991-10-22,4.777778,4.833333,4.666667,4.750000,4.404949,236700
1991-10-23,4.638889,4.777778,4.611111,4.611111,4.276149,388800
1991-10-24,4.611111,4.666667,4.611111,4.611111,4.276149,41400
1991-10-25,4.722222,4.722222,4.611111,4.611111,4.276149,7200
1991-10-28,4.722222,4.722222,4.611111,4.611111,4.276149,19800
1991-10-29,4.611111,4.833333,4.611111,4.750000,4.404949,738900
1991-10-30,4.763889,4.763889,4.750000,4.750000,4.404949,18900
1991-10-31,4.833333,4.972222,4.833333,4.972222,4.611028,150300
1991-11-01,4.833333,4.972222,4.833333,4.972222,4.611028,139500
1991-11-04,4.833333,4.833333,4.805556,4.833333,4.482229,22500
1991-11-05,4.805556,4.944444,4.777778,4.944444,4.585268,228600
1991-11-06,4.888889,4.888889,4.611111,4.666667,4.327669,297900
1991-11-07,4.722222,4.722222,4.611111,4.666667,4.327669,106200
1991-11-08,4.611111,4.722222,4.611111,4.611111,4.276149,80100
1991-11-11,4.611111,4.694444,4.388889,4.583333,4.250390,7182900
1991-11-12,4.527778,4.638889,4.527778,4.638889,4.301909,138600
1991-11-13,4.638889,4.694444,4.486111,4.694444,4.353430,592200
1991-11-14,4.611111,4.611111,4.500000,4.611111,4.276149,543600
1991-11-15,4.611111,4.611111,4.416667,4.416667,4.095829,795600
1991-11-18,4.333333,4.388889,4.083333,4.361111,4.044311,610200
1991-11-19,4.361111,4.361111,4.111111,4.138889,3.838230,1143900
1991-11-20,4.083333,4.250000,4.083333,4.250000,3.941270,260100
1991-11-21,4.277778,4.277778,4.166667,4.166667,3.863990,3600
1991-11-22,4.166667,4.222222,3.958333,4.055556,3.760951,297900
1991-11-25,3.916667,4.027778,3.916667,3.930556,3.645031,561600
1991-11-26,4.027778,4.055556,3.916667,4.055556,3.760951,129600
1991-11-27,4.055556,4.166667,4.055556,4.166667,3.863990,104400
1991-11-29,4.166667,4.444444,4.166667,4.430556,4.108709,100800
1991-12-02,4.444444,4.611111,4.388889,4.555556,4.224629,221400
1991-12-03,4.666667,4.805556,4.500000,4.527778,4.198870,857700
1991-12-04,4.583333,4.777778,4.583333,4.777778,4.430708,90000
1991-12-05,4.777778,4.777778,4.611111,4.666667,4.327669,103500
1991-12-06,4.611111,4.777778,4.611111,4.722222,4.379189,42300
1991-12-09,4.666667,4.666667,4.527778,4.611111,4.276149,101700
1991-12-10,4.527778,4.527778,4.388889,4.416667,4.095829,654300
1991-12-11,4.416667,4.416667,4.027778,4.222222,3.915510,679500
1991-12-12,4.277778,4.277778,4.138889,4.277778,3.967031,58500
1991-12-13,4.277778,4.277778,4.055556,4.166667,3.863990,270000
1991-12-16,4.055556,4.250000,4.055556,4.138889,3.838230,218700
1991-12-17,4.111111,4.250000,4.111111,4.166667,3.863990,487800
1991-12-18,4.250000,4.250000,4.138889,4.208333,3.902630,216000
1991-12-19,4.194444,4.250000,4.166667,4.250000,3.941270,117900
1991-12-20,4.250000,4.305556,4.138889,4.166667,3.863990,7752600
1991-12-23,4.180556,4.180556,3.944444,4.111111,3.812471,405900
1991-12-24,4.027778,4.166667,4.000000,4.000000,3.709431,174600
1991-12-26,4.055556,4.111111,3.944444,4.111111,3.812471,127800
1991-12-27,4.000000,4.138889,4.000000,4.138889,3.838230,196200
1991-12-30,4.027778,4.222222,4.027778,4.222222,3.915510,489600
1991-12-31,4.250000,4.583333,4.250000,4.555556,4.224629,1295100
1992-01-02,4.555556,4.555556,4.388889,4.527778,4.198870,234900
1992-01-03,4.527778,4.527778,4.388889,4.388889,4.070070,51300
1992-01-06,4.361111,4.555556,4.333333,4.555556,4.224629,528300
1992-01-07,4.555556,4.555556,4.444444,4.486111,4.160228,543600
1992-01-08,4.416667,4.972222,4.416667,4.916667,4.559509,596700
1992-01-09,4.833333,5.138889,4.805556,5.055556,4.688308,1497600
1992-01-10,5.111111,5.111111,4.972222,5.013889,4.649668,608400
