Date,Open,High,Low,Close,Adj Close,Volume
2020-12-02,1.800000,4.990000,1.800000,3.990000,3.990000,72300
2020-12-03,3.550000,3.890000,3.250000,3.450000,3.450000,75800
2020-12-04,3.400000,3.545000,3.240000,3.310000,3.310000,43700
2020-12-07,3.300000,3.730000,3.190000,3.240000,3.240000,66700
2020-12-08,3.310000,3.424000,3.210000,3.270000,3.270000,29000
2020-12-09,3.260000,3.510000,3.010000,3.350000,3.350000,82900
2020-12-10,3.350000,3.600000,3.350000,3.511000,3.511000,24300
2020-12-11,3.520000,3.655000,3.440000,3.600000,3.600000,35100
2020-12-14,3.680000,3.721000,3.400000,3.460000,3.460000,19100
2020-12-15,3.530000,3.530000,3.350000,3.370000,3.370000,21100
2020-12-16,3.350000,3.800000,3.350000,3.710000,3.710000,47700
2020-12-17,3.582000,4.338000,3.582000,3.800000,3.800000,258100
2020-12-18,3.870000,5.960000,3.618000,3.680000,3.680000,2901000
2020-12-21,3.350000,3.930000,3.300000,3.750000,3.750000,283400
2020-12-22,3.650000,4.190000,3.561000,3.675000,3.675000,257900
2020-12-23,3.670000,3.940000,3.623000,3.750000,3.750000,135000
2020-12-24,4.320000,4.450000,4.100000,4.400000,4.400000,419600
2020-12-28,4.440000,4.890000,4.400000,4.680000,4.680000,295800
2020-12-29,4.610000,4.663000,4.280000,4.400000,4.400000,137700
2020-12-30,4.430000,4.780000,4.150000,4.230000,4.230000,151100
2020-12-31,4.180000,4.600000,4.100000,4.400000,4.400000,292300
2021-01-04,4.500000,4.500000,4.250000,4.380000,4.380000,60300
2021-01-05,4.350000,4.500000,4.321000,4.460000,4.460000,63700
2021-01-06,4.460000,4.540000,4.300000,4.400000,4.400000,169900
2021-01-07,4.360000,4.600000,4.360000,4.600000,4.600000,73800
2021-01-08,4.590000,4.740000,4.360000,4.490000,4.490000,44800
2021-01-11,4.400000,4.460000,4.400000,4.440000,4.440000,13400
2021-01-12,4.440000,4.490000,4.310000,4.460000,4.460000,18900
2021-01-13,4.440000,4.680000,4.380000,4.540000,4.540000,167200
2021-01-14,4.590000,4.590000,4.350000,4.410000,4.410000,65600
2021-01-15,4.340000,4.450000,4.160000,4.200000,4.200000,58500
2021-01-19,4.200000,4.350000,4.100000,4.166000,4.166000,55700
2021-01-20,4.200000,4.270000,4.110000,4.130000,4.130000,37300
2021-01-21,4.190000,4.204000,4.050000,4.060000,4.060000,41400
2021-01-22,4.030000,4.140000,3.750000,3.750000,3.750000,100300
2021-01-25,3.830000,4.010000,3.760000,4.010000,4.010000,41700
2021-01-26,3.990000,4.140000,3.950000,3.950000,3.950000,13400
2021-01-27,3.950000,3.950000,3.500000,3.580000,3.580000,93200
2021-01-28,3.540000,3.572000,3.390000,3.390000,3.390000,83500
2021-01-29,3.390000,3.500000,3.350000,3.360000,3.360000,26100
2021-02-01,3.400000,3.490000,3.080000,3.450000,3.450000,251000
2021-02-02,3.550000,3.990000,3.500000,3.700000,3.700000,144500
2021-02-03,3.680000,4.300000,3.670000,4.040000,4.040000,144300
2021-02-04,4.300000,5.200000,3.770000,4.110000,4.110000,1366400
2021-02-05,4.120000,4.120000,3.630000,3.890000,3.890000,188900
2021-02-08,3.890000,4.284000,3.890000,4.130000,4.130000,163200
2021-02-09,4.100000,4.610000,3.930000,4.310000,4.310000,139500
2021-02-10,4.408000,4.408000,3.850000,4.190000,4.190000,178500
2021-02-11,4.240000,4.300000,4.052000,4.240000,4.240000,41000
2021-02-12,4.250000,4.660000,4.070000,4.400000,4.400000,90300
2021-02-16,4.370000,4.370000,4.225000,4.340000,4.340000,14000
2021-02-17,4.300000,4.300000,4.160000,4.230000,4.230000,30600
2021-02-18,4.160000,4.160000,3.840000,3.840000,3.840000,63400
2021-02-19,3.850000,3.935000,3.680000,3.740000,3.740000,40600
2021-02-22,3.850000,3.885000,3.520000,3.650000,3.650000,51100
2021-02-23,3.650000,3.650000,3.385000,3.420000,3.420000,41200
2021-02-24,3.410000,3.580000,3.300000,3.450000,3.450000,41100
2021-02-25,3.500000,3.860000,3.450000,3.470000,3.470000,45800
2021-02-26,3.550000,3.825000,3.230000,3.330000,3.330000,94200
2021-03-01,3.350000,3.450000,3.350000,3.410000,3.410000,22400
2021-03-02,3.460000,3.730000,3.360000,3.420000,3.420000,52400
2021-03-03,3.387000,3.420000,3.150000,3.220000,3.220000,49400
2021-03-04,3.290000,3.290000,2.711000,2.850000,2.850000,98200
2021-03-05,2.860000,3.030000,2.691000,2.940000,2.940000,67300
2021-03-08,2.990000,3.400000,2.960000,3.230000,3.230000,57700
2021-03-09,3.300000,3.400000,3.120000,3.230000,3.230000,107400
2021-03-10,3.300000,3.440000,3.200000,3.240000,3.240000,14800
2021-03-11,3.330000,3.550000,3.260000,3.515000,3.515000,56300
2021-03-12,3.440000,3.479000,3.270000,3.380000,3.380000,12100
2021-03-15,3.510000,3.510000,3.380000,3.410000,3.410000,15000
2021-03-16,3.230000,3.354000,3.000000,3.230000,3.230000,22900
2021-03-17,3.200000,3.290000,3.090000,3.206000,3.206000,13400
2021-03-18,3.220000,3.386000,3.110000,3.200000,3.200000,25200
2021-03-19,3.053000,3.215000,3.010000,3.210000,3.210000,29600
2021-03-22,3.220000,3.330000,3.200000,3.250000,3.250000,29200
2021-03-23,3.290000,3.670000,3.130000,3.430000,3.430000,43500
2021-03-24,3.500000,3.550000,3.212000,3.260000,3.260000,57100
2021-03-25,3.560000,4.120000,3.500000,3.890000,3.890000,291600
2021-03-26,3.890000,4.009000,3.550000,3.650000,3.650000,101600
2021-03-29,3.550000,3.700000,3.500000,3.610000,3.610000,38400
2021-03-30,3.610000,3.700000,3.462000,3.650000,3.650000,48800
2021-03-31,3.510000,3.830000,3.510000,3.730000,3.730000,16000
2021-04-01,3.730000,3.730000,3.500000,3.610000,3.610000,21100
