Date,Open,High,Low,Close,Adj Close,Volume
2012-09-28,12.000000,14.850000,12.000000,14.160000,14.160000,9749500
2012-10-01,14.490000,15.250000,13.800000,13.950000,13.950000,618700
2012-10-02,13.950000,14.340000,13.530000,13.690000,13.690000,306800
2012-10-03,13.640000,13.950000,13.400000,13.510000,13.510000,158900
2012-10-04,13.640000,14.220000,13.330000,13.600000,13.600000,281800
2012-10-05,13.600000,13.870000,13.400000,13.600000,13.600000,141800
2012-10-08,13.600000,13.900000,13.510000,13.670000,13.670000,50100
2012-10-09,13.850000,13.850000,13.510000,13.550000,13.550000,90400
2012-10-10,13.490000,13.750000,13.490000,13.510000,13.510000,72000
2012-10-11,13.490000,13.700000,13.460000,13.560000,13.560000,90300
2012-10-12,13.600000,13.740000,13.600000,13.640000,13.640000,57000
2012-10-15,13.810000,14.090000,13.700000,13.960000,13.960000,93500
2012-10-16,14.290000,14.290000,13.890000,14.010000,14.010000,58700
2012-10-17,14.290000,14.290000,13.950000,14.100000,14.100000,81700
2012-10-18,14.200000,14.870000,13.960000,14.690000,14.690000,100400
2012-10-19,14.610000,14.990000,14.020000,14.220000,14.220000,245400
2012-10-22,14.740000,14.950000,14.050000,14.890000,14.890000,129900
2012-10-23,14.700000,14.860000,14.500000,14.710000,14.710000,128500
2012-10-24,14.890000,14.970000,14.070000,14.400000,14.400000,34000
2012-10-25,14.230000,14.430000,14.150000,14.290000,14.290000,49900
2012-10-26,14.530000,14.530000,14.160000,14.200000,14.200000,52200
2012-10-31,14.330000,14.500000,12.540000,12.980000,12.980000,94700
2012-11-01,13.250000,13.630000,13.200000,13.600000,13.600000,64300
2012-11-02,13.520000,13.570000,12.880000,12.980000,12.980000,116900
2012-11-05,13.230000,13.420000,12.080000,12.420000,12.420000,89100
2012-11-06,13.430000,13.430000,12.620000,13.250000,13.250000,74700
2012-11-07,13.250000,13.550000,13.050000,13.080000,13.080000,66700
2012-11-08,13.080000,13.080000,11.070000,11.550000,11.550000,120700
2012-11-09,11.590000,12.210000,11.260000,11.850000,11.850000,458600
2012-11-12,12.000000,12.240000,11.500000,11.750000,11.750000,198100
2012-11-13,11.360000,12.070000,11.190000,11.940000,11.940000,55800
