Date,Open,High,Low,Close,Adj Close,Volume
2021-07-08,5.000000,5.000000,5.000000,5.000000,5.000000,100
2021-07-09,42.990002,52.000000,33.000000,34.889999,34.889999,784400
2021-07-12,36.080002,38.880001,24.000000,35.000000,35.000000,224700
2021-07-13,31.330000,37.000000,31.330000,37.000000,37.000000,48500
2021-07-14,37.099998,42.500000,35.400002,35.400002,35.400002,92400
2021-07-15,35.910000,38.080002,30.010000,31.510000,31.510000,35600
2021-07-16,33.000000,33.997002,30.180000,30.709999,30.709999,36100
2021-07-19,30.660000,30.660000,23.690001,27.799999,27.799999,43300
2021-07-20,28.000000,29.660000,28.000000,28.530001,28.530001,25500
2021-07-21,27.700001,32.330002,24.750000,31.100000,31.100000,96100
2021-07-22,33.770000,41.200001,10.000000,11.550000,11.550000,5228400
2021-07-23,8.288000,8.400000,6.190000,6.500000,6.500000,1255600
2021-07-26,5.500000,5.970000,4.390000,4.610000,4.610000,1013100
2021-07-27,4.710000,4.860000,4.400000,4.530000,4.530000,320600
2021-07-28,4.650000,4.790000,4.360000,4.590000,4.590000,250800
2021-07-29,4.650000,5.090000,4.400000,4.690000,4.690000,454700
2021-07-30,4.710000,6.700000,4.630000,5.500000,5.500000,2108100
2021-08-02,5.110000,5.595000,4.910000,4.950000,4.950000,318200
2021-08-03,4.890000,5.077000,4.580000,4.860000,4.860000,266400
2021-08-04,4.750000,5.140000,4.560000,4.670000,4.670000,232300
2021-08-05,4.660000,4.770000,4.520000,4.580000,4.580000,187200
2021-08-06,4.500000,4.690000,4.210000,4.460000,4.460000,381700
2021-08-09,4.420000,4.560000,4.300000,4.450000,4.450000,371500
2021-08-10,4.400000,4.400000,4.200000,4.320000,4.320000,168900
2021-08-11,4.330000,4.500000,4.089000,4.283000,4.283000,138900
2021-08-12,4.160000,4.260000,3.980000,4.050000,4.050000,145100
2021-08-13,3.982000,4.030000,3.810000,4.000000,4.000000,206700
2021-08-16,3.760000,4.070000,3.750000,3.925000,3.925000,104900
2021-08-17,3.925000,4.490000,3.800000,3.980000,3.980000,461100
2021-08-18,3.800000,4.150000,3.800000,3.990000,3.990000,64710
