Date,Open,High,Low,Close,Adj Close,Volume
1997-06-04,42.750000,42.750000,38.250000,39.000000,39.000000,54633
1997-06-05,39.750000,40.500000,39.000000,39.375000,39.375000,28717
1997-06-06,40.125000,40.125000,37.500000,39.000000,39.000000,14450
1997-06-09,39.000000,39.750000,37.500000,38.250000,38.250000,15417
1997-06-10,38.625000,39.375000,37.500000,39.375000,39.375000,9417
1997-06-11,39.375000,39.375000,37.875000,37.875000,37.875000,6833
1997-06-12,39.000000,39.000000,37.875000,38.625000,38.625000,8083
1997-06-13,38.250000,38.625000,37.500000,37.500000,37.500000,8383
1997-06-16,38.250000,38.250000,36.750000,36.750000,36.750000,7367
1997-06-17,36.000000,36.750000,34.500000,36.375000,36.375000,18633
1997-06-18,36.375000,37.875000,35.250000,36.750000,36.750000,9433
1997-06-19,37.500000,38.250000,36.750000,37.500000,37.500000,8683
1997-06-20,37.875000,38.250000,36.750000,37.500000,37.500000,9517
1997-06-23,37.500000,37.875000,36.750000,36.750000,36.750000,3367
1997-06-24,36.750000,37.875000,36.750000,37.875000,37.875000,4450
1997-06-25,37.875000,38.625000,37.125000,37.125000,37.125000,12133
1997-06-26,37.875000,37.875000,36.750000,37.500000,37.500000,4467
1997-06-27,37.500000,40.875000,37.500000,40.875000,40.875000,18400
1997-06-30,40.875000,43.500000,39.750000,42.750000,42.750000,15583
1997-07-01,43.500000,46.500000,42.750000,45.000000,45.000000,20967
1997-07-02,45.750000,45.750000,42.000000,43.500000,43.500000,13017
1997-07-03,44.250000,45.000000,43.125000,43.125000,43.125000,8450
1997-07-07,44.250000,44.250000,42.375000,43.500000,43.500000,6517
1997-07-08,43.500000,43.500000,42.000000,42.000000,42.000000,9600
1997-07-09,42.750000,42.750000,39.000000,39.000000,39.000000,5500
1997-07-10,40.125000,40.125000,40.125000,40.125000,40.125000,283
1997-07-11,40.125000,40.125000,39.000000,39.000000,39.000000,650
1997-07-14,40.500000,40.500000,39.000000,39.000000,39.000000,5033
1997-07-15,39.000000,39.375000,38.250000,39.000000,39.000000,2850
1997-07-16,39.750000,40.875000,39.000000,40.687500,40.687500,3883
1997-07-17,41.625000,43.500000,40.875000,42.000000,42.000000,5400
1997-07-18,43.500000,43.500000,42.000000,42.000000,42.000000,3900
1997-07-21,42.000000,43.125000,40.500000,40.500000,40.500000,5733
1997-07-22,40.500000,41.625000,40.125000,40.125000,40.125000,4083
1997-07-23,41.250000,41.250000,38.250000,38.625000,38.625000,4333
1997-07-24,39.000000,40.500000,39.000000,39.750000,39.750000,8967
1997-07-25,40.500000,40.500000,39.000000,39.000000,39.000000,3167
1997-07-28,39.000000,39.750000,39.000000,39.375000,39.375000,4850
1997-07-29,40.125000,40.125000,39.000000,40.125000,40.125000,4183
1997-07-30,40.125000,40.500000,39.000000,39.375000,39.375000,5133
1997-07-31,39.375000,40.500000,39.375000,40.125000,40.125000,10050
1997-08-01,40.500000,40.500000,39.750000,40.125000,40.125000,2100
1997-08-04,40.125000,40.500000,39.000000,39.000000,39.000000,1483
1997-08-05,39.000000,39.375000,38.625000,38.625000,38.625000,1333
1997-08-06,39.375000,40.125000,38.625000,39.750000,39.750000,3300
1997-08-07,39.750000,41.250000,39.000000,41.250000,41.250000,16750
1997-08-08,40.875000,41.625000,40.875000,41.250000,41.250000,1383
1997-08-11,41.625000,42.750000,40.875000,42.000000,42.000000,10200
1997-08-12,42.750000,45.000000,42.750000,44.625000,44.625000,14400
1997-08-13,45.000000,45.000000,42.375000,42.375000,42.375000,3900
1997-08-14,43.875000,44.250000,42.375000,44.250000,44.250000,9350
1997-08-15,45.000000,45.000000,42.750000,42.750000,42.750000,2450
1997-08-18,43.500000,43.500000,39.750000,40.125000,40.125000,4600
1997-08-19,40.687500,41.250000,40.500000,40.500000,40.500000,4133
1997-08-20,40.500000,40.875000,40.125000,40.125000,40.125000,4367
1997-08-21,40.125000,42.000000,39.750000,41.250000,41.250000,5700
1997-08-22,42.000000,42.000000,41.250000,41.250000,41.250000,11033
1997-08-25,41.625000,42.375000,40.875000,41.625000,41.625000,7300
1997-08-26,42.000000,42.000000,40.875000,42.000000,42.000000,6367
1997-08-27,42.000000,42.000000,40.125000,40.125000,40.125000,7267
1997-08-28,40.125000,41.625000,39.750000,39.750000,39.750000,3633
1997-08-29,39.750000,40.500000,39.375000,39.375000,39.375000,3683
1997-09-02,40.500000,40.875000,39.375000,39.750000,39.750000,1300
1997-09-03,39.000000,41.250000,38.250000,40.875000,40.875000,18633
1997-09-04,41.250000,41.625000,39.750000,41.250000,41.250000,13800
1997-09-05,41.250000,41.250000,40.125000,40.312500,40.312500,3517
1997-09-08,40.500000,41.250000,40.500000,40.875000,40.875000,5217
1997-09-09,41.250000,41.250000,40.500000,41.250000,41.250000,4800
1997-09-10,41.250000,41.250000,40.125000,41.250000,41.250000,5800
1997-09-11,40.125000,41.250000,40.125000,40.312500,40.312500,5100
1997-09-12,40.125000,40.875000,39.750000,39.750000,39.750000,7850
1997-09-15,40.875000,41.250000,39.750000,41.250000,41.250000,1250
1997-09-16,41.250000,41.250000,39.750000,40.312500,40.312500,11833
