Date,Open,High,Low,Close,Adj Close,Volume
2016-12-16,11.200000,12.430000,11.100000,11.850000,11.850000,19266400
2016-12-19,12.220000,12.610000,11.900000,12.150000,12.150000,5238100
2016-12-20,12.420000,12.420000,11.750000,11.810000,11.810000,1260200
2016-12-21,11.760000,11.843000,11.680000,11.800000,11.800000,1048900
2016-12-22,11.730000,11.800000,11.650000,11.710000,11.710000,1016400
2016-12-23,11.660000,11.870000,11.620000,11.830000,11.830000,817800
2016-12-27,11.850000,11.874000,11.600000,11.700000,11.700000,457400
2016-12-28,11.710000,11.750000,11.470000,11.590000,11.590000,369500
2016-12-29,11.650000,11.690000,11.510000,11.660000,11.660000,219300
2016-12-30,11.770000,11.840000,11.650000,11.750000,11.750000,241600
2017-01-03,11.760000,12.400000,11.750000,12.140000,12.140000,1013300
2017-01-04,12.190000,12.290000,11.920000,12.160000,12.160000,646700
2017-01-05,12.080000,12.240000,11.800000,12.090000,12.090000,953600
2017-01-06,12.000000,12.060000,11.750000,11.910000,11.910000,657100
2017-01-09,11.840000,12.050000,11.840000,11.890000,11.890000,253500
2017-01-10,12.070000,12.250000,11.770000,11.840000,11.840000,1074800
2017-01-11,11.900000,12.140000,11.750000,11.800000,11.800000,411600
2017-01-12,11.800000,11.810000,11.440000,11.520000,11.520000,1505200
2017-01-13,11.720000,11.877000,11.450000,11.770000,11.770000,779700
2017-01-17,11.770000,11.830000,11.640000,11.710000,11.710000,699800
2017-01-18,11.790000,11.899000,11.490000,11.650000,11.650000,981400
2017-01-19,11.650000,11.740000,11.515000,11.670000,11.670000,730300
2017-01-20,11.800000,11.870000,11.450000,11.500000,11.500000,855800
2017-01-23,11.560000,11.590000,11.390000,11.410000,11.410000,1030100
2017-01-24,11.470000,11.490000,10.920000,11.230000,11.230000,633200
2017-01-25,11.220000,11.637000,10.880000,11.530000,11.530000,886900
2017-01-26,11.630000,11.740000,11.250000,11.340000,11.340000,427400
2017-01-27,11.320000,11.500000,11.090000,11.120000,11.120000,457300
2017-01-30,11.100000,11.510000,11.000000,11.350000,11.350000,471400
2017-01-31,11.380000,11.620000,11.327000,11.600000,11.600000,365900
2017-02-01,11.600000,11.629000,11.390000,11.480000,11.480000,328500
2017-02-02,11.520000,11.590000,11.330000,11.430000,11.430000,352800
2017-02-03,11.420000,11.560000,11.380000,11.450000,11.450000,276800
2017-02-06,11.490000,11.590000,11.400000,11.550000,11.550000,219100
2017-02-07,11.600000,11.780000,11.450000,11.480000,11.480000,561100
2017-02-08,11.230000,11.450000,11.100000,11.440000,11.440000,1364200
2017-02-09,11.420000,11.570000,11.390000,11.510000,11.510000,660600
2017-02-10,12.250000,12.660000,12.250000,12.380000,12.380000,1209200
2017-02-13,12.480000,13.873000,12.480000,13.030000,13.030000,1182500
2017-02-14,13.220000,13.740000,13.100000,13.520000,13.520000,544300
2017-02-15,13.560000,13.680000,13.200000,13.300000,13.300000,477900
2017-02-16,13.390000,13.650000,13.188000,13.570000,13.570000,384700
2017-02-17,13.810000,14.170000,13.630000,13.860000,13.860000,408400
2017-02-21,14.090000,14.200000,13.050000,13.290000,13.290000,858900
2017-02-22,12.870000,13.140000,12.180000,13.030000,13.030000,513700
2017-02-23,13.040000,13.210000,12.900000,12.980000,12.980000,269200
2017-02-24,13.070000,13.600000,12.800000,12.850000,12.850000,489000
2017-02-27,12.900000,13.000000,11.800000,12.060000,12.060000,1063600
2017-02-28,11.970000,12.200000,11.670000,11.710000,11.710000,658000
2017-03-01,11.810000,11.980000,11.450000,11.540000,11.540000,1005900
2017-03-02,11.500000,11.870000,11.500000,11.730000,11.730000,417000
2017-03-03,11.800000,12.600000,11.660000,12.340000,12.340000,1303100
2017-03-06,12.440000,12.550000,11.750000,12.080000,12.080000,515100
