Date,Open,High,Low,Close,Adj Close,Volume
2015-04-28,8.000000,8.000000,8.000000,8.000000,8.000000,0
2015-04-29,8.500000,9.480000,8.210000,8.960000,8.960000,435200
2015-04-30,9.310000,9.400000,8.550000,8.800000,8.800000,110600
2015-05-01,8.740000,9.150000,8.700000,9.100000,9.100000,66400
2015-05-04,9.050000,9.790000,9.000000,9.490000,9.490000,55300
2015-05-05,9.230000,10.230000,9.210000,9.500000,9.500000,137200
2015-05-06,9.830000,10.000000,9.300000,9.700000,9.700000,106300
2015-05-07,9.410000,9.796000,8.950000,9.150000,9.150000,38600
2015-05-08,9.400000,9.598000,8.500000,9.390000,9.390000,89100
2015-05-11,9.210000,9.400000,9.000000,9.390000,9.390000,7700
2015-05-12,9.200000,9.200000,8.700000,9.000000,9.000000,22500
2015-05-13,8.730000,8.990000,8.600000,8.970000,8.970000,40900
2015-05-14,8.760000,9.480000,8.750000,9.370000,9.370000,48700
2015-05-15,9.830000,9.830000,9.012000,9.420000,9.420000,91200
2015-05-18,9.310000,9.310000,8.850000,9.080000,9.080000,31600
2015-05-19,8.810000,8.990000,8.686000,8.960000,8.960000,41800
2015-05-20,8.701000,9.120000,8.350000,9.010000,9.010000,99900
2015-05-21,8.680000,9.180000,8.680000,9.130000,9.130000,34000
2015-05-22,9.090000,9.350000,8.919000,9.060000,9.060000,42400
2015-05-26,8.780000,8.800000,8.400000,8.480000,8.480000,49100
2015-05-27,8.390000,8.740000,8.178000,8.370000,8.370000,54900
2015-05-28,8.470000,8.600000,8.110000,8.220000,8.220000,109600
2015-05-29,8.360000,8.550000,8.030000,8.230000,8.230000,155300
2015-06-01,8.280000,8.340000,7.510000,7.580000,7.580000,115800
2015-06-02,7.700000,8.140000,7.700000,7.830000,7.830000,15000
2015-06-03,7.850000,7.970000,7.706000,7.870000,7.870000,6500
2015-06-04,7.840000,7.950000,7.800000,7.940000,7.940000,23800
2015-06-05,7.970000,8.030000,7.790000,7.890000,7.890000,55700
2015-06-08,7.760000,8.220000,7.760000,8.020000,8.020000,39300
2015-06-09,7.950000,8.040000,7.750000,7.810000,7.810000,14100
2015-06-10,7.910000,7.960000,7.800000,7.800000,7.800000,3000
2015-06-11,7.890000,7.890000,7.700000,7.860000,7.860000,9000
2015-06-12,7.850000,7.850000,7.100000,7.670000,7.670000,30200
2015-06-15,7.600000,8.000000,7.250000,7.680000,7.680000,153800
2015-06-16,7.650000,7.970000,7.140000,7.280000,7.280000,49600
2015-06-17,7.310000,8.000000,7.040000,7.360000,7.360000,25500
2015-06-18,7.365000,7.950000,7.300000,7.520000,7.520000,27900
2015-06-19,7.900000,7.920000,6.710000,6.730000,6.730000,71300
2015-06-22,6.950000,7.690000,6.950000,7.250000,7.250000,15900
2015-06-23,7.210000,7.680000,7.150000,7.420000,7.420000,11300
2015-06-24,7.350000,7.500000,7.050000,7.250000,7.250000,18400
2015-06-25,7.220000,8.210000,7.090000,7.090000,7.090000,17100
2015-06-26,7.305000,7.640000,6.940000,7.080000,7.080000,25500
2015-06-29,7.220000,7.390000,6.690000,7.060000,7.060000,10900
2015-06-30,7.300000,7.300000,6.990000,7.140000,7.140000,6600
2015-07-01,7.080000,7.710000,6.520000,6.930000,6.930000,59500
2015-07-02,7.200000,7.390000,6.810000,7.130000,7.130000,2300
2015-07-06,7.180000,7.610000,7.060000,7.080000,7.080000,1400
2015-07-07,6.820000,7.150000,6.820000,6.880000,6.880000,4700
2015-07-08,6.990000,7.410000,6.990000,7.140000,7.140000,4100
2015-07-09,7.000000,7.615000,6.840000,7.050000,7.050000,1600
2015-07-10,7.120000,7.200000,6.950000,6.950000,6.950000,8100
