Date,Open,High,Low,Close,Adj Close,Volume
2021-01-28,24.480000,24.760000,24.313000,24.629999,24.629999,11800
2021-01-29,24.930000,25.000000,24.180000,24.540001,24.540001,83600
2021-02-01,24.670000,27.820000,24.510000,25.020000,25.020000,103900
2021-02-02,25.410000,25.850000,25.229000,25.600000,25.600000,92600
2021-02-03,25.910000,25.910000,24.879999,24.969999,24.969999,62900
2021-02-04,24.990000,25.360001,24.990000,25.360001,25.360001,39000
2021-02-05,25.540001,25.680000,25.290001,25.650000,25.650000,75100
2021-02-08,25.700001,26.090000,25.500000,25.680000,25.680000,41500
2021-02-09,25.620001,26.260000,25.620001,26.104000,26.104000,42300
2021-02-10,26.180000,26.379999,25.500000,25.889999,25.889999,32000
2021-02-11,25.950001,25.959999,25.660000,25.830000,25.830000,20500
2021-02-12,25.610001,25.850000,25.410000,25.764999,25.764999,20700
2021-02-16,26.010000,26.010000,25.180000,25.299999,25.299999,32300
2021-02-17,25.230000,25.250000,24.719999,25.045000,25.045000,44000
2021-02-18,24.770000,25.000000,24.480000,24.915001,24.915001,38900
2021-02-19,25.219999,25.379999,25.000000,25.150000,25.150000,30200
2021-02-22,24.780001,24.780001,23.910000,24.018000,24.018000,43300
2021-02-23,23.510000,23.700001,22.250000,23.700001,23.700001,53600
2021-02-24,23.500000,23.639999,23.049999,23.629999,23.629999,51800
2021-02-25,23.520000,23.559999,22.423000,22.596001,22.596001,50600
2021-02-26,22.610001,22.760000,22.040001,22.509001,22.509001,21500
2021-03-01,22.969999,23.350000,22.750000,23.350000,23.350000,49500
2021-03-02,23.139999,23.459999,22.809999,22.815001,22.815001,26400
2021-03-03,22.629999,22.629999,21.700001,21.879999,21.879999,29300
2021-03-04,21.620001,21.809999,20.780001,21.160000,21.160000,36300
2021-03-05,21.160000,21.290001,20.090000,21.110001,21.110001,83800
2021-03-08,20.930000,21.860001,20.549999,20.549999,20.549999,29100
2021-03-09,21.190001,22.000000,21.080000,21.860001,21.860001,39200
2021-03-10,22.209999,22.430000,21.629999,21.729000,21.729000,48600
2021-03-11,22.190001,22.700001,22.190001,22.620001,22.620001,36000
2021-03-12,22.270000,22.370001,21.889999,22.330000,22.330000,33400
2021-03-15,22.490000,22.900000,22.180000,22.400000,22.400000,28100
2021-03-16,22.709999,22.787001,22.059999,22.340000,22.340000,32400
2021-03-17,22.100000,22.480000,21.848000,22.297001,22.297001,19600
2021-03-18,22.129999,22.139999,21.250000,21.299999,21.299999,30400
2021-03-19,21.120001,21.745001,21.120001,21.680000,21.680000,17100
2021-03-22,21.889999,22.150000,21.790001,22.040001,22.040001,21200
2021-03-23,22.110001,22.110001,21.780001,21.802999,21.802999,17100
2021-03-24,22.040001,22.040001,21.049999,21.070000,21.070000,22500
2021-03-25,20.620001,20.950001,20.510000,20.900000,20.900000,18100
2021-03-26,20.700001,21.129999,20.530001,21.129999,21.129999,12300
2021-03-29,21.129999,21.129999,20.639999,20.799999,20.799999,19800
2021-03-30,20.540001,20.649000,20.365000,20.582001,20.582001,18200
2021-03-31,20.590000,21.340000,20.590000,21.181999,21.181999,19200
2021-04-01,21.570000,22.000000,21.570000,21.690001,21.690001,15900
2021-04-05,21.969999,21.969999,21.500000,21.693001,21.693001,14600
2021-04-06,21.740000,22.209999,21.700001,21.997999,21.997999,28200
2021-04-07,22.040001,22.040001,21.600000,21.600000,21.600000,14400
2021-04-08,21.700001,22.110001,21.700001,22.090000,22.090000,23600
2021-04-09,21.750000,22.038000,21.650000,22.038000,22.038000,5900
2021-04-12,21.879999,22.410000,21.820000,22.330000,22.330000,16700
2021-04-13,22.318001,23.049999,22.318001,22.983000,22.983000,10600
