Date,Open,High,Low,Close,Adj Close,Volume
2006-11-21,10.110000,11.990000,9.250000,10.560000,10.560000,1724600
2006-11-22,10.570000,10.890000,9.900000,10.640000,10.640000,368500
2006-11-24,10.830000,10.830000,10.500000,10.600000,10.600000,91000
2006-11-27,10.750000,10.750000,10.110000,10.200000,10.200000,86100
2006-11-28,10.300000,10.350000,9.850000,10.100000,10.100000,107200
2006-11-29,10.140000,10.960000,10.010000,10.180000,10.180000,233900
2006-11-30,10.250000,10.250000,10.020000,10.030000,10.030000,38300
2006-12-01,10.140000,10.150000,10.000000,10.070000,10.070000,48000
2006-12-04,10.000000,10.150000,10.000000,10.000000,10.000000,41300
2006-12-05,10.100000,10.150000,10.000000,10.000000,10.000000,95900
2006-12-06,10.100000,10.100000,10.000000,10.050000,10.050000,48900
2006-12-07,10.060000,10.080000,10.000000,10.000000,10.000000,37900
2006-12-08,10.000000,10.050000,10.000000,10.000000,10.000000,26000
2006-12-11,10.000000,10.090000,10.000000,10.010000,10.010000,32200
2006-12-12,10.000000,10.090000,10.000000,10.020000,10.020000,71700
2006-12-13,10.020000,10.730000,10.000000,10.200000,10.200000,202800
2006-12-14,10.170000,10.180000,10.000000,10.090000,10.090000,32100
2006-12-15,10.200000,10.230000,10.000000,10.000000,10.000000,26900
2006-12-18,10.040000,10.050000,10.000000,10.010000,10.010000,45400
2006-12-19,10.000000,10.210000,10.000000,10.050000,10.050000,12100
2006-12-20,10.020000,10.080000,10.000000,10.000000,10.000000,21100
2006-12-21,10.070000,11.150000,10.020000,10.070000,10.070000,68300
2006-12-22,10.060000,10.090000,10.000000,10.000000,10.000000,19200
2006-12-26,10.100000,10.100000,10.000000,10.000000,10.000000,84200
2006-12-27,10.000000,10.060000,10.000000,10.000000,10.000000,3300
2006-12-28,10.050000,10.050000,10.000000,10.000000,10.000000,13100
2006-12-29,10.180000,10.180000,10.000000,10.000000,10.000000,5800
2007-01-03,10.030000,10.030000,10.010000,10.010000,10.010000,53300
2007-01-04,10.090000,10.140000,10.010000,10.050000,10.050000,27400
2007-01-05,10.030000,10.100000,10.020000,10.100000,10.100000,4500
2007-01-08,10.010000,10.270000,10.010000,10.050000,10.050000,38300
2007-01-09,10.020000,10.100000,9.750000,9.850000,9.850000,125000
2007-01-10,9.870000,9.870000,9.800000,9.800000,9.800000,16900
2007-01-11,9.810000,10.020000,9.810000,9.900000,9.900000,13100
2007-01-12,10.040000,10.040000,9.800000,9.800000,9.800000,8300
2007-01-16,10.000000,10.010000,9.760000,9.760000,9.760000,13900
2007-01-17,9.720000,9.800000,9.600000,9.600000,9.600000,3400
2007-01-18,9.670000,9.980000,9.030000,9.400000,9.400000,14600
2007-01-19,9.420000,9.600000,9.250000,9.250000,9.250000,2700
2007-01-22,9.170000,9.420000,9.170000,9.340000,9.340000,9100
2007-01-23,9.170000,9.490000,9.060000,9.240000,9.240000,46900
2007-01-24,9.080000,9.390000,9.030000,9.030000,9.030000,30400
2007-01-25,9.150000,9.350000,8.910000,9.000000,9.000000,94200
2007-01-26,8.960000,9.200000,8.950000,9.190000,9.190000,40400
2007-01-29,9.170000,9.200000,8.970000,9.020000,9.020000,15700
2007-01-30,9.020000,9.100000,8.900000,8.960000,8.960000,28900
2007-01-31,8.950000,9.500000,8.820000,9.250000,9.250000,33000
2007-02-01,9.500000,9.740000,9.280000,9.280000,9.280000,8500
2007-02-02,9.320000,9.480000,9.250000,9.370000,9.370000,4200
2007-02-05,9.440000,9.440000,9.260000,9.340000,9.340000,2000
2007-02-06,9.360000,9.550000,9.200000,9.420000,9.420000,11600
2007-02-07,9.410000,9.430000,9.350000,9.390000,9.390000,1400
2007-02-08,9.350000,9.400000,9.250000,9.400000,9.400000,5900
2007-02-09,9.300000,9.400000,8.860000,9.180000,9.180000,43400
2007-02-12,9.120000,9.310000,9.120000,9.210000,9.210000,1900
2007-02-13,9.220000,9.250000,8.900000,8.900000,8.900000,14300
2007-02-14,8.920000,9.110000,8.890000,9.110000,9.110000,2400
2007-02-15,8.940000,9.180000,8.910000,9.180000,9.180000,9000
2007-02-16,9.300000,9.300000,8.990000,9.000000,9.000000,7000
2007-02-20,9.080000,9.170000,9.080000,9.110000,9.110000,1800
2007-02-21,9.130000,9.140000,9.020000,9.140000,9.140000,3100
2007-02-22,9.350000,9.400000,9.060000,9.060000,9.060000,18700
2007-02-23,9.130000,9.130000,8.930000,8.970000,8.970000,1000
2007-02-26,9.070000,9.590000,9.060000,9.500000,9.500000,25000
2007-02-27,9.620000,9.620000,9.260000,9.360000,9.360000,12700
2007-02-28,9.330000,9.980000,9.330000,9.830000,9.830000,25600
2007-03-01,9.540000,9.950000,9.540000,9.740000,9.740000,11500
2007-03-02,9.740000,9.990000,9.650000,9.660000,9.660000,25900
2007-03-05,9.660000,9.660000,9.000000,9.390000,9.390000,16300
2007-03-06,9.500000,9.800000,9.340000,9.670000,9.670000,12800
2007-03-07,9.740000,9.740000,9.550000,9.580000,9.580000,13600
2007-03-08,9.610000,9.790000,9.490000,9.600000,9.600000,38000
2007-03-09,9.640000,9.830000,9.540000,9.670000,9.670000,54900
2007-03-12,9.770000,9.890000,9.650000,9.650000,9.650000,11000
2007-03-13,9.680000,9.700000,9.550000,9.560000,9.560000,12500
2007-03-14,9.690000,9.700000,9.500000,9.550000,9.550000,3700
2007-03-15,9.550000,9.610000,9.120000,9.250000,9.250000,103300
2007-03-16,9.500000,9.500000,9.200000,9.200000,9.200000,1100
2007-03-19,9.490000,9.490000,9.300000,9.300000,9.300000,12400
2007-03-20,9.310000,9.310000,9.180000,9.200000,9.200000,5600
2007-03-21,9.290000,9.290000,9.200000,9.200000,9.200000,1300
2007-03-22,9.100000,9.300000,9.100000,9.260000,9.260000,13900
2007-03-23,9.740000,9.740000,9.400000,9.500000,9.500000,44000
2007-03-26,9.600000,9.640000,9.550000,9.600000,9.600000,6800
2007-03-27,9.600000,9.740000,9.500000,9.600000,9.600000,11800
2007-03-28,9.500000,9.590000,9.070000,9.500000,9.500000,6500
2007-03-29,9.500000,9.500000,9.060000,9.370000,9.370000,11700
2007-03-30,9.250000,9.390000,9.250000,9.390000,9.390000,1100
2007-04-02,9.260000,9.400000,9.260000,9.300000,9.300000,24900
2007-04-03,9.330000,9.640000,9.280000,9.370000,9.370000,24300
2007-04-04,9.400000,9.400000,9.320000,9.400000,9.400000,7800
2007-04-05,9.400000,9.780000,9.350000,9.550000,9.550000,109100
2007-04-09,9.510000,9.690000,9.500000,9.520000,9.520000,24900
2007-04-10,9.510000,10.000000,9.500000,9.700000,9.700000,46600
2007-04-11,9.480000,9.600000,9.480000,9.500000,9.500000,700
2007-04-12,9.550000,9.800000,9.510000,9.800000,9.800000,1900
2007-04-13,9.560000,9.890000,9.560000,9.700000,9.700000,1700
2007-04-16,9.700000,9.860000,9.650000,9.800000,9.800000,7100
2007-04-17,9.760000,10.000000,9.560000,9.830000,9.830000,20800
2007-04-18,9.810000,9.810000,9.720000,9.720000,9.720000,4200
2007-04-19,9.720000,9.720000,9.610000,9.700000,9.700000,3200
2007-04-20,9.710000,9.800000,9.700000,9.700000,9.700000,4600
2007-04-23,9.750000,9.750000,9.660000,9.730000,9.730000,1500
2007-04-24,9.820000,9.940000,9.730000,9.830000,9.830000,3700
2007-04-25,9.800000,9.940000,9.710000,9.900000,9.900000,14200
2007-04-26,9.900000,10.140000,9.850000,9.990000,9.990000,44200
2007-04-27,9.910000,10.180000,9.910000,10.050000,10.050000,18600
2007-04-30,10.070000,10.860000,9.900000,9.990000,9.990000,13500
2007-05-01,10.000000,10.000000,9.850000,9.850000,9.850000,1700
2007-05-02,9.900000,9.920000,9.770000,9.770000,9.770000,2400
2007-05-03,9.860000,9.860000,9.850000,9.850000,9.850000,400
2007-05-04,9.750000,9.750000,9.250000,9.400000,9.400000,54300
2007-05-07,9.400000,9.400000,9.310000,9.310000,9.310000,500
2007-05-08,9.400000,9.400000,9.400000,9.400000,9.400000,400
2007-05-09,9.540000,9.540000,9.450000,9.450000,9.450000,4900
2007-05-10,9.520000,9.520000,9.450000,9.450000,9.450000,1000
2007-05-11,9.550000,9.550000,9.350000,9.440000,9.440000,1400
2007-05-14,9.500000,9.510000,9.360000,9.400000,9.400000,38800
2007-05-15,9.380000,9.380000,9.110000,9.210000,9.210000,25200
2007-05-16,9.200000,9.260000,9.090000,9.230000,9.230000,23500
2007-05-17,9.300000,9.640000,9.260000,9.500000,9.500000,13900
2007-05-18,9.640000,9.640000,9.350000,9.500000,9.500000,1700
2007-05-21,9.400000,9.400000,9.400000,9.400000,9.400000,200
2007-05-22,9.450000,9.450000,9.380000,9.380000,9.380000,5500
2007-05-23,9.380000,9.380000,9.380000,9.380000,9.380000,0
2007-05-24,9.500000,9.500000,9.100000,9.300000,9.300000,6100
2007-05-25,9.300000,9.500000,9.250000,9.420000,9.420000,2800
2007-05-29,9.410000,9.410000,9.300000,9.300000,9.300000,1400
2007-05-30,9.260000,9.270000,9.260000,9.260000,9.260000,1000
2007-05-31,9.250000,9.260000,9.250000,9.260000,9.260000,2000
2007-06-01,9.160000,9.220000,9.160000,9.200000,9.200000,31200
2007-06-04,9.220000,9.300000,9.000000,9.040000,9.040000,10800
2007-06-05,9.000000,9.100000,8.970000,9.000000,9.000000,18300
2007-06-06,9.040000,9.040000,8.980000,9.000000,9.000000,92600
2007-06-07,9.050000,9.120000,9.000000,9.030000,9.030000,324000
2007-06-08,9.090000,9.100000,8.900000,9.050000,9.050000,4300
2007-06-11,9.000000,9.350000,9.000000,9.210000,9.210000,30100
2007-06-12,9.130000,9.320000,9.130000,9.280000,9.280000,17700
2007-06-13,9.300000,9.420000,9.180000,9.380000,9.380000,7600
2007-06-14,9.430000,10.050000,9.410000,9.770000,9.770000,71800
2007-06-15,9.920000,10.000000,9.760000,9.950000,9.950000,32100
2007-06-18,9.950000,10.000000,9.820000,10.000000,10.000000,18200
2007-06-19,9.900000,9.950000,9.900000,9.950000,9.950000,1200
2007-06-20,10.000000,10.000000,9.900000,9.980000,9.980000,27000
2007-06-21,9.990000,10.130000,9.990000,10.070000,10.070000,63900
2007-06-22,10.000000,10.000000,9.740000,9.930000,9.930000,7300
2007-06-25,9.900000,9.900000,9.710000,9.710000,9.710000,6700
2007-06-26,9.850000,9.860000,9.310000,9.550000,9.550000,14100
2007-06-27,9.570000,9.570000,9.380000,9.470000,9.470000,53800
2007-06-28,9.500000,9.700000,9.410000,9.500000,9.500000,46400
2007-06-29,9.500000,9.950000,9.350000,9.890000,9.890000,28500
