Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,6.290000,6.420000,6.290000,6.350000,6.350000,17900
2019-04-16,6.380000,6.380000,6.150000,6.150000,6.150000,82900
2019-04-17,6.130000,6.240000,5.840000,5.930000,5.930000,124300
2019-04-18,5.930000,6.110000,5.890000,6.010000,6.010000,50800
2019-04-22,5.980000,6.225000,5.870000,5.920000,5.920000,44500
2019-04-23,5.900000,5.990000,5.780000,5.950000,5.950000,216900
2019-04-24,6.010000,6.250000,5.820000,5.830000,5.830000,81100
2019-04-25,5.820000,5.880000,5.735000,5.740000,5.740000,114100
2019-04-26,5.780000,6.150000,5.730000,6.130000,6.130000,106400
2019-04-29,6.150000,6.230000,5.970000,6.030000,6.030000,267700
2019-04-30,6.010000,6.250000,5.960000,6.020000,6.020000,136800
2019-05-01,6.020000,6.430000,6.000000,6.240000,6.240000,153600
2019-05-02,6.240000,6.240000,5.930000,5.990000,5.990000,128700
2019-05-03,6.010000,6.090000,5.920000,5.970000,5.970000,259900
2019-05-06,5.950000,6.330000,5.920000,6.270000,6.270000,218400
2019-05-07,6.190000,6.200000,6.070000,6.090000,6.090000,139500
2019-05-08,6.050000,6.070000,5.800000,5.870000,5.870000,200000
2019-05-09,5.850000,6.030000,5.720000,5.890000,5.890000,122600
2019-05-10,5.700000,6.001000,4.770000,5.000000,5.000000,626400
2019-05-13,4.800000,4.970000,4.710000,4.870000,4.870000,590500
2019-05-14,4.910000,5.140000,4.800000,5.000000,5.000000,220700
2019-05-15,4.810000,5.020000,4.750000,4.760000,4.760000,256300
2019-05-16,4.750000,4.860000,4.700000,4.760000,4.760000,160700
2019-05-17,4.710000,4.820000,4.610000,4.690000,4.690000,119300
2019-05-20,4.640000,4.850000,4.590000,4.700000,4.700000,229800
2019-05-21,4.740000,4.820000,4.700000,4.740000,4.740000,241600
2019-05-22,4.720000,4.840000,4.580000,4.610000,4.610000,148300
2019-05-23,4.510000,4.644000,4.465000,4.510000,4.510000,221900
2019-05-24,4.510000,4.560000,4.350000,4.430000,4.430000,302300
2019-05-28,4.450000,4.530000,4.390000,4.410000,4.410000,276300
2019-05-29,4.410000,4.500000,4.180000,4.230000,4.230000,166500
2019-05-30,4.220000,4.330000,4.070000,4.160000,4.160000,297300
2019-05-31,4.150000,4.160000,4.020000,4.100000,4.100000,85400
2019-06-03,4.100000,4.190000,3.900000,3.920000,3.920000,150500
2019-06-04,3.960000,4.190000,3.950000,4.170000,4.170000,92800
2019-06-05,4.180000,4.180000,3.970000,4.070000,4.070000,97300
2019-06-06,4.100000,4.160000,3.920000,4.070000,4.070000,85400
2019-06-07,4.080000,4.080000,3.750000,3.790000,3.790000,194100
2019-06-10,3.750000,3.900000,3.400000,3.590000,3.590000,303700
2019-06-11,3.580000,3.700000,3.460000,3.550000,3.550000,101100
2019-06-12,3.510000,3.790000,3.490000,3.510000,3.510000,147200
2019-06-13,3.530000,3.620000,3.490000,3.550000,3.550000,310600
2019-06-14,3.590000,3.730000,3.550000,3.640000,3.640000,208400
2019-06-17,3.610000,3.710000,3.470000,3.530000,3.530000,68300
